HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CHI,ANH,10/5/2005,5:30 PM,1731,0.0
NSH,ANH,10/8/2005,5:00 PM,394,71.5
ANH,EDM,10/10/2005,7:30 PM,1764,50.5
ANH,CBJ,10/14/2005,7:30 PM,0,96.0
MIN,ANH,10/16/2005,3:00 PM,1523,43.5
STL,ANH,10/19/2005,5:00 PM,460,74.0
DET,ANH,10/21/2005,4:30 PM,456,47.5
ANH,ARI,10/23/2005,1:00 PM,1970,44.5
LAK,ANH,10/25/2005,7:30 PM,32,54.5
ANH,CGY,10/26/2005,7:30 PM,32,24.0
ANH,STL,10/28/2005,7:30 PM,0,48.0
ANH,ARI,10/30/2005,5:00 PM,0,45.5
ANH,NSH,11/1/2005,7:30 PM,0,50.5
COL,ANH,11/3/2005,6:00 PM,828,46.5
ANH,SJS,11/4/2005,7:30 PM,828,25.5
ANH,MIN,11/6/2005,5:00 PM,0,45.5
ARI,ANH,11/12/2005,6:00 PM,329,145.0
ANH,DAL,11/13/2005,5:00 PM,329,23.0
ANH,DAL,11/16/2005,7:30 PM,0,74.5
ANH,COL,11/18/2005,7:30 PM,0,48.0
ANH,VAN,11/20/2005,1:00 PM,0,41.5
ARI,ANH,11/22/2005,6:00 PM,329,53.0
DAL,ANH,11/23/2005,5:30 PM,987,23.5
ANH,DET,11/25/2005,1:00 PM,1222,43.5
ANH,CHI,11/27/2005,5:00 PM,0,52.0
ANH,ARI,11/30/2005,7:30 PM,0,74.5
ANH,ATL,12/3/2005,7:30 PM,0,72.0
ANH,CAR,12/6/2005,7:30 PM,0,72.0
BUF,ANH,12/8/2005,4:00 PM,2188,44.5
MON,ANH,12/10/2005,4:00 PM,319,48.0
TOR,ANH,12/12/2005,4:30 PM,314,48.5
ANH,TBL,12/14/2005,7:30 PM,2166,51.0
ANH,LAK,12/16/2005,7:30 PM,0,48.0
ANH,SJS,12/18/2005,5:00 PM,0,45.5
SJS,ANH,12/20/2005,7:30 PM,325,50.5
ANH,STL,12/21/2005,7:30 PM,325,24.0
CBJ,ANH,12/28/2005,4:00 PM,1966,164.5
STL,ANH,12/31/2005,3:00 PM,400,71.0
NSH,ANH,1/1/2006,5:00 PM,255,26.0
DAL,ANH,1/6/2006,5:30 PM,615,120.5
MIN,ANH,1/7/2006,5:00 PM,861,23.5
ANH,LAK,1/9/2006,7:30 PM,1523,50.5
ANH,WSH,1/13/2006,7:30 PM,0,96.0
BOS,ANH,1/16/2006,10:00 PM,2587,74.5
OTT,ANH,1/19/2006,4:30 PM,317,66.5
ANH,FLA,1/21/2006,7:30 PM,2357,51.0
LAK,ANH,1/23/2006,7:30 PM,32,48.0
ANH,EDM,1/25/2006,7:00 PM,32,47.5
SJS,ANH,1/26/2006,7:30 PM,325,24.5
LAK,ANH,1/28/2006,1:00 PM,296,41.5
ANH,LAK,1/30/2006,7:30 PM,32,54.5
ANH,SJS,2/1/2006,7:30 PM,0,48.0
SJS,ANH,2/4/2006,7:30 PM,325,72.0
EDM,ANH,2/6/2006,6:00 PM,1192,46.5
CGY,ANH,2/8/2006,6:00 PM,176,48.0
VAN,ANH,2/10/2006,7:00 PM,421,49.0
ANH,CHI,2/12/2006,5:00 PM,1099,46.0
ANH,DET,3/1/2006,7:30 PM,0,410.5
ANH,MIN,3/3/2006,7:30 PM,0,48.0
ANH,CBJ,3/5/2006,1:00 PM,0,41.5
ANH,SJS,3/7/2006,7:30 PM,0,54.5
ARI,ANH,3/11/2006,6:00 PM,329,94.5
ANH,ARI,3/12/2006,5:00 PM,329,23.0
DET,ANH,3/15/2006,4:30 PM,1970,71.5
CHI,ANH,3/17/2006,5:30 PM,238,49.0
CBJ,ANH,3/19/2006,2:00 PM,277,44.5
DAL,ANH,3/20/2006,5:30 PM,913,27.5
ANH,COL,3/22/2006,7:30 PM,1222,50.0
ANH,NSH,3/24/2006,7:30 PM,0,48.0
ARI,ANH,3/25/2006,6:00 PM,329,22.5
COL,ANH,3/28/2006,6:00 PM,591,72.0
DAL,ANH,3/29/2006,5:30 PM,660,23.5
ANH,DAL,3/31/2006,7:30 PM,1222,50.0
ANH,VAN,4/2/2006,1:00 PM,0,41.5
ANH,LAK,4/4/2006,7:30 PM,0,54.5
ANH,DAL,4/6/2006,7:30 PM,0,48.0
LAK,ANH,4/8/2006,3:00 PM,32,43.5
VAN,ANH,4/10/2006,7:00 PM,1081,52.0
CGY,ANH,4/11/2006,6:00 PM,421,23.0
EDM,ANH,4/13/2006,6:00 PM,176,48.0
SJS,ANH,4/15/2006,1:30 PM,1192,43.5
ANH,CGY,4/17/2006,7:30 PM,325,54.0
