HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BOS,MON,10/5/2005,7:00 PM,0,0.0
BUF,BOS,10/7/2005,8:00 PM,401,49.0
PIT,BOS,10/8/2005,7:30 PM,179,23.5
TBL,BOS,10/10/2005,7:30 PM,871,48.0
FLA,BOS,10/13/2005,7:00 PM,206,71.5
OTT,BOS,10/15/2005,7:00 PM,1377,48.0
MON,BOS,10/18/2005,7:30 PM,104,72.5
BOS,BUF,10/20/2005,7:00 PM,254,47.5
BOS,PIT,10/22/2005,7:00 PM,0,48.0
TOR,BOS,10/24/2005,7:30 PM,433,48.5
CAR,BOS,10/26/2005,7:00 PM,541,47.5
BOS,TOR,10/27/2005,7:00 PM,607,24.0
BOS,NJD,10/29/2005,7:00 PM,0,48.0
NYI,BOS,11/1/2005,7:00 PM,190,72.0
BOS,FLA,11/3/2005,7:00 PM,190,48.0
BOS,PIT,11/5/2005,7:00 PM,0,48.0
PHI,BOS,11/8/2005,7:00 PM,268,72.0
BOS,OTT,11/10/2005,7:00 PM,268,48.0
NYI,BOS,11/12/2005,7:00 PM,190,48.0
BOS,TOR,11/17/2005,7:00 PM,190,120.0
BOS,BUF,11/19/2005,7:00 PM,0,48.0
NYR,BOS,11/20/2005,7:30 PM,187,24.5
TOR,BOS,11/23/2005,7:30 PM,342,72.0
BOS,PHI,11/25/2005,0:00 PM,433,40.5
OTT,BOS,11/26/2005,7:00 PM,317,31.0
NJD,BOS,11/29/2005,7:30 PM,333,72.5
BOS,OTT,12/1/2005,7:00 PM,198,47.5
EDM,BOS,12/3/2005,10:00 PM,2083,51.0
VAN,BOS,12/4/2005,10:00 PM,509,24.0
COL,BOS,12/7/2005,9:00 PM,1111,71.0
BOS,ARI,12/11/2005,5:00 PM,1766,92.0
MIN,BOS,12/15/2005,8:00 PM,1118,99.0
CGY,BOS,12/17/2005,10:00 PM,1054,50.0
BOS,TOR,12/22/2005,7:00 PM,2099,117.0
TOR,BOS,12/23/2005,7:00 PM,433,24.0
WSH,BOS,12/27/2005,7:00 PM,350,96.0
FLA,BOS,12/28/2005,7:00 PM,924,24.0
TBL,BOS,12/30/2005,7:30 PM,206,48.5
BOS,PHI,1/2/2006,1:00 PM,1181,65.5
BOS,OTT,1/5/2006,7:00 PM,0,78.0
BOS,TBL,1/7/2006,5:00 PM,0,46.0
BOS,SJS,1/10/2006,7:00 PM,0,74.0
BOS,LAK,1/12/2006,7:00 PM,0,48.0
BOS,DAL,1/14/2006,2:00 PM,0,43.0
BOS,ANH,1/16/2006,1:00 PM,0,47.0
PHI,BOS,1/19/2006,7:00 PM,268,78.0
BOS,NYR,1/21/2006,7:00 PM,268,48.0
WSH,BOS,1/23/2006,7:00 PM,394,48.0
ATL,BOS,1/24/2006,7:00 PM,544,24.0
BOS,WSH,1/26/2006,7:00 PM,938,48.0
BOS,NYI,1/28/2006,7:00 PM,0,48.0
OTT,BOS,1/30/2006,7:30 PM,317,48.5
BOS,MON,2/2/2006,7:00 PM,317,71.5
MON,BOS,2/4/2006,0:00 PM,254,41.0
BOS,CAR,2/5/2006,1:00 PM,254,25.0
PIT,BOS,2/8/2006,7:30 PM,483,78.5
BOS,NJD,2/9/2006,7:00 PM,483,23.5
BOS,TBL,2/11/2006,7:00 PM,0,48.0
CAR,BOS,3/1/2006,7:00 PM,607,432.0
BOS,ATL,3/2/2006,7:00 PM,607,24.0
BOS,BUF,3/4/2006,7:00 PM,0,48.0
BUF,BOS,3/7/2006,7:00 PM,401,72.0
BOS,MON,3/9/2006,7:00 PM,401,48.0
BOS,NYI,3/11/2006,7:00 PM,0,48.0
BUF,BOS,3/12/2006,5:00 PM,401,22.0
TOR,BOS,3/14/2006,7:30 PM,59,50.5
BOS,OTT,3/16/2006,7:00 PM,433,47.5
BOS,CAR,3/18/2006,0:00 PM,0,41.0
NYR,BOS,3/20/2006,7:00 PM,187,55.0
BOS,ATL,3/21/2006,7:00 PM,187,24.0
NJD,BOS,3/24/2006,7:30 PM,198,72.5
BOS,BUF,3/25/2006,7:00 PM,198,23.5
BOS,FLA,3/27/2006,7:00 PM,0,48.0
BUF,BOS,3/29/2006,7:00 PM,401,48.0
MON,BOS,4/1/2006,7:00 PM,319,72.0
MON,BOS,4/4/2006,7:30 PM,0,72.5
BOS,TOR,4/6/2006,7:00 PM,254,47.5
BOS,NYR,4/8/2006,2:00 PM,0,43.0
BOS,WSH,4/10/2006,7:00 PM,0,53.0
OTT,BOS,4/11/2006,7:30 PM,317,24.5
BOS,MON,4/13/2006,7:00 PM,317,47.5
ATL,BOS,4/15/2006,2:00 PM,938,43.0
