HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BOS,MON,10/5/2005,7:00 PM,254,0.0
NYR,MON,10/6/2005,7:00 PM,187,24.0
TOR,MON,10/8/2005,7:00 PM,342,48.0
MON,OTT,10/11/2005,7:30 PM,314,72.5
ATL,MON,10/12/2005,7:00 PM,995,23.5
MON,TOR,10/15/2005,7:00 PM,995,72.0
MON,BOS,10/18/2005,7:30 PM,0,72.5
MON,NYI,10/22/2005,7:00 PM,0,95.5
MON,PHI,10/25/2005,7:00 PM,0,72.0
OTT,MON,10/27/2005,7:30 PM,104,48.5
MON,NYR,10/29/2005,7:00 PM,104,47.5
NYR,MON,10/31/2005,7:00 PM,329,48.0
MON,FLA,11/1/2005,7:30 PM,329,24.5
BUF,MON,11/4/2005,8:00 PM,319,72.5
MON,BUF,11/5/2005,7:00 PM,319,23.0
MON,TBL,11/8/2005,7:30 PM,0,72.5
PIT,MON,11/10/2005,7:30 PM,478,48.0
MON,TOR,11/12/2005,7:00 PM,478,47.5
MON,FLA,11/15/2005,7:30 PM,0,72.5
NJD,MON,11/18/2005,7:30 PM,333,72.0
MON,WSH,11/19/2005,7:00 PM,333,23.5
MON,ATL,11/22/2005,7:30 PM,0,72.5
BUF,MON,11/25/2005,8:00 PM,319,72.5
TOR,MON,11/26/2005,7:00 PM,59,23.0
OTT,MON,11/29/2005,7:30 PM,219,72.5
MON,BUF,12/1/2005,7:30 PM,104,48.0
MON,LAK,12/3/2005,7:00 PM,0,47.5
MON,ANH,12/10/2005,7:00 PM,0,168.0
MON,ARI,12/13/2005,7:30 PM,0,72.5
EDM,MON,12/15/2005,9:00 PM,1854,49.5
MIN,MON,12/17/2005,8:00 PM,1094,47.0
MON,OTT,12/20/2005,7:30 PM,952,71.5
WSH,MON,12/23/2005,7:00 PM,490,71.5
ATL,MON,12/26/2005,7:00 PM,544,72.0
TBL,MON,12/28/2005,7:30 PM,415,48.5
FLA,MON,12/30/2005,7:30 PM,206,48.0
CAR,MON,12/31/2005,8:00 PM,699,24.5
MON,PIT,1/3/2006,7:30 PM,719,71.5
NJD,MON,1/5/2006,7:30 PM,333,48.0
MON,OTT,1/7/2006,2:00 PM,333,42.5
COL,MON,1/11/2006,9:00 PM,1633,103.0
MON,SJS,1/14/2006,7:00 PM,1633,70.0
MON,DAL,1/16/2006,7:30 PM,0,48.5
CGY,MON,1/19/2006,9:00 PM,1881,73.5
VAN,MON,1/21/2006,10:00 PM,421,49.0
CAR,MON,1/23/2006,7:00 PM,2411,45.0
PHI,MON,1/25/2006,7:00 PM,346,48.0
OTT,MON,1/26/2006,7:30 PM,375,24.5
TOR,MON,1/28/2006,7:00 PM,219,47.5
MON,CAR,1/31/2006,7:30 PM,314,72.5
BOS,MON,2/2/2006,7:00 PM,254,47.5
MON,BOS,2/4/2006,0:00 PM,254,41.0
MON,PHI,2/5/2006,3:00 PM,0,27.0
MON,BUF,2/7/2006,7:30 PM,0,52.5
BUF,MON,2/9/2006,7:00 PM,319,47.5
MON,ATL,2/11/2006,7:00 PM,319,48.0
NYI,MON,2/28/2006,7:00 PM,335,408.0
FLA,MON,3/2/2006,7:00 PM,1088,48.0
TBL,MON,3/4/2006,7:30 PM,206,48.5
PHI,MON,3/6/2006,7:00 PM,930,47.5
TOR,MON,3/7/2006,7:30 PM,333,24.5
BOS,MON,3/9/2006,7:00 PM,433,47.5
MON,NYR,3/11/2006,7:30 PM,254,48.5
MON,TBL,3/13/2006,7:30 PM,0,48.0
MON,CAR,3/16/2006,7:30 PM,0,72.0
MON,PIT,3/18/2006,7:00 PM,0,47.5
WSH,MON,3/20/2006,7:00 PM,490,48.0
NYI,MON,3/21/2006,7:00 PM,204,24.0
MON,TOR,3/23/2006,7:30 PM,335,48.5
MON,TOR,3/25/2006,7:00 PM,0,47.5
PIT,MON,3/26/2006,7:30 PM,478,24.5
MON,NYI,3/28/2006,7:30 PM,478,48.0
MON,WSH,3/30/2006,7:30 PM,0,48.0
MON,BOS,4/1/2006,7:00 PM,0,47.5
MON,BOS,4/4/2006,7:30 PM,0,72.5
OTT,MON,4/6/2006,7:30 PM,104,48.0
MON,NJD,4/8/2006,7:00 PM,104,47.5
MON,OTT,4/10/2006,7:30 PM,0,48.5
BUF,MON,4/12/2006,7:00 PM,319,47.5
BOS,MON,4/13/2006,7:00 PM,401,24.0
MON,BUF,4/15/2006,7:00 PM,254,48.0
MON,NJD,4/18/2006,7:30 PM,0,72.5
