HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BUF,NYI,10/5/2005,7:00 PM,297,0.0
NYI,CAR,10/8/2005,7:00 PM,297,72.0
NYI,FLA,10/10/2005,1:00 PM,0,42.0
WSH,NYI,10/13/2005,7:00 PM,204,78.0
PHI,NYI,10/15/2005,7:00 PM,126,48.0
NYR,NYI,10/19/2005,7:00 PM,81,96.0
NYI,NYR,10/20/2005,7:00 PM,7,24.0
MON,NYI,10/22/2005,7:00 PM,335,48.0
NYI,ATL,10/25/2005,7:00 PM,335,72.0
NYR,NYI,10/27/2005,7:00 PM,7,48.0
NYI,BUF,10/29/2005,7:00 PM,7,48.0
NYI,BOS,11/1/2005,7:00 PM,0,72.0
NYI,PIT,11/3/2005,7:00 PM,0,48.0
OTT,NYI,11/5/2005,7:00 PM,340,48.0
NJD,NYI,11/8/2005,7:30 PM,333,72.5
PHI,NYI,11/10/2005,7:00 PM,71,47.5
NYI,BOS,11/12/2005,7:00 PM,78,48.0
PIT,NYI,11/14/2005,7:30 PM,318,48.5
ATL,NYI,11/16/2005,7:00 PM,522,47.5
TBL,NYI,11/17/2005,7:30 PM,415,24.5
FLA,NYI,11/19/2005,7:30 PM,206,48.0
NYI,BUF,11/23/2005,7:00 PM,1088,95.5
NYI,OTT,11/25/2005,2:00 PM,0,43.0
PHI,NYI,11/26/2005,2:00 PM,78,24.0
NYI,PHI,11/29/2005,7:00 PM,78,77.0
DET,NYI,12/4/2005,5:00 PM,489,118.0
STL,NYI,12/6/2005,8:00 PM,456,51.0
CBJ,NYI,12/8/2005,7:00 PM,400,47.0
NYI,EDM,12/10/2005,7:00 PM,480,48.0
NYI,MIN,12/13/2005,7:00 PM,0,72.0
NYI,COL,12/17/2005,7:00 PM,0,96.0
TOR,NYI,12/19/2005,7:30 PM,347,48.5
NYI,NJD,12/21/2005,7:30 PM,347,48.0
NYI,OTT,12/23/2005,7:00 PM,0,47.5
BUF,NYI,12/26/2005,7:00 PM,297,72.0
NYI,NYR,12/28/2005,7:00 PM,297,48.0
OTT,NYI,12/30/2005,7:00 PM,340,48.0
NYI,TBL,1/2/2006,7:00 PM,340,72.0
NYI,FLA,1/4/2006,7:00 PM,0,48.0
CAR,NYI,1/6/2006,7:00 PM,420,48.0
NYI,CAR,1/7/2006,7:00 PM,420,24.0
NSH,NYI,1/10/2006,8:00 PM,762,73.0
NYI,CGY,1/12/2006,7:00 PM,762,47.0
NYI,VAN,1/14/2006,7:00 PM,0,48.0
CHI,NYI,1/17/2006,8:30 PM,719,73.5
CAR,NYI,1/19/2006,7:00 PM,639,46.5
NJD,NYI,1/21/2006,0:00 PM,416,41.0
NYI,NJD,1/24/2006,7:00 PM,13,79.0
NYI,PIT,1/26/2006,7:00 PM,0,48.0
BOS,NYI,1/28/2006,7:00 PM,190,48.0
NYI,WSH,1/31/2006,7:00 PM,190,72.0
NYI,NYR,2/2/2006,7:00 PM,0,48.0
PIT,NYI,2/4/2006,2:00 PM,318,43.0
NYI,TBL,2/6/2006,7:00 PM,318,53.0
PHI,NYI,2/8/2006,7:00 PM,78,48.0
NJD,NYI,2/11/2006,1:00 PM,71,66.0
NYI,MON,2/28/2006,7:00 PM,13,414.0
NYI,NJD,3/2/2006,7:00 PM,0,48.0
NYI,PHI,3/4/2006,7:00 PM,0,48.0
WSH,NYI,3/6/2006,7:00 PM,204,48.0
NYI,NJD,3/7/2006,7:00 PM,204,24.0
NYI,TOR,3/10/2006,7:00 PM,0,72.0
BOS,NYI,3/11/2006,7:00 PM,190,24.0
NJD,NYI,3/14/2006,7:30 PM,198,72.5
ATL,NYI,3/16/2006,7:00 PM,740,47.5
FLA,NYI,3/17/2006,7:30 PM,369,24.5
TBL,NYI,3/19/2006,5:00 PM,206,45.5
NYI,MON,3/21/2006,7:00 PM,1001,50.0
PIT,NYI,3/24/2006,7:30 PM,318,72.5
NYI,ATL,3/25/2006,7:00 PM,318,23.5
MON,NYI,3/28/2006,7:30 PM,335,72.5
NYI,NYR,3/29/2006,7:00 PM,335,23.5
NYI,PIT,3/31/2006,7:00 PM,0,48.0
NYI,PHI,4/2/2006,1:00 PM,0,42.0
TOR,NYI,4/5/2006,7:30 PM,347,78.5
NYR,NYI,4/6/2006,7:00 PM,342,23.5
NYI,WSH,4/8/2006,7:00 PM,7,48.0
NYR,NYI,4/11/2006,7:00 PM,7,72.0
NYI,TOR,4/13/2006,7:00 PM,7,48.0
NYI,PIT,4/15/2006,7:00 PM,0,48.0
PIT,NYI,4/17/2006,7:30 PM,318,48.5
NYI,PHI,4/18/2006,7:00 PM,318,23.5
