HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TOR,OTT,10/5/2005,8:00 PM,219,0.0
OTT,BUF,10/8/2005,7:00 PM,219,71.0
OTT,TOR,10/10/2005,7:30 PM,0,48.5
MON,OTT,10/11/2005,7:30 PM,104,24.0
OTT,BOS,10/15/2005,7:00 PM,104,95.5
TBL,OTT,10/21/2005,7:30 PM,1259,144.5
CAR,OTT,10/24/2005,7:00 PM,587,71.5
OTT,MON,10/27/2005,7:30 PM,679,72.5
TOR,OTT,10/29/2005,7:00 PM,219,47.5
OTT,PHI,10/30/2005,7:00 PM,219,24.0
BUF,OTT,11/2/2005,7:00 PM,234,72.0
OTT,TBL,11/3/2005,7:30 PM,234,24.5
OTT,NYI,11/5/2005,7:00 PM,0,47.5
BOS,OTT,11/10/2005,7:00 PM,317,120.0
OTT,BUF,11/12/2005,7:00 PM,317,48.0
OTT,CAR,11/15/2005,7:30 PM,0,72.5
OTT,FLA,11/17/2005,7:30 PM,0,48.0
OTT,NJD,11/19/2005,7:00 PM,0,47.5
CAR,OTT,11/22/2005,7:00 PM,679,72.0
NYI,OTT,11/25/2005,2:00 PM,420,67.0
OTT,BOS,11/26/2005,7:00 PM,340,29.0
OTT,MON,11/29/2005,7:30 PM,0,72.5
BOS,OTT,12/1/2005,7:00 PM,317,47.5
OTT,LAK,12/2/2005,7:30 PM,317,24.5
FLA,OTT,12/5/2005,7:00 PM,1377,71.5
VAN,OTT,12/9/2005,10:00 PM,2805,99.0
CGY,OTT,12/10/2005,10:00 PM,421,24.0
COL,OTT,12/12/2005,9:00 PM,897,47.0
OTT,DAL,12/15/2005,7:30 PM,1529,70.5
OTT,TOR,12/17/2005,7:00 PM,0,47.5
MON,OTT,12/20/2005,7:30 PM,104,72.5
PHI,OTT,12/22/2005,7:00 PM,389,47.5
NYI,OTT,12/23/2005,7:00 PM,78,24.0
OTT,NYR,12/26/2005,7:30 PM,340,72.5
OTT,CAR,12/28/2005,7:30 PM,0,48.0
OTT,NYI,12/30/2005,7:00 PM,0,47.5
ATL,OTT,1/2/2006,3:00 PM,928,68.0
WSH,OTT,1/4/2006,7:00 PM,544,52.0
BOS,OTT,1/5/2006,7:00 PM,394,24.0
MON,OTT,1/7/2006,2:00 PM,254,43.0
OTT,ARI,1/10/2006,7:30 PM,104,77.5
OTT,SJS,1/12/2006,7:30 PM,0,48.0
EDM,OTT,1/14/2006,10:00 PM,1769,50.5
MIN,OTT,1/16/2006,8:00 PM,1094,46.0
OTT,ANH,1/19/2006,7:30 PM,848,71.5
OTT,TOR,1/21/2006,7:00 PM,0,47.5
OTT,TOR,1/23/2006,7:30 PM,0,48.5
OTT,MON,1/26/2006,7:30 PM,0,72.0
OTT,BOS,1/30/2006,7:30 PM,0,96.0
NJD,OTT,2/1/2006,7:30 PM,333,48.0
PIT,OTT,2/2/2006,7:30 PM,306,24.0
BUF,OTT,2/4/2006,7:30 PM,179,48.0
OTT,PIT,2/6/2006,7:30 PM,234,48.0
NYR,OTT,2/8/2006,7:00 PM,333,47.5
OTT,ATL,2/9/2006,7:30 PM,333,24.5
OTT,PHI,2/11/2006,7:00 PM,0,47.5
PIT,OTT,3/1/2006,7:30 PM,406,432.5
OTT,WSH,3/2/2006,7:30 PM,406,24.0
TOR,OTT,3/4/2006,7:00 PM,219,47.5
TBL,OTT,3/6/2006,7:30 PM,1095,48.5
FLA,OTT,3/8/2006,7:00 PM,206,47.5
ATL,OTT,3/10/2006,7:00 PM,369,48.0
WSH,OTT,3/12/2006,3:00 PM,544,44.0
OTT,TBL,3/14/2006,7:30 PM,455,52.5
BOS,OTT,3/16/2006,7:00 PM,317,47.5
OTT,BUF,3/18/2006,7:00 PM,317,48.0
NJD,OTT,3/19/2006,7:30 PM,333,24.5
OTT,PIT,3/21/2006,7:00 PM,333,47.5
BUF,OTT,3/24/2006,8:00 PM,234,73.0
PHI,OTT,3/25/2006,7:00 PM,278,23.0
OTT,NJD,3/28/2006,7:30 PM,375,72.5
OTT,NYR,3/30/2006,7:30 PM,0,48.0
OTT,WSH,4/1/2006,7:30 PM,0,48.0
OTT,ATL,4/3/2006,7:30 PM,0,48.0
BUF,OTT,4/5/2006,7:00 PM,234,47.5
OTT,MON,4/6/2006,7:30 PM,234,24.5
OTT,BUF,4/8/2006,7:30 PM,0,48.0
MON,OTT,4/10/2006,7:30 PM,104,48.0
OTT,BOS,4/11/2006,7:30 PM,104,24.0
OTT,FLA,4/13/2006,7:30 PM,0,48.0
TOR,OTT,4/15/2006,7:00 PM,219,47.5
NYR,OTT,4/18/2006,7:00 PM,342,72.0
