HOME,AWAY,DATE,TIME (ET)
FLA,ATL,10/5/2005,7:00 PM
WSH,ATL,10/7/2005,7:00 PM
ATL,WSH,10/8/2005,7:00 PM
ATL,MON,10/12/2005,7:00 PM
ATL,TOR,10/14/2005,7:00 PM
NYR,ATL,10/15/2005,7:00 PM
ATL,TBL,10/20/2005,7:00 PM
ATL,NJD,10/22/2005,7:00 PM
NYI,ATL,10/25/2005,7:00 PM
PIT,ATL,10/27/2005,7:30 PM
ATL,TBL,10/29/2005,7:00 PM
TBL,ATL,11/1/2005,7:30 PM
WSH,ATL,11/4/2005,7:00 PM
PHI,ATL,11/5/2005,7:00 PM
ATL,PIT,11/9/2005,7:00 PM
ATL,TBL,11/11/2005,7:00 PM
CAR,ATL,11/12/2005,7:00 PM
ATL,NYI,11/16/2005,7:00 PM
PHI,ATL,11/18/2005,7:00 PM
TOR,ATL,11/19/2005,7:00 PM
MON,ATL,11/22/2005,7:30 PM
ATL,NYR,11/24/2005,7:00 PM
ATL,FLA,11/26/2005,7:00 PM
CAR,ATL,11/27/2005,5:00 PM
ATL,CAR,11/29/2005,7:00 PM
ATL,TOR,12/1/2005,7:00 PM
ANH,ATL,12/3/2005,10:30 PM
ARI,ATL,12/5/2005,9:00 PM
SJS,ATL,12/6/2005,10:30 PM
ATL,CBJ,12/9/2005,7:00 PM
ATL,CHI,12/11/2005,2:00 PM
ATL,DET,12/13/2005,7:00 PM
NJD,ATL,12/15/2005,7:30 PM
ATL,FLA,12/17/2005,7:00 PM
ATL,WSH,12/22/2005,7:00 PM
NJD,ATL,12/23/2005,7:30 PM
ATL,MON,12/26/2005,7:00 PM
ATL,PHI,12/28/2005,7:00 PM
BUF,ATL,12/30/2005,8:00 PM
WSH,ATL,1/1/2006,3:00 PM
ATL,OTT,1/2/2006,3:00 PM
CAR,ATL,1/4/2006,7:00 PM
ATL,PIT,1/6/2006,7:00 PM
PIT,ATL,1/7/2006,7:30 PM
ATL,NSH,1/11/2006,7:00 PM
ATL,STL,1/13/2006,7:00 PM
DAL,ATL,1/18/2006,8:30 PM
LAK,ATL,1/19/2006,10:30 PM
ATL,TBL,1/21/2006,7:00 PM
ATL,BOS,1/24/2006,7:00 PM
ATL,CAR,1/26/2006,7:00 PM
CAR,ATL,1/28/2006,7:00 PM
ATL,BUF,1/31/2006,7:00 PM
FLA,ATL,2/3/2006,7:30 PM
ATL,FLA,2/4/2006,7:00 PM
TOR,ATL,2/7/2006,7:30 PM
OTT,ATL,2/9/2006,7:30 PM
MON,ATL,2/11/2006,7:00 PM
BUF,ATL,3/1/2006,7:00 PM
BOS,ATL,3/2/2006,7:00 PM
ATL,WSH,3/4/2006,7:00 PM
ATL,FLA,3/6/2006,7:00 PM
ATL,NYR,3/8/2006,7:00 PM
ATL,OTT,3/10/2006,7:00 PM
NYR,ATL,3/12/2006,5:00 PM
ATL,NYI,3/16/2006,7:00 PM
ATL,PHI,3/18/2006,7:00 PM
ATL,BUF,3/20/2006,7:00 PM
BOS,ATL,3/21/2006,7:00 PM
ATL,NJD,3/23/2006,7:00 PM
NYI,ATL,3/25/2006,7:00 PM
TBL,ATL,3/30/2006,7:30 PM
ATL,CAR,4/1/2006,7:00 PM
OTT,ATL,4/3/2006,7:30 PM
FLA,ATL,4/5/2006,7:00 PM
TBL,ATL,4/6/2006,7:30 PM
ATL,CAR,4/8/2006,7:00 PM
TBL,ATL,4/11/2006,7:30 PM
ATL,WSH,4/13/2006,7:00 PM
ATL,BOS,4/15/2006,2:00 PM
WSH,ATL,4/17/2006,7:00 PM
FLA,ATL,4/18/2006,7:00 PM
