HOME,AWAY,DATE,TIME (MT)
EDM,COL,10/5/2005,8:00 PM
DAL,COL,10/8/2005,6:00 PM
COL,CGY,10/10/2005,7:00 PM
COL,NSH,10/12/2005,7:00 PM
COL,CHI,10/14/2005,7:00 PM
COL,LAK,10/19/2005,7:00 PM
EDM,COL,10/21/2005,7:00 PM
VAN,COL,10/22/2005,8:00 PM
COL,EDM,10/25/2005,7:30 PM
COL,VAN,10/27/2005,7:00 PM
COL,VAN,10/29/2005,8:00 PM
COL,ANH,11/3/2005,7:00 PM
COL,DAL,11/5/2005,7:00 PM
COL,SJS,11/8/2005,7:00 PM
VAN,COL,11/10/2005,8:00 PM
CGY,COL,11/12/2005,8:00 PM
COL,EDM,11/14/2005,7:00 PM
ARI,COL,11/16/2005,7:00 PM
ANH,COL,11/18/2005,8:30 PM
LAK,COL,11/19/2005,8:30 PM
COL,CGY,11/21/2005,7:00 PM
DET,COL,11/23/2005,5:30 PM
CBJ,COL,11/25/2005,5:00 PM
COL,VAN,11/27/2005,7:00 PM
EDM,COL,11/29/2005,7:00 PM
VAN,COL,11/30/2005,8:00 PM
COL,BUF,12/4/2005,7:00 PM
COL,BOS,12/7/2005,7:00 PM
NJD,COL,12/9/2005,5:30 PM
PIT,COL,12/10/2005,5:30 PM
COL,OTT,12/12/2005,7:00 PM
NYI,COL,12/17/2005,5:00 PM
NYR,COL,12/18/2005,3:00 PM
NSH,COL,12/20/2005,6:00 PM
COL,MIN,12/22/2005,7:00 PM
MIN,COL,12/23/2005,6:00 PM
COL,ARI,12/26/2005,7:00 PM
COL,LAK,12/28/2005,7:00 PM
SJS,COL,12/30/2005,8:30 PM
ARI,COL,12/31/2005,6:00 PM
COL,NSH,1/3/2006,7:00 PM
MIN,COL,1/5/2006,6:00 PM
COL,CBJ,1/7/2006,1:00 PM
COL,STL,1/9/2006,7:00 PM
COL,MON,1/11/2006,7:00 PM
PHI,COL,1/14/2006,0:00 PM
COL,TOR,1/17/2006,7:00 PM
CHI,COL,1/19/2006,6:30 PM
COL,DET,1/21/2006,0:00 PM
COL,CGY,1/24/2006,7:00 PM
COL,DAL,1/26/2006,7:00 PM
COL,VAN,1/28/2006,8:00 PM
COL,MIN,1/31/2006,7:00 PM
NSH,COL,2/2/2006,6:00 PM
COL,DET,2/4/2006,0:00 PM
COL,EDM,2/7/2006,7:00 PM
MIN,COL,2/9/2006,6:00 PM
CBJ,COL,2/10/2006,5:00 PM
DET,COL,2/12/2006,3:00 PM
COL,MIN,2/28/2006,7:00 PM
COL,CBJ,3/2/2006,7:00 PM
DAL,COL,3/4/2006,6:00 PM
MIN,COL,3/5/2006,5:00 PM
STL,COL,3/7/2006,6:00 PM
CHI,COL,3/9/2006,6:30 PM
COL,CGY,3/12/2006,1:00 PM
CGY,COL,3/13/2006,7:00 PM
SJS,COL,3/19/2006,6:00 PM
LAK,COL,3/20/2006,8:30 PM
ANH,COL,3/22/2006,8:30 PM
STL,COL,3/25/2006,6:00 PM
COL,EDM,3/26/2006,7:00 PM
COL,ANH,3/28/2006,7:00 PM
CGY,COL,3/31/2006,7:30 PM
COL,CHI,4/3/2006,7:00 PM
COL,SJS,4/5/2006,7:00 PM
COL,STL,4/8/2006,0:00 PM
COL,MIN,4/9/2006,6:00 PM
COL,ARI,4/11/2006,7:00 PM
CGY,COL,4/13/2006,7:00 PM
VAN,COL,4/15/2006,8:00 PM
EDM,COL,4/17/2006,7:00 PM
