HOME,AWAY,DATE,TIME (ET)
NJD,PIT,10/5/2005,7:30 PM
PHI,NJD,10/7/2005,7:00 PM
NJD,NYR,10/8/2005,7:30 PM
NYR,NJD,10/13/2005,7:00 PM
NJD,CAR,10/15/2005,7:30 PM
NJD,FLA,10/18/2005,7:30 PM
PIT,NJD,10/20/2005,7:30 PM
ATL,NJD,10/22/2005,7:00 PM
NJD,TBL,10/26/2005,7:30 PM
NJD,BUF,10/28/2005,7:30 PM
BOS,NJD,10/29/2005,7:00 PM
NJD,PIT,11/1/2005,7:30 PM
NJD,NYR,11/3/2005,7:30 PM
NYR,NJD,11/5/2005,1:00 PM
NJD,NYI,11/8/2005,7:30 PM
WSH,NJD,11/11/2005,1:00 PM
NJD,WSH,11/12/2005,1:00 PM
BUF,NJD,11/15/2005,7:00 PM
NJD,MON,11/18/2005,7:30 PM
OTT,NJD,11/19/2005,7:00 PM
FLA,NJD,11/23/2005,7:00 PM
TBL,NJD,11/25/2005,7:30 PM
NJD,BOS,11/29/2005,7:30 PM
PHI,NJD,11/30/2005,7:00 PM
NJD,MIN,12/3/2005,1:00 PM
DET,NJD,12/6/2005,7:30 PM
NJD,CGY,12/7/2005,7:30 PM
NJD,COL,12/9/2005,7:30 PM
CBJ,NJD,12/11/2005,5:00 PM
NJD,EDM,12/13/2005,7:30 PM
NJD,ATL,12/15/2005,7:30 PM
CAR,NJD,12/17/2005,7:00 PM
NYR,NJD,12/20/2005,7:00 PM
NYI,NJD,12/21/2005,7:30 PM
NJD,ATL,12/23/2005,7:30 PM
TOR,NJD,12/26/2005,7:30 PM
NJD,WSH,12/28/2005,7:30 PM
PIT,NJD,12/29/2005,7:30 PM
NJD,TOR,12/31/2005,7:00 PM
NJD,FLA,1/3/2006,7:30 PM
NJD,MON,1/5/2006,7:30 PM
BUF,NJD,1/7/2006,7:30 PM
NJD,PHI,1/9/2006,7:30 PM
NJD,VAN,1/13/2006,7:30 PM
CHI,NJD,1/15/2006,7:00 PM
STL,NJD,1/17/2006,8:00 PM
NSH,NJD,1/19/2006,8:00 PM
NJD,NYI,1/21/2006,0:00 PM
NYR,NJD,1/22/2006,7:00 PM
NYI,NJD,1/24/2006,7:00 PM
TBL,NJD,1/26/2006,7:30 PM
FLA,NJD,1/27/2006,7:30 PM
NJD,OTT,2/1/2006,7:30 PM
NJD,CAR,2/3/2006,7:30 PM
TOR,NJD,2/4/2006,7:00 PM
NJD,TBL,2/7/2006,7:30 PM
BOS,NJD,2/9/2006,7:00 PM
NJD,NYI,2/11/2006,1:00 PM
NJD,PHI,3/1/2006,7:30 PM
NYI,NJD,3/2/2006,7:00 PM
NJD,NYR,3/4/2006,7:30 PM
NYI,NJD,3/7/2006,7:00 PM
WSH,NJD,3/10/2006,7:00 PM
PIT,NJD,3/11/2006,7:30 PM
NJD,NYI,3/14/2006,7:30 PM
NJD,PIT,3/16/2006,7:30 PM
NJD,OTT,3/19/2006,7:30 PM
PHI,NJD,3/21/2006,7:00 PM
ATL,NJD,3/23/2006,7:00 PM
NJD,BOS,3/24/2006,7:30 PM
NJD,TOR,3/26/2006,7:30 PM
OTT,NJD,3/28/2006,7:30 PM
NJD,BUF,3/30/2006,7:30 PM
PHI,NJD,4/1/2006,2:00 PM
PIT,NJD,4/2/2006,3:00 PM
NJD,PIT,4/5/2006,7:30 PM
MON,NJD,4/8/2006,7:00 PM
NJD,NYR,4/9/2006,7:30 PM
CAR,NJD,4/11/2006,7:00 PM
NJD,PHI,4/13/2006,7:30 PM
NJD,PHI,4/16/2006,1:00 PM
MON,NJD,4/18/2006,7:30 PM
