HOME,AWAY,DATE,TIME (ET)
PHI,NYR,10/5/2005,7:00 PM
PHI,NJD,10/7/2005,7:00 PM
TOR,PHI,10/11/2005,7:30 PM
PHI,PIT,10/14/2005,7:00 PM
PHI,NYI,10/15/2005,7:00 PM
TOR,PHI,10/22/2005,7:00 PM
MON,PHI,10/25/2005,7:00 PM
PHI,FLA,10/27/2005,7:00 PM
CAR,PHI,10/28/2005,7:00 PM
OTT,PHI,10/30/2005,7:00 PM
PHI,WSH,11/3/2005,7:00 PM
PHI,ATL,11/5/2005,7:00 PM
PHI,BOS,11/8/2005,7:00 PM
PHI,NYI,11/10/2005,7:00 PM
PHI,FLA,11/12/2005,7:00 PM
TBL,PHI,11/14/2005,7:30 PM
PHI,PIT,11/16/2005,7:00 PM
PHI,ATL,11/18/2005,7:00 PM
PIT,PHI,11/19/2005,7:30 PM
PHI,TBL,11/22/2005,7:00 PM
BOS,PHI,11/25/2005,0:00 PM
PHI,NYI,11/26/2005,2:00 PM
NYI,PHI,11/29/2005,7:00 PM
PHI,NJD,11/30/2005,7:00 PM
NSH,PHI,12/3/2005,8:00 PM
PHI,CGY,12/6/2005,7:00 PM
PHI,EDM,12/8/2005,7:00 PM
PHI,MIN,12/10/2005,2:00 PM
CBJ,PHI,12/13/2005,7:00 PM
PHI,VAN,12/15/2005,7:00 PM
STL,PHI,12/17/2005,8:00 PM
PHI,BUF,12/19/2005,7:00 PM
PHI,OTT,12/22/2005,7:00 PM
PIT,PHI,12/23/2005,7:30 PM
FLA,PHI,12/26/2005,7:00 PM
ATL,PHI,12/28/2005,7:00 PM
CAR,PHI,12/29/2005,7:00 PM
WSH,PHI,12/31/2005,1:00 PM
BOS,PHI,1/2/2006,1:00 PM
NYR,PHI,1/5/2006,7:00 PM
WSH,PHI,1/6/2006,7:00 PM
NJD,PHI,1/9/2006,7:30 PM
CHI,PHI,1/11/2006,8:30 PM
DET,PHI,1/12/2006,7:30 PM
PHI,COL,1/14/2006,2:00 PM
PHI,CAR,1/17/2006,7:00 PM
PHI,BOS,1/19/2006,7:00 PM
PIT,PHI,1/21/2006,2:00 PM
PHI,PIT,1/23/2006,7:00 PM
PHI,MON,1/25/2006,7:00 PM
PHI,TBL,1/28/2006,2:00 PM
NYR,PHI,1/30/2006,7:00 PM
BUF,PHI,2/2/2006,7:00 PM
PHI,NYR,2/4/2006,5:00 PM
MON,PHI,2/5/2006,3:00 PM
PHI,NYI,2/8/2006,7:00 PM
PHI,WSH,2/10/2006,7:00 PM
OTT,PHI,2/11/2006,7:00 PM
NJD,PHI,3/1/2006,7:30 PM
PHI,NYR,3/2/2006,7:00 PM
NYI,PHI,3/4/2006,7:00 PM
PHI,MON,3/6/2006,7:00 PM
PHI,CAR,3/8/2006,7:00 PM
PHI,BUF,3/11/2006,2:00 PM
PIT,PHI,3/12/2006,7:30 PM
FLA,PHI,3/15/2006,7:00 PM
TBL,PHI,3/17/2006,7:30 PM
ATL,PHI,3/18/2006,7:00 PM
PHI,NJD,3/21/2006,7:00 PM
NYR,PHI,3/22/2006,7:00 PM
PHI,OTT,3/25/2006,7:00 PM
PHI,TOR,3/28/2006,7:00 PM
PHI,NJD,4/1/2006,2:00 PM
NYI,PHI,4/2/2006,1:00 PM
NYR,PHI,4/4/2006,7:00 PM
BUF,PHI,4/7/2006,8:00 PM
PHI,TOR,4/8/2006,7:00 PM
PHI,PIT,4/11/2006,7:00 PM
NJD,PHI,4/13/2006,7:30 PM
PHI,NYR,4/15/2006,2:00 PM
NJD,PHI,4/16/2006,1:00 PM
NYI,PHI,4/18/2006,7:00 PM
