HOME,AWAY,DATE,TIME (ET)
NJD,PIT,10/5/2005,7:30 PM
CAR,PIT,10/7/2005,7:00 PM
PIT,BOS,10/8/2005,7:30 PM
BUF,PIT,10/10/2005,7:00 PM
PHI,PIT,10/14/2005,7:00 PM
PIT,TBL,10/15/2005,7:30 PM
PIT,NJD,10/20/2005,7:30 PM
BOS,PIT,10/22/2005,7:00 PM
PIT,FLA,10/25/2005,7:30 PM
PIT,ATL,10/27/2005,7:30 PM
PIT,CAR,10/29/2005,7:30 PM
NJD,PIT,11/1/2005,7:30 PM
NYI,PIT,11/3/2005,7:00 PM
BOS,PIT,11/5/2005,7:00 PM
NYR,PIT,11/7/2005,7:00 PM
ATL,PIT,11/9/2005,7:00 PM
PIT,MON,11/10/2005,7:30 PM
PIT,NYR,11/12/2005,7:30 PM
PIT,NYI,11/14/2005,7:30 PM
PHI,PIT,11/16/2005,7:00 PM
PIT,PHI,11/19/2005,7:30 PM
PIT,WSH,11/22/2005,7:30 PM
FLA,PIT,11/25/2005,7:30 PM
TBL,PIT,11/27/2005,5:00 PM
PIT,BUF,11/29/2005,7:30 PM
NYR,PIT,12/1/2005,7:00 PM
PIT,CGY,12/3/2005,7:00 PM
PIT,MIN,12/8/2005,7:30 PM
PIT,COL,12/10/2005,7:30 PM
DET,PIT,12/12/2005,7:00 PM
STL,PIT,12/13/2005,8:00 PM
PIT,BUF,12/16/2005,7:00 PM
BUF,PIT,12/17/2005,5:00 PM
PIT,PHI,12/23/2005,7:30 PM
PIT,TOR,12/27/2005,7:30 PM
PIT,NJD,12/29/2005,7:30 PM
PIT,NYR,12/31/2005,1:00 PM
TOR,PIT,1/2/2006,7:30 PM
MON,PIT,1/3/2006,7:30 PM
ATL,PIT,1/6/2006,7:00 PM
PIT,ATL,1/7/2006,7:30 PM
PIT,EDM,1/10/2006,7:30 PM
CBJ,PIT,1/11/2006,7:00 PM
CHI,PIT,1/13/2006,8:30 PM
NSH,PIT,1/15/2006,8:00 PM
PIT,VAN,1/16/2006,7:30 PM
PIT,NYR,1/19/2006,7:30 PM
PIT,PHI,1/21/2006,2:00 PM
PHI,PIT,1/23/2006,7:00 PM
PIT,WSH,1/25/2006,7:30 PM
NYI,PIT,1/26/2006,7:00 PM
NYR,PIT,1/28/2006,2:00 PM
NYR,PIT,2/1/2006,7:00 PM
PIT,OTT,2/2/2006,7:30 PM
PIT,NYI,2/4/2006,2:00 PM
OTT,PIT,2/6/2006,7:30 PM
PIT,BOS,2/8/2006,7:30 PM
CAR,PIT,2/10/2006,7:00 PM
WSH,PIT,2/11/2006,7:00 PM
PIT,OTT,3/1/2006,7:30 PM
PIT,CAR,3/4/2006,7:30 PM
PIT,TBL,3/7/2006,7:30 PM
WSH,PIT,3/8/2006,7:00 PM
PIT,NJD,3/11/2006,7:30 PM
PIT,PHI,3/12/2006,7:30 PM
NJD,PIT,3/16/2006,7:30 PM
MON,PIT,3/18/2006,7:00 PM
PIT,TOR,3/19/2006,7:30 PM
OTT,PIT,3/21/2006,7:00 PM
PIT,NYI,3/24/2006,7:30 PM
PIT,MON,3/26/2006,7:30 PM
PIT,FLA,3/29/2006,7:30 PM
NYI,PIT,3/31/2006,7:00 PM
PIT,NJD,4/2/2006,3:00 PM
NJD,PIT,4/5/2006,7:30 PM
FLA,PIT,4/7/2006,7:30 PM
TBL,PIT,4/8/2006,7:30 PM
PHI,PIT,4/11/2006,7:00 PM
PIT,NYR,4/13/2006,7:30 PM
NYI,PIT,4/15/2006,7:00 PM
PIT,NYI,4/17/2006,7:30 PM
TOR,PIT,4/18/2006,7:30 PM
