DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CJB,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
10/4/2006,,,,,CAR-A,BUF-H,,,,DAL-H,COL-A,,,,,,,,,,,TOR-A,,,,,,OTT-H,,
10/5/2006,,NYI-H,TBL-H,,,,,EDM-A,NSH-A,MIN-A,,VAN-H,CGY-H,,,COL-H,,,CHI-H,ARI-A,WSH-H,TOR-H,PIT-A,PHI-H,STL-H,SJS-A,ATL-A,OTT-A,DET-A,NYR-A
10/6/2006,LAK-H,,,FLA-A,MON-H,NJD-H,VAN-H,,,,,,,BOS-H,ANH-A,,BUF-A,CAR-A,,,,,,,,,,,CBJ-A,
10/7/2006,ARI-A,ANH-H,FLA-H,TBL-A,OTT-A,WSH-A,CHI-A,EDM-H,CBJ-H,,NJD-H,PIT-A,CGY-A,ATL-A,STL-H,NSH-H,TOR-A,DAL-A,MIN-A,SJS-A,PHI-A,BUF-H,NYR-H,DET-H,NYI-H,LAK-A,BOS-H,MON-H,,CAR-H
10/8/2006,,,,,,,,,,VAN-H,,,,,,,,,,,,,,,,,,,COL-A,
10/9/2006,STL-H,CBJ-A,TBL-A,,,,ARI-H,SJS-H,,,,,,TOR-A,,,,,,,,,,,CGY-A,ANH-A,ATL-H,FLA-H,,
10/10/2006,,,,,,,,,,,,,,,NYI-H,VAN-H,,,,LAK-A,PHI-H,,NYR-A,,,,,,MIN-A,
10/11/2006,NYI-H,DET-A,BOS-H,ATL-A,,FLA-A,,,,,,ARI-H,,CAR-H,,,PHI-A,,,ANH-A,,,MON-H,,,,,,,
10/12/2006,,,,STL-A,,,,OTT-A,NSH-H,,LAK-A,,SJS-H,,DAL-H,WSH-H,,TOR-H,CHI-A,,PIT-H,CGY-H,,NYR-A,EDM-A,BOS-H,,NJD-A,,MIN-A
10/13/2006,,,CAR-H,,DET-A,ATL-A,,,,,,BUF-H,,TBL-H,,,,,,,,,,,VAN-A,,FLA-A,,SJS-H,
10/14/2006,,NSH-A,WSH-A,NYI-A,NYR-H,PIT-A,MIN-A,TOR-A,STL-A,EDM-H,LAK-A,,COL-A,TBL-A,DAL-H,CBJ-H,OTT-H,PHI-H,ARI-H,BOS-H,BUF-A,MON-A,NJD-A,CAR-H,,CHI-H,FLA-H,CGY-H,,ATL-H
10/15/2006,DAL-H,,,,,,,,,,ANH-A,,,,,,,,,,,,,,,,,,,
10/16/2006,,,,,,TBL-A,,,COL-A,CHI-H,,LAK-A,VAN-A,,DET-H,,,NYR-A,NYI-A,NSH-H,NJD-H,,,,,,CAR-H,,EDM-H,
10/17/2006,,STL-A,,,PHI-H,,,MON-A,,,SJS-A,,VAN-H,,,,CGY-H,,,,,,BUF-A,,DAL-H,ARI-H,,,EDM-A,
10/18/2006,DET-H,,,,,,,,MON-H,TOR-A,,ANH-A,,WSH-A,MIN-H,LAK-A,CHI-A,PIT-A,NYR-A,,NSH-H,,,NJD-H,,,,COL-H,,FLA-H
10/19/2006,,LAK-H,WSH-H,CGY-H,,,,BOS-A,,OTT-A,,SJS-A,,,ARI-A,,,NSH-H,NJD-A,PIT-H,,COL-H,TBL-A,NYI-A,DET-H,,PHI-H,,,ATL-A
10/20/2006,MIN-H,,,,CAR-H,BUF-A,TOR-H,,DAL-A,,CHI-H,,,PHI-H,,ANH-A,,,,,,,FLA-A,,,VAN-H,,CBJ-A,STL-A,
10/21/2006,,DAL-H,FLA-H,BUF-H,BOS-A,NYI-A,PIT-A,,STL-H,MON-A,ARI-A,EDM-A,DET-H,ATL-A,,SJS-A,COL-H,OTT-A,VAN-H,CAR-H,TOR-A,NJD-H,,CBJ-H,MIN-H,CHI-A,WSH-A,NYR-H,NSH-A,TBL-H
10/22/2006,LAK-A,,,,,,,,,,,,,,ANH-H,,,,,,,,,,,,,,,
10/23/2006,,EDM-A,FLA-A,,MON-A,,SJS-H,,,LAK-H,VAN-H,,ARI-H,ATL-H,COL-A,,BUF-H,,,,,,,,CBJ-A,,,,DAL-A,
10/24/2006,,CGY-A,,,,,,ARI-H,,,,,,,,,,PIT-A,,,,TOR-A,,NJD-H,,,,OTT-H,,
10/25/2006,EDM-H,,CAR-A,,,ATL-H,,,VAN-H,WSH-H,,SJS-H,ANH-A,NYR-A,MIN-A,LAK-H,,,,,FLA-H,,,,DET-A,,,,CHI-A,COL-A
10/26/2006,,EDM-H,PHI-A,MON-H,NYI-A,TBL-A,,,,,,,ARI-A,NJD-A,,,BOS-A,FLA-H,SJS-H,BUF-H,,TOR-H,ATL-H,,NSH-A,,CAR-H,OTT-A,,
10/27/2006,MIN-A,,,,,,LAK-H,,,,DET-H,DAL-A,,,CBJ-A,ANH-H,,,,,,,,,,,,,WSH-H,VAN-A
