HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
COL,DAL,10/4/2006,8:00 PM,0,0.0
MIN,COL,10/5/2006,6:30 PM,700,22.5
COL,VAN,10/8/2006,6:00 PM,700,71.5
COL,EDM,10/14/2006,8:00 PM,0,146.0
COL,CHI,10/16/2006,7:00 PM,0,47.0
TOR,COL,10/18/2006,5:30 PM,1340,46.5
OTT,COL,10/19/2006,5:30 PM,219,24.0
MON,COL,10/21/2006,5:00 PM,104,47.5
COL,LAK,10/23/2006,6:00 PM,1633,49.0
COL,WSH,10/25/2006,7:00 PM,0,49.0
COL,MIN,10/29/2006,6:00 PM,0,95.0
CBJ,COL,11/1/2006,5:00 PM,1161,71.0
STL,COL,11/2/2006,6:00 PM,400,25.0
COL,VAN,11/4/2006,8:00 PM,789,50.0
COL,LAK,11/7/2006,7:30 PM,0,71.5
NSH,COL,11/11/2006,6:00 PM,1017,94.5
COL,EDM,11/13/2006,7:00 PM,1017,49.0
COL,SJS,11/15/2006,7:00 PM,0,48.0
CBJ,COL,11/17/2006,5:00 PM,1161,46.0
MIN,COL,11/18/2006,6:00 PM,620,25.0
DAL,COL,11/20/2006,6:00 PM,861,48.0
COL,ANH,11/22/2006,7:00 PM,660,49.0
COL,VAN,11/25/2006,8:00 PM,0,73.0
CGY,COL,11/28/2006,7:00 PM,897,71.0
EDM,COL,11/30/2006,7:00 PM,176,48.0
VAN,COL,12/2/2006,8:00 PM,509,49.0
COL,CBJ,12/5/2006,7:00 PM,1111,71.0
SJS,COL,12/7/2006,8:30 PM,932,49.5
LAK,COL,12/9/2006,8:30 PM,296,48.0
COL,CAR,12/11/2006,7:30 PM,946,47.0
COL,STL,12/13/2006,7:00 PM,0,47.5
COL,EDM,12/15/2006,7:00 PM,0,48.0
CHI,COL,12/17/2006,5:00 PM,912,46.0
EDM,COL,12/19/2006,7:00 PM,1440,50.0
COL,CHI,12/23/2006,7:00 PM,1037,96.0
COL,DAL,12/27/2006,7:00 PM,0,96.0
COL,STL,12/29/2006,7:00 PM,0,48.0
STL,COL,12/30/2006,6:00 PM,789,23.0
NSH,COL,1/1/2007,1:00 PM,255,43.0
COL,TBL,1/5/2007,7:00 PM,1017,102.0
MIN,COL,1/6/2007,6:00 PM,700,23.0
COL,DET,1/9/2007,7:00 PM,700,73.0
COL,CGY,1/11/2007,7:00 PM,0,48.0
ANH,COL,1/13/2007,8:00 PM,828,49.0
SJS,COL,1/15/2007,8:00 PM,325,48.0
COL,ARI,1/17/2007,7:00 PM,932,47.0
COL,DET,1/20/2007,7:00 PM,0,72.0
COL,ARI,1/26/2007,7:00 PM,0,144.0
DET,COL,1/28/2007,1:30 PM,1148,42.5
COL,NSH,1/30/2007,6:00 PM,1148,52.5
COL,MIN,2/1/2007,7:00 PM,0,49.0
COL,EDM,2/3/2007,1:00 PM,0,42.0
COL,FLA,2/6/2007,7:00 PM,0,78.0
COL,ATL,2/8/2007,7:00 PM,0,48.0
DAL,COL,2/11/2007,1:30 PM,660,66.5
COL,ANH,2/13/2007,7:00 PM,660,53.5
CGY,COL,2/15/2007,7:30 PM,897,48.5
CGY,COL,2/17/2007,8:00 PM,0,48.5
VAN,COL,2/18/2007,8:00 PM,421,24.0
COL,CGY,2/20/2007,7:00 PM,1111,47.0
COL,MIN,2/22/2007,7:00 PM,0,48.0
LAK,COL,2/24/2007,8:30 PM,946,49.5
ANH,COL,2/25/2007,6:00 PM,32,21.5
COL,CBJ,2/27/2007,7:00 PM,828,49.0
CHI,COL,3/1/2007,6:30 PM,912,47.5
DET,COL,3/4/2007,10:30 PM,238,76.0
BOS,COL,3/6/2007,5:00 PM,618,42.5
BUF,COL,3/7/2007,5:00 PM,401,24.0
MIN,COL,3/11/2007,1:00 PM,724,92.0
COL,CGY,3/14/2007,7:00 PM,700,78.0
ARI,COL,3/17/2007,8:00 PM,591,73.0
COL,SJS,3/18/2007,6:00 PM,591,22.0
EDM,COL,3/21/2007,7:00 PM,1037,73.0
EDM,COL,3/23/2007,7:00 PM,0,48.0
VAN,COL,3/25/2007,8:00 PM,509,49.0
COL,VAN,3/27/2007,7:00 PM,1111,47.0
ARI,COL,3/29/2007,8:00 PM,591,49.0
COL,MIN,3/31/2007,1:00 PM,591,41.0
CGY,COL,4/3/2007,7:00 PM,897,78.0
VAN,COL,4/5/2007,8:00 PM,421,49.0
COL,NSH,4/7/2007,7:00 PM,1111,47.0
COL,CGY,4/8/2007,7:00 PM,0,24.0
