HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
MIN,COL,10/5/2006,7:30 PM,0,0.0
MIN,NSH,10/7/2006,7:00 PM,0,47.5
MIN,VAN,10/10/2006,8:00 PM,0,73.0
MIN,WSH,10/12/2006,7:00 PM,0,47.0
MIN,CBJ,10/14/2006,7:00 PM,0,48.0
LAK,MIN,10/18/2006,9:30 PM,1539,98.5
ANH,MIN,10/20/2006,9:00 PM,32,47.5
SJS,MIN,10/21/2006,9:30 PM,325,24.5
MIN,LAK,10/25/2006,7:00 PM,1597,93.5
MIN,ANH,10/27/2006,7:00 PM,0,48.0
COL,MIN,10/29/2006,7:00 PM,700,48.0
MIN,VAN,11/2/2006,7:00 PM,700,96.0
MIN,NSH,11/4/2006,7:00 PM,0,48.0
SJS,MIN,11/7/2006,9:30 PM,1579,74.5
LAK,MIN,11/11/2006,9:30 PM,296,96.0
ANH,MIN,11/12/2006,7:00 PM,32,21.5
ARI,MIN,11/14/2006,8:00 PM,329,49.0
NSH,MIN,11/16/2006,7:00 PM,1451,47.0
MIN,COL,11/18/2006,7:00 PM,691,48.0
OTT,MIN,11/20/2006,6:30 PM,848,47.5
MON,MIN,11/22/2006,6:30 PM,104,48.0
MIN,ARI,11/24/2006,1:00 PM,952,42.5
CBJ,MIN,11/25/2006,6:00 PM,620,29.0
MIN,SJS,11/29/2006,7:00 PM,620,97.0
MIN,DET,12/1/2006,7:00 PM,0,48.0
DAL,MIN,12/2/2006,7:00 PM,861,24.0
MIN,CHI,12/5/2006,7:00 PM,861,72.0
MIN,CGY,12/7/2006,7:00 PM,0,48.0
MIN,CHI,12/9/2006,7:00 PM,0,48.0
CGY,MIN,12/12/2006,8:00 PM,1054,73.0
EDM,MIN,12/14/2006,8:00 PM,176,48.0
VAN,MIN,12/16/2006,9:00 PM,509,49.0
MIN,VAN,12/19/2006,7:00 PM,1437,70.0
DET,MIN,12/22/2006,6:30 PM,617,71.5
MIN,DET,12/23/2006,7:00 PM,617,24.5
TOR,MIN,12/26/2006,6:30 PM,686,71.5
DET,MIN,12/27/2006,6:30 PM,208,24.0
MIN,CBJ,12/29/2006,7:00 PM,617,48.5
MIN,ANH,12/31/2006,5:00 PM,0,46.0
MIN,ATL,1/2/2007,7:00 PM,0,50.0
MIN,TBL,1/4/2007,7:00 PM,0,48.0
MIN,COL,1/6/2007,7:00 PM,0,48.0
CGY,MIN,1/9/2007,8:00 PM,1054,73.0
VAN,MIN,1/11/2007,9:00 PM,421,49.0
EDM,MIN,1/12/2007,8:00 PM,509,23.0
CHI,MIN,1/14/2007,6:00 PM,1440,46.0
MIN,EDM,1/16/2007,7:00 PM,347,49.0
CHI,MIN,1/19/2007,7:30 PM,347,72.5
MIN,DAL,1/20/2007,8:00 PM,347,24.5
MIN,CGY,1/26/2007,7:00 PM,0,143.0
CBJ,MIN,1/27/2007,6:00 PM,620,23.0
STL,MIN,1/30/2007,7:00 PM,400,73.0
COL,MIN,2/1/2007,8:00 PM,789,49.0
ARI,MIN,2/3/2007,8:00 PM,591,48.0
DAL,MIN,2/6/2007,7:00 PM,987,71.0
MIN,FLA,2/8/2007,7:00 PM,861,48.0
MIN,CAR,2/10/2007,7:00 PM,0,48.0
MIN,VAN,2/14/2007,8:00 PM,0,97.0
NSH,MIN,2/17/2007,7:00 PM,691,71.0
STL,MIN,2/18/2007,5:00 PM,255,22.0
MIN,DAL,2/20/2007,7:00 PM,460,50.0
COL,MIN,2/22/2007,8:00 PM,700,49.0
MIN,EDM,2/25/2007,1:00 PM,700,65.0
CGY,MIN,2/28/2007,9:00 PM,1054,80.0
EDM,MIN,3/1/2007,8:00 PM,176,23.0
VAN,MIN,3/4/2007,9:00 PM,509,73.0
MIN,SJS,3/6/2007,7:00 PM,1437,46.0
BOS,MIN,3/8/2007,6:00 PM,1118,47.0
BUF,MIN,3/9/2007,7:00 PM,401,25.0
MIN,COL,3/11/2007,2:00 PM,724,43.0
VAN,MIN,3/13/2007,9:00 PM,1437,55.0
EDM,MIN,3/15/2007,8:00 PM,509,47.0
CGY,MIN,3/17/2007,8:00 PM,176,48.0
MIN,ARI,3/20/2007,7:00 PM,1054,71.0
MIN,STL,3/22/2007,7:00 PM,0,48.0
MIN,LAK,3/24/2007,7:00 PM,0,48.0
MIN,CGY,3/27/2007,7:00 PM,0,72.0
MIN,CGY,3/29/2007,7:00 PM,0,48.0
COL,MIN,3/31/2007,2:00 PM,700,43.0
MIN,EDM,4/3/2007,7:00 PM,700,77.0
MIN,EDM,4/5/2007,7:00 PM,0,48.0
MIN,STL,4/7/2007,7:00 PM,0,48.0
