HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
SJS,STL,10/5/2006,7:30 PM,0,0.0
SJS,NYI,10/7/2006,7:30 PM,0,48.0
CGY,SJS,10/9/2006,5:00 PM,1023,45.5
EDM,SJS,10/12/2006,7:00 PM,176,74.0
VAN,SJS,10/13/2006,7:00 PM,509,24.0
SJS,DAL,10/17/2006,7:30 PM,830,96.5
SJS,DET,10/19/2006,7:30 PM,0,48.0
SJS,MIN,10/21/2006,7:30 PM,0,48.0
CBJ,SJS,10/23/2006,4:00 PM,2092,44.5
DET,SJS,10/25/2006,4:30 PM,166,48.5
NSH,SJS,10/26/2006,5:00 PM,472,24.5
TBL,SJS,10/29/2006,2:00 PM,619,69.0
FLA,SJS,10/31/2006,4:30 PM,206,50.5
SJS,NYR,11/2/2006,7:30 PM,2557,51.0
SJS,PIT,11/4/2006,7:30 PM,0,48.0
SJS,MIN,11/7/2006,7:30 PM,0,72.0
LAK,SJS,11/9/2006,7:30 PM,296,48.0
ARI,SJS,11/11/2006,6:00 PM,360,46.5
LAK,SJS,11/13/2006,7:30 PM,360,49.5
COL,SJS,11/15/2006,6:00 PM,946,46.5
SJS,PHI,11/18/2006,7:30 PM,932,73.5
ANH,SJS,11/21/2006,7:00 PM,325,71.5
SJS,LAK,11/22/2006,7:30 PM,325,24.5
SJS,NJD,11/25/2006,7:30 PM,0,72.0
STL,SJS,11/28/2006,5:00 PM,1718,69.5
MIN,SJS,11/29/2006,5:00 PM,460,24.0
DET,SJS,12/2/2006,4:00 PM,617,71.0
DAL,SJS,12/4/2006,6:00 PM,998,50.0
SJS,COL,12/7/2006,7:30 PM,1449,73.5
SJS,NSH,12/9/2006,7:30 PM,0,48.0
SJS,ARI,12/11/2006,7:00 PM,0,47.5
LAK,SJS,12/12/2006,7:30 PM,296,24.5
SJS,LAK,12/14/2006,7:30 PM,296,48.0
SJS,ANH,12/16/2006,7:30 PM,0,48.0
SJS,DAL,12/21/2006,7:30 PM,0,120.0
SJS,CGY,12/23/2006,7:00 PM,0,47.5
SJS,ANH,12/26/2006,7:30 PM,0,72.5
SJS,ARI,12/28/2006,7:30 PM,0,48.0
ARI,SJS,12/30/2006,6:00 PM,602,46.5
DAL,SJS,12/31/2006,5:00 PM,987,23.0
SJS,DET,1/4/2007,7:30 PM,1449,98.5
SJS,CBJ,1/6/2007,7:30 PM,0,48.0
SJS,EDM,1/10/2007,7:30 PM,0,96.0
LAK,SJS,1/11/2007,7:30 PM,296,24.0
ARI,SJS,1/13/2007,6:00 PM,360,46.5
SJS,COL,1/15/2007,7:00 PM,602,49.0
SJS,ARI,1/18/2007,7:30 PM,0,72.5
SJS,STL,1/20/2007,7:30 PM,0,48.0
EDM,SJS,1/26/2007,6:00 PM,1192,142.5
VAN,SJS,1/28/2007,7:00 PM,509,49.0
SJS,DAL,1/30/2007,7:30 PM,830,48.5
SJS,DAL,2/1/2007,7:30 PM,0,48.0
SJS,CHI,2/3/2007,1:00 PM,0,41.5
SJS,ANH,2/6/2007,7:30 PM,0,78.5
ANH,SJS,2/7/2007,7:00 PM,325,23.5
STL,SJS,2/13/2007,5:00 PM,1573,142.0
NSH,SJS,2/14/2007,5:00 PM,255,24.0
CBJ,SJS,2/16/2007,4:00 PM,335,47.0
DAL,SJS,2/18/2007,0:30 PM,913,44.5
WSH,SJS,2/21/2007,4:00 PM,1183,75.5
CHI,SJS,2/22/2007,5:30 PM,598,25.5
CGY,SJS,2/24/2007,7:00 PM,1401,49.5
SJS,ANH,2/26/2007,7:00 PM,1023,48.0
SJS,NSH,2/28/2007,7:30 PM,0,48.5
ANH,SJS,3/2/2007,7:00 PM,325,47.5
DAL,SJS,3/4/2007,0:30 PM,1222,41.5
MIN,SJS,3/6/2007,5:00 PM,861,52.5
SJS,VAN,3/9/2007,7:30 PM,1579,74.5
SJS,EDM,3/11/2007,5:00 PM,0,45.5
SJS,CHI,3/13/2007,7:30 PM,0,50.5
ARI,SJS,3/15/2007,7:00 PM,602,47.5
SJS,CBJ,3/16/2007,7:30 PM,602,24.5
COL,SJS,3/18/2007,5:00 PM,932,45.5
CHI,SJS,3/21/2007,5:30 PM,912,72.5
ATL,SJS,3/22/2007,4:00 PM,585,22.5
CAR,SJS,3/24/2007,4:00 PM,1559,48.0
SJS,LAK,3/27/2007,7:30 PM,2383,75.5
SJS,ARI,3/30/2007,7:30 PM,0,72.0
SJS,LAK,4/1/2007,3:00 PM,0,43.5
ANH,SJS,4/4/2007,7:00 PM,325,76.0
SJS,CGY,4/5/2007,7:30 PM,325,24.5
SJS,VAN,4/7/2007,1:00 PM,0,41.5
