HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
SJS,STL,10/5/2006,9:30 PM,1718,0.0
LAK,STL,10/7/2006,9:30 PM,296,48.0
ANH,STL,10/9/2006,9:00 PM,32,47.5
STL,BOS,10/12/2006,7:00 PM,1573,70.0
STL,CHI,10/14/2006,7:00 PM,0,48.0
STL,ARI,10/17/2006,7:00 PM,0,72.0
STL,VAN,10/20/2006,7:00 PM,0,72.0
CHI,STL,10/21/2006,7:30 PM,259,24.5
STL,DET,10/28/2006,7:00 PM,259,167.5
STL,ANH,10/30/2006,7:00 PM,0,48.0
DAL,STL,11/1/2006,7:30 PM,544,48.5
STL,COL,11/2/2006,7:00 PM,544,23.5
STL,CGY,11/4/2006,7:00 PM,0,48.0
STL,CBJ,11/9/2006,7:00 PM,0,120.0
CHI,STL,11/10/2006,7:30 PM,259,24.5
STL,EDM,11/12/2006,1:00 PM,259,41.5
CGY,STL,11/14/2006,8:30 PM,1440,55.5
EDM,STL,11/16/2006,8:00 PM,176,47.5
VAN,STL,11/17/2006,9:00 PM,509,25.0
CBJ,STL,11/22/2006,6:00 PM,2053,117.0
DET,STL,11/24/2006,6:30 PM,166,48.5
STL,ARI,11/25/2006,7:00 PM,456,24.5
STL,SJS,11/28/2006,7:00 PM,0,72.0
STL,NSH,11/30/2006,7:00 PM,0,48.0
CHI,STL,12/1/2006,7:30 PM,259,24.5
STL,DET,12/5/2006,7:00 PM,259,95.5
DET,STL,12/7/2006,6:30 PM,456,47.5
STL,CBJ,12/9/2006,7:00 PM,456,48.5
STL,CHI,12/12/2006,7:00 PM,0,72.0
COL,STL,12/13/2006,8:00 PM,789,25.0
NSH,STL,12/16/2006,7:00 PM,1017,71.0
STL,NSH,12/17/2006,5:00 PM,255,22.0
PIT,STL,12/19/2006,6:00 PM,562,49.0
STL,LAK,12/21/2006,7:00 PM,562,49.0
STL,BUF,12/23/2006,7:00 PM,0,48.0
NSH,STL,12/26/2006,7:00 PM,255,72.0
COL,STL,12/29/2006,8:00 PM,1017,73.0
STL,COL,12/30/2006,7:00 PM,789,23.0
STL,CHI,1/2/2007,7:00 PM,0,72.0
STL,CHI,1/4/2007,7:00 PM,0,48.0
NSH,STL,1/6/2007,7:00 PM,255,48.0
CBJ,STL,1/9/2007,6:00 PM,335,71.0
NJD,STL,1/10/2007,6:30 PM,468,24.5
STL,LAK,1/13/2007,1:00 PM,868,66.5
ARI,STL,1/15/2007,3:00 PM,1274,50.0
ANH,STL,1/16/2007,9:00 PM,329,30.0
LAK,STL,1/18/2007,9:30 PM,32,48.5
SJS,STL,1/20/2007,9:30 PM,296,48.0
STL,DET,1/26/2007,7:00 PM,1718,141.5
STL,NSH,1/27/2007,7:00 PM,0,24.0
STL,MIN,1/30/2007,7:00 PM,0,72.0
DET,STL,2/2/2007,6:30 PM,456,71.5
STL,DAL,2/3/2007,7:00 PM,456,24.5
STL,TOR,2/6/2007,7:00 PM,0,72.0
STL,DET,2/8/2007,7:00 PM,0,48.0
PHI,STL,2/10/2007,6:00 PM,814,47.0
STL,SJS,2/13/2007,7:00 PM,814,73.0
CBJ,STL,2/14/2007,6:00 PM,400,23.0
STL,NSH,2/16/2007,7:00 PM,400,49.0
STL,MIN,2/18/2007,5:00 PM,0,46.0
STL,CBJ,2/20/2007,7:00 PM,0,50.0
CHI,STL,2/25/2007,2:00 PM,259,115.0
STL,VAN,2/27/2007,7:00 PM,259,53.0
NYI,STL,3/1/2007,6:30 PM,879,47.5
NYR,STL,3/3/2007,0:00 PM,7,41.5
STL,CGY,3/6/2007,7:00 PM,878,79.0
STL,DAL,3/8/2007,7:00 PM,0,48.0
STL,MON,3/10/2007,7:00 PM,0,48.0
CGY,STL,3/12/2007,8:30 PM,1440,49.5
VAN,STL,3/15/2007,9:00 PM,421,72.5
EDM,STL,3/17/2007,7:00 PM,509,46.0
STL,OTT,3/20/2007,7:00 PM,1509,72.0
MIN,STL,3/22/2007,7:00 PM,460,48.0
DET,STL,3/24/2007,1:00 PM,617,42.0
CBJ,STL,3/25/2007,5:00 PM,166,28.0
STL,CBJ,3/27/2007,7:00 PM,400,50.0
STL,EDM,3/29/2007,7:00 PM,0,48.0
STL,ANH,3/31/2007,7:00 PM,0,48.0
DAL,STL,4/2/2007,7:00 PM,544,48.0
ARI,STL,4/3/2007,9:00 PM,987,26.0
NSH,STL,4/5/2007,7:00 PM,1451,46.0
MIN,STL,4/7/2007,7:00 PM,691,48.0
