HOME,AWAY,DATE,TIME (PT)
ANH,LAK,10/6/2006,7:00 PM
ARI,ANH,10/7/2006,7:00 PM
ANH,STL,10/9/2006,7:00 PM
ANH,NYI,10/11/2006,7:00 PM
ANH,DAL,10/15/2006,5:00 PM
ANH,DET,10/18/2006,7:00 PM
ANH,MIN,10/20/2006,7:00 PM
LAK,ANH,10/22/2006,3:00 PM
ANH,EDM,10/25/2006,7:00 PM
MIN,ANH,10/27/2006,5:00 PM
CHI,ANH,10/28/2006,5:30 PM
STL,ANH,10/30/2006,5:00 PM
ANH,NYR,11/1/2006,7:00 PM
ANH,ARI,11/3/2006,7:00 PM
ANH,PIT,11/6/2006,7:00 PM
VAN,ANH,11/9/2006,7:00 PM
CGY,ANH,11/10/2006,6:30 PM
ANH,MIN,11/12/2006,5:00 PM
ANH,PHI,11/15/2006,7:00 PM
ANH,CHI,11/17/2006,7:00 PM
ANH,ARI,11/19/2006,5:00 PM
ANH,SJS,11/21/2006,7:00 PM
COL,ANH,11/22/2006,6:00 PM
ANH,NJD,11/24/2006,1:00 PM
ANH,CGY,11/26/2006,5:00 PM
EDM,ANH,11/28/2006,6:00 PM
VAN,ANH,11/30/2006,7:00 PM
LAK,ANH,12/2/2006,1:00 PM
ANH,LAK,12/3/2006,5:00 PM
ANH,NSH,12/6/2006,7:00 PM
WSH,ANH,12/8/2006,4:00 PM
TBL,ANH,12/9/2006,4:30 PM
FLA,ANH,12/12/2006,4:30 PM
ATL,ANH,12/13/2006,4:00 PM
SJS,ANH,12/16/2006,7:30 PM
ANH,CGY,12/18/2006,7:00 PM
ANH,DAL,12/20/2006,7:00 PM
ARI,ANH,12/23/2006,6:00 PM
SJS,ANH,12/26/2006,7:30 PM
CAR,ANH,12/29/2006,4:00 PM
MIN,ANH,12/31/2006,3:00 PM
DET,ANH,1/2/2007,4:30 PM
ANH,CBJ,1/5/2007,7:00 PM
ANH,DET,1/7/2007,5:00 PM
NSH,ANH,1/9/2007,5:00 PM
DAL,ANH,1/11/2007,5:30 PM
ANH,COL,1/13/2007,7:00 PM
ANH,STL,1/16/2007,7:00 PM
EDM,ANH,1/18/2007,6:00 PM
CGY,ANH,1/19/2007,6:00 PM
ANH,DAL,1/28/2007,0:30 PM
ANH,ARI,1/31/2007,7:00 PM
NSH,ANH,2/3/2007,5:00 PM
SJS,ANH,2/6/2007,7:30 PM
ANH,SJS,2/7/2007,7:00 PM
DAL,ANH,2/10/2007,0:30 PM
COL,ANH,2/13/2007,6:00 PM
ARI,ANH,2/15/2007,6:00 PM
LAK,ANH,2/17/2007,7:30 PM
ANH,LAK,2/18/2007,5:00 PM
ANH,VAN,2/20/2007,7:00 PM
DAL,ANH,2/23/2007,5:30 PM
ANH,COL,2/25/2007,5:00 PM
SJS,ANH,2/26/2007,7:00 PM
LAK,ANH,3/1/2007,7:30 PM
ANH,SJS,3/2/2007,7:00 PM
ANH,NSH,3/4/2007,5:00 PM
ANH,ARI,3/7/2007,7:00 PM
ANH,EDM,3/9/2007,7:00 PM
ANH,VAN,3/11/2007,5:00 PM
ANH,CBJ,3/14/2007,7:00 PM
ANH,CHI,3/16/2007,7:00 PM
ANH,LAK,3/18/2007,5:00 PM
ARI,ANH,3/22/2007,7:00 PM
ANH,DAL,3/23/2007,7:00 PM
DET,ANH,3/26/2007,4:00 PM
CHI,ANH,3/28/2007,5:30 PM
CBJ,ANH,3/29/2007,4:00 PM
STL,ANH,3/31/2007,5:00 PM
ANH,SJS,4/4/2007,7:00 PM
DAL,ANH,4/6/2007,5:30 PM
CBJ,ANH,4/7/2007,4:00 PM
