HOME,AWAY,DATE,TIME (ET)
FLA,BOS,10/6/2006,7:30 PM
ATL,FLA,10/7/2006,7:00 PM
TOR,FLA,10/9/2006,7:30 PM
FLA,CAR,10/11/2006,7:30 PM
FLA,TBL,10/13/2006,7:30 PM
TBL,FLA,10/14/2006,7:30 PM
WSH,FLA,10/18/2006,7:00 PM
FLA,PHI,10/20/2006,7:30 PM
ATL,FLA,10/21/2006,7:00 PM
FLA,ATL,10/23/2006,7:30 PM
NYR,FLA,10/25/2006,7:00 PM
NJD,FLA,10/26/2006,7:30 PM
NYI,FLA,10/28/2006,7:00 PM
FLA,SJS,10/31/2006,7:30 PM
FLA,TOR,11/2/2006,7:30 PM
FLA,NYR,11/8/2006,7:30 PM
BUF,FLA,11/10/2006,8:00 PM
NJD,FLA,11/11/2006,7:30 PM
FLA,WSH,11/13/2006,7:30 PM
FLA,MON,11/16/2006,7:30 PM
FLA,NYI,11/18/2006,7:30 PM
BOS,FLA,11/20/2006,7:00 PM
FLA,TBL,11/22/2006,7:30 PM
FLA,OTT,11/24/2006,7:30 PM
ATL,FLA,11/25/2006,7:00 PM
MON,FLA,11/28/2006,7:30 PM
OTT,FLA,11/30/2006,7:30 PM
FLA,ATL,12/2/2006,7:30 PM
PIT,FLA,12/5/2006,7:30 PM
FLA,BUF,12/7/2006,7:30 PM
NYI,FLA,12/9/2006,7:00 PM
NYR,FLA,12/10/2006,7:00 PM
FLA,ANH,12/12/2006,7:30 PM
BUF,FLA,12/14/2006,7:00 PM
BOS,FLA,12/16/2006,7:00 PM
TOR,FLA,12/19/2006,7:30 PM
FLA,NYR,12/21/2006,7:30 PM
FLA,CAR,12/23/2006,7:30 PM
CAR,FLA,12/26/2006,7:00 PM
FLA,PHI,12/27/2006,7:30 PM
FLA,MON,12/29/2006,7:30 PM
EDM,FLA,1/2/2007,9:00 PM
CGY,FLA,1/4/2007,9:00 PM
VAN,FLA,1/7/2007,10:00 PM
FLA,PIT,1/10/2007,7:30 PM
CAR,FLA,1/11/2007,7:00 PM
FLA,WSH,1/13/2007,7:30 PM
FLA,CAR,1/16/2007,7:30 PM
FLA,TOR,1/18/2007,7:30 PM
WSH,FLA,1/20/2007,1:00 PM
FLA,NJD,1/27/2007,7:30 PM
PIT,FLA,1/30/2007,7:30 PM
FLA,WSH,2/1/2007,7:30 PM
FLA,LAK,2/3/2007,7:30 PM
COL,FLA,2/6/2007,9:00 PM
MIN,FLA,2/8/2007,8:00 PM
FLA,ARI,2/10/2007,7:30 PM
MON,FLA,2/13/2007,7:30 PM
OTT,FLA,2/14/2007,7:30 PM
FLA,TBL,2/17/2007,7:30 PM
TBL,FLA,2/20/2007,7:30 PM
FLA,PIT,2/22/2007,7:30 PM
FLA,BOS,2/24/2007,7:30 PM
WSH,FLA,2/27/2007,7:00 PM
FLA,DAL,3/1/2007,7:30 PM
FLA,TBL,3/3/2007,7:30 PM
ATL,FLA,3/6/2007,7:00 PM
PHI,FLA,3/8/2007,7:00 PM
FLA,ATL,3/10/2007,7:30 PM
CAR,FLA,3/13/2007,7:00 PM
FLA,BUF,3/15/2007,7:30 PM
FLA,NYI,3/17/2007,7:30 PM
PHI,FLA,3/20/2007,7:00 PM
FLA,OTT,3/22/2007,7:30 PM
FLA,NJD,3/24/2007,7:30 PM
TBL,FLA,3/27/2007,7:00 PM
FLA,ATL,3/28/2007,7:30 PM
FLA,WSH,3/30/2007,7:30 PM
FLA,CAR,4/1/2007,5:00 PM
WSH,FLA,4/3/2007,7:00 PM
TBL,FLA,4/6/2007,8:00 PM
CAR,FLA,4/7/2007,7:00 PM
