HOME,AWAY,DATE,TIME (CT)
MIN,COL,10/5/2006,7:30 PM
MIN,NSH,10/7/2006,7:00 PM
MIN,VAN,10/10/2006,8:00 PM
MIN,WSH,10/12/2006,7:00 PM
MIN,CBJ,10/14/2006,7:00 PM
LAK,MIN,10/18/2006,9:30 PM
ANH,MIN,10/20/2006,9:00 PM
SJS,MIN,10/21/2006,9:30 PM
MIN,LAK,10/25/2006,7:00 PM
MIN,ANH,10/27/2006,7:00 PM
COL,MIN,10/29/2006,7:00 PM
MIN,VAN,11/2/2006,7:00 PM
MIN,NSH,11/4/2006,7:00 PM
SJS,MIN,11/7/2006,9:30 PM
LAK,MIN,11/11/2006,9:30 PM
ANH,MIN,11/12/2006,7:00 PM
ARI,MIN,11/14/2006,8:00 PM
NSH,MIN,11/16/2006,7:00 PM
MIN,COL,11/18/2006,7:00 PM
OTT,MIN,11/20/2006,6:30 PM
MON,MIN,11/22/2006,6:30 PM
MIN,ARI,11/24/2006,1:00 PM
CBJ,MIN,11/25/2006,6:00 PM
MIN,SJS,11/29/2006,7:00 PM
MIN,DET,12/1/2006,7:00 PM
DAL,MIN,12/2/2006,7:00 PM
MIN,CHI,12/5/2006,7:00 PM
MIN,CGY,12/7/2006,7:00 PM
MIN,CHI,12/9/2006,7:00 PM
CGY,MIN,12/12/2006,8:00 PM
EDM,MIN,12/14/2006,8:00 PM
VAN,MIN,12/16/2006,9:00 PM
MIN,VAN,12/19/2006,7:00 PM
DET,MIN,12/22/2006,6:30 PM
MIN,DET,12/23/2006,7:00 PM
TOR,MIN,12/26/2006,6:30 PM
DET,MIN,12/27/2006,6:30 PM
MIN,CBJ,12/29/2006,7:00 PM
MIN,ANH,12/31/2006,5:00 PM
MIN,ATL,1/2/2007,7:00 PM
MIN,TBL,1/4/2007,7:00 PM
MIN,COL,1/6/2007,7:00 PM
CGY,MIN,1/9/2007,8:00 PM
VAN,MIN,1/11/2007,9:00 PM
EDM,MIN,1/12/2007,8:00 PM
CHI,MIN,1/14/2007,6:00 PM
MIN,EDM,1/16/2007,7:00 PM
CHI,MIN,1/19/2007,7:30 PM
MIN,DAL,1/20/2007,8:00 PM
MIN,CGY,1/26/2007,7:00 PM
CBJ,MIN,1/27/2007,6:00 PM
STL,MIN,1/30/2007,7:00 PM
COL,MIN,2/1/2007,8:00 PM
ARI,MIN,2/3/2007,8:00 PM
DAL,MIN,2/6/2007,7:00 PM
MIN,FLA,2/8/2007,7:00 PM
MIN,CAR,2/10/2007,7:00 PM
MIN,VAN,2/14/2007,8:00 PM
NSH,MIN,2/17/2007,7:00 PM
STL,MIN,2/18/2007,5:00 PM
MIN,DAL,2/20/2007,7:00 PM
COL,MIN,2/22/2007,8:00 PM
MIN,EDM,2/25/2007,1:00 PM
CGY,MIN,2/28/2007,9:00 PM
EDM,MIN,3/1/2007,8:00 PM
VAN,MIN,3/4/2007,9:00 PM
MIN,SJS,3/6/2007,7:00 PM
BOS,MIN,3/8/2007,6:00 PM
BUF,MIN,3/9/2007,7:00 PM
MIN,COL,3/11/2007,2:00 PM
VAN,MIN,3/13/2007,9:00 PM
EDM,MIN,3/15/2007,8:00 PM
CGY,MIN,3/17/2007,8:00 PM
MIN,ARI,3/20/2007,7:00 PM
MIN,STL,3/22/2007,7:00 PM
MIN,LAK,3/24/2007,7:00 PM
MIN,CGY,3/27/2007,7:00 PM
MIN,CGY,3/29/2007,7:00 PM
COL,MIN,3/31/2007,2:00 PM
MIN,EDM,4/3/2007,7:00 PM
MIN,EDM,4/5/2007,7:00 PM
MIN,STL,4/7/2007,7:00 PM
