DATE\TEAM,ANH,ARI,ATL,COL,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
9/29/2007,LAK-A,,,,,,,,,,,,,,ANH-H,,,,,,,,,,,,,,,
9/30/2007,LAK-H,,,,,,,,,,,,,,ANH-A,,,,,,,,,,,,,,,
10/1/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2007,DET-A,,,,,MON-H,,,,DAL-H,COL-A,ANH-H,,,,,CAR-A,,,,,TOR-A,,,,,,OTT-H,,
10/4/2007,,STL-H,,,,,,PHI-H,MIN-A,NSH-A,,,SJS-H,NYR-A,,CHI-H,,TBL-A,COL-H,,FLA-H,TOR-H,CGY-A,,EDM-A,ARI-A,NJD-H,OTT-A,,
10/5/2007,CBJ-A,,WSH-H,DAL-A,NYI-H,PIT-H,ANH-H,,,,BOS-H,,,,,,,,,BUF-A,,,,CAR-A,VAN-A,,,,SJS-H,ATL-A
10/6/2007,PIT-A,BOS-H,TBL-A,ARI-A,NYI-A,WSH-A,MIN-A,VAN-H,DET-H,,NSH-A,CHI-A,PHI-H,NJD-H,STL-H,CBJ-H,TOR-A,FLA-A,DAL-H,BUF-H,OTT-A,NYR-H,EDM-A,ANH-H,,LAK-A,ATL-H,MON-H,CGY-A,CAR-H
10/7/2007,,,,,,,,,,SJS-H,,,,,,,,,,,,,,,COL-A,,,,,
10/8/2007,,,,,,,,,,,,EDM-H,DET-A,,,,,OTT-A,,WSH-H,,NJD-H,,,,,,,,NYI-A
10/9/2007,,,,,,TOR-A,,,,,,,,,,,,,,,,,,,,,,CAR-H,,
10/10/2007,BOS-H,CBJ-A,OTT-H,ANH-A,,,ARI-H,DET-A,SJS-H,,LAK-H,CGY-H,MIN-A,TBL-A,DAL-A,EDM-H,PIT-A,,STL-A,NYR-H,NYI-A,ATL-A,VAN-A,MON-H,CHI-A,NSH-H,FLA-H,,PHI-H,
10/11/2007,,NSH-A,BUF-A,,ATL-H,OTT-A,,,,,,,,NJD-H,,,,FLA-A,ARI-H,TOR-A,,CAR-H,,,,,,NYI-H,,
10/12/2007,,,,LAK-A,,,,DAL-A,DET-A,STL-A,CGY-H,CHI-H,VAN-H,,BOS-H,,,,,,WSH-H,,,,,COL-H,,,EDM-A,NYR-A
10/13/2007,,MIN-H,NJD-H,SJS-A,WSH-H,MON-A,COL-A,NSH-A,DAL-H,CBJ-H,CHI-A,,VAN-A,TBL-H,,ARI-A,CAR-H,ATL-A,CGY-H,PHI-A,OTT-H,NYR-A,NYI-H,TOR-A,BOS-H,,FLA-A,PIT-H,EDM-H,BUF-A
10/14/2007,MIN-H,,,,,,,,,,,LAK-A,,,DET-H,ANH-A,,,,,,,,,,,,,,
10/15/2007,DET-H,,,,TOR-H,,,,,,,ANH-A,,,,,,,,,,,,,VAN-A,,,BUF-A,SJS-H,
10/16/2007,,,PHI-A,,,,,COL-A,,CGY-H,,,,MON-A,MIN-H,LAK-A,FLA-H,,,,,,ATL-H,,,,,,,
10/17/2007,NSH-H,,,,,,DAL-H,,STL-H,,CBJ-A,,,,,,,PIT-A,ANH-A,,,,,NJD-H,,CHI-A,,,,
10/18/2007,,EDM-H,NYR-H,TBL-H,,,,LAK-H,,,,SJS-A,ARI-A,TOR-A,CGY-A,,OTT-A,PHI-A,,WSH-A,ATL-A,MON-H,NJD-H,,DET-H,,BOS-A,FLA-H,,NYI-H
10/19/2007,,,,,CBJ-H,PIT-A,BUF-A,,COL-H,CHI-A,,,,,VAN-A,,,,,,,,,CAR-H,,,,,LAK-H,
10/20/2007,DAL-A,DET-H,TBL-A,NYR-H,MON-A,PHI-A,,EDM-H,TOR-A,,ANH-H,ARI-A,CGY-A,OTT-A,,STL-A,BUF-H,NYI-A,SJS-A,NJD-H,BOS-A,FLA-H,CAR-H,WSH-A,NSH-H,MIN-H,ATL-H,CHI-H,,PIT-H
10/21/2007,,,,,,,VAN-H,,,MIN-A,,,,,,COL-H,,,,,,,,,,,,,CBJ-A,
10/22/2007,,,,MON-A,,VAN-H,,SJS-H,,,,,,,,,BOS-H,,,,,,,,CGY-A,,,,CAR-A,
10/23/2007,STL-A,,TOR-A,,,,CHI-A,,CBJ-H,EDM-A,,,COL-H,,NSH-H,,,,LAK-A,,PIT-A,,,NYR-H,,ANH-H,,ATL-H,,
10/24/2007,,,,,CAR-A,BUF-H,,MIN-H,,,,VAN-H,,PHI-H,,CGY-A,,,,,,,FLA-A,,,,WSH-A,,DET-A,TBL-H
10/25/2007,ARI-H,ANH-A,NSH-A,CHI-H,,,STL-H,,BOS-A,,LAK-A,,MIN-H,,DAL-H,EDM-A,,NYR-A,ATL-H,,NJD-H,,TBL-A,TOR-H,,CBJ-A,PHI-H,PIT-A,,
10/26/2007,,,,,FLA-A,MON-H,,COL-H,,CGY-A,,SJS-H,,BUF-H,,,CAR-A,,,,,,,,DET-A,,,,WSH-A,VAN-H
10/27/2007,,DAL-H,CHI-A,PHI-H,TBL-A,NYI-A,SJS-H,,ATL-H,,ARI-A,,LAK-A,NSH-A,EDM-H,,PIT-A,OTT-H,FLA-H,CAR-H,TOR-H,NJD-A,BOS-A,MON-H,CBJ-A,WSH-H,BUF-H,NYR-A,,STL-A
10/28/2007,EDM-H,,,,,,,,,MIN-H,,VAN-A,ANH-A,,,COL-A,,,,,,,,,,,,,DET-H,
10/29/2007,,,,,,,,,,,SJS-H,,,,,,,,,,TBL-H,,,,DAL-A,,NYR-A,WSH-H,,TOR-A
