HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TBL,NJD,10/4/2007,7:30 PM,998,0.0
FLA,NJD,10/6/2007,7:00 PM,206,47.5
OTT,NJD,10/8/2007,3:00 PM,1377,44.0
FLA,NJD,10/11/2007,7:30 PM,1377,76.5
ATL,NJD,10/13/2007,7:00 PM,369,47.5
PIT,NJD,10/17/2007,7:30 PM,522,96.5
PHI,NJD,10/18/2007,7:00 PM,258,23.5
NYI,NJD,10/20/2007,7:00 PM,78,48.0
NYR,NJD,10/25/2007,7:00 PM,7,120.0
NJD,OTT,10/27/2007,7:00 PM,11,48.0
NJD,TBL,10/31/2007,7:00 PM,0,96.0
NJD,TOR,11/2/2007,7:00 PM,0,48.0
NYR,NJD,11/3/2007,7:00 PM,11,24.0
NJD,PIT,11/5/2007,7:00 PM,11,48.0
NJD,PHI,11/8/2007,7:00 PM,0,72.0
NYI,NJD,11/10/2007,7:00 PM,13,48.0
PIT,NJD,11/12/2007,7:30 PM,318,48.5
NJD,NYR,11/14/2007,7:00 PM,306,47.5
NJD,NYI,11/16/2007,7:00 PM,0,48.0
PHI,NJD,11/17/2007,7:00 PM,71,24.0
PIT,NJD,11/21/2007,7:30 PM,258,96.5
ATL,NJD,11/23/2007,7:30 PM,522,48.0
TBL,NJD,11/24/2007,7:30 PM,415,24.0
NJD,DAL,11/28/2007,7:00 PM,998,95.5
NJD,MON,11/30/2007,7:00 PM,0,48.0
NJD,ATL,12/2/2007,5:00 PM,0,46.0
NJD,BOS,12/5/2007,7:00 PM,0,74.0
NJD,WSH,12/7/2007,7:00 PM,0,48.0
NYR,NJD,12/9/2007,5:00 PM,11,46.0
WSH,NJD,12/10/2007,7:00 PM,207,26.0
BOS,NJD,12/13/2007,7:00 PM,394,72.0
NJD,ARI,12/15/2007,1:00 PM,198,42.0
NJD,PHI,12/16/2007,5:00 PM,0,28.0
VAN,NJD,12/18/2007,10:00 PM,2425,53.0
EDM,NJD,12/21/2007,9:00 PM,509,71.0
CGY,NJD,12/23/2007,8:00 PM,176,47.0
NJD,BUF,12/28/2007,7:00 PM,2022,119.0
NYI,NJD,12/29/2007,7:00 PM,13,24.0
NJD,FLA,1/2/2008,7:00 PM,13,96.0
NJD,PHI,1/4/2008,7:00 PM,0,48.0
BOS,NJD,1/5/2008,7:00 PM,198,24.0
NJD,BUF,1/8/2008,7:00 PM,198,72.0
CAR,NJD,1/10/2008,7:00 PM,416,48.0
BUF,NJD,1/12/2008,7:00 PM,487,48.0
NJD,NYI,1/16/2008,7:00 PM,285,96.0
NJD,FLA,1/18/2008,7:00 PM,0,48.0
NJD,TOR,1/20/2008,5:00 PM,0,46.0
PHI,NJD,1/22/2008,7:00 PM,71,50.0
NJD,MON,1/24/2008,7:00 PM,71,48.0
NJD,PIT,1/29/2008,7:00 PM,0,120.0
NJD,NYR,2/1/2008,7:00 PM,0,72.0
NJD,LAK,2/2/2008,7:00 PM,0,24.0
NJD,PIT,2/4/2008,7:00 PM,0,48.0
BUF,NJD,2/6/2008,7:00 PM,285,48.0
NJD,ANH,2/8/2008,7:00 PM,285,48.0
NJD,CAR,2/9/2008,7:00 PM,0,24.0
NJD,OTT,2/13/2008,7:00 PM,0,96.0
NJD,ATL,2/15/2008,7:00 PM,0,48.0
OTT,NJD,2/16/2008,7:00 PM,333,24.0
NJD,CAR,2/18/2008,1:00 PM,333,42.0
NJD,SJS,2/20/2008,7:00 PM,0,54.0
NJD,NYI,2/23/2008,1:00 PM,0,66.0
WSH,NJD,2/24/2008,3:00 PM,197,26.0
CAR,NJD,2/26/2008,7:00 PM,230,52.0
NJD,WSH,2/29/2008,7:00 PM,416,72.0
MON,NJD,3/1/2008,7:00 PM,333,24.0
TOR,NJD,3/4/2008,7:30 PM,314,72.5
NJD,TBL,3/7/2008,7:00 PM,335,71.5
TOR,NJD,3/8/2008,7:00 PM,335,24.0
MON,NJD,3/11/2008,7:30 PM,314,72.5
MIN,NJD,3/13/2008,8:00 PM,952,48.5
COL,NJD,3/15/2008,3:00 PM,700,43.0
NJD,NYR,3/19/2008,7:00 PM,1617,100.0
NJD,NYI,3/21/2008,7:00 PM,0,48.0
PIT,NJD,3/22/2008,7:30 PM,306,24.5
NJD,PIT,3/25/2008,7:00 PM,306,71.5
NYR,NJD,3/27/2008,7:00 PM,11,48.0
NJD,PHI,3/28/2008,7:00 PM,11,24.0
NYI,NJD,4/1/2008,7:00 PM,13,96.0
NJD,BOS,4/2/2008,7:00 PM,13,24.0
PHI,NJD,4/4/2008,7:00 PM,71,48.0
NJD,NYR,4/6/2008,3:00 PM,71,44.0
