HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TOR,OTT,10/3/2007,7:30 PM,0,0.0
OTT,TOR,10/4/2007,7:00 PM,219,23.5
TOR,MON,10/6/2007,7:00 PM,219,48.0
TOR,CAR,10/9/2007,7:00 PM,0,72.0
TOR,NYI,10/11/2007,7:30 PM,0,48.5
TOR,PIT,10/13/2007,7:00 PM,0,47.5
BUF,TOR,10/15/2007,7:00 PM,59,48.0
TOR,FLA,10/18/2007,7:30 PM,59,72.5
TOR,CHI,10/20/2007,7:00 PM,0,47.5
TOR,ATL,10/23/2007,7:30 PM,0,72.5
PIT,TOR,10/25/2007,7:30 PM,224,48.0
NYR,TOR,10/27/2007,7:00 PM,317,47.5
TOR,WSH,10/29/2007,7:30 PM,342,48.5
NJD,TOR,11/2/2007,7:00 PM,335,95.5
MON,TOR,11/3/2007,7:00 PM,333,24.0
OTT,TOR,11/6/2007,7:30 PM,104,72.5
BUF,TOR,11/9/2007,7:30 PM,234,72.0
TOR,NYR,11/10/2007,7:00 PM,59,23.5
TOR,MON,11/13/2007,7:30 PM,0,72.5
BOS,TOR,11/15/2007,7:00 PM,433,47.5
TOR,OTT,11/17/2007,7:00 PM,433,48.0
TOR,BOS,11/20/2007,7:00 PM,0,72.0
DAL,TOR,11/23/2007,8:30 PM,1202,73.5
ARI,TOR,11/24/2007,7:00 PM,987,22.5
TOR,MON,11/27/2007,7:30 PM,1893,72.5
ATL,TOR,11/29/2007,7:00 PM,734,47.5
TOR,PIT,12/1/2007,7:00 PM,734,48.0
TOR,NSH,12/4/2007,7:30 PM,0,72.5
NYR,TOR,12/6/2007,7:00 PM,342,47.5
TOR,BOS,12/8/2007,7:00 PM,342,48.0
TOR,TBL,12/10/2007,7:30 PM,0,48.5
ATL,TOR,12/14/2007,7:30 PM,734,96.0
MON,TOR,12/15/2007,7:00 PM,995,23.5
CAR,TOR,12/18/2007,7:00 PM,719,72.0
TBL,TOR,12/20/2007,7:30 PM,587,48.5
FLA,TOR,12/22/2007,7:00 PM,206,47.5
NYI,TOR,12/26/2007,7:30 PM,1088,96.5
PHI,TOR,12/27/2007,7:00 PM,78,23.5
TOR,NYR,12/29/2007,7:00 PM,333,48.0
TOR,TBL,1/1/2008,7:30 PM,0,72.5
PIT,TOR,1/3/2008,7:30 PM,224,48.0
TOR,PHI,1/5/2008,7:00 PM,224,47.5
ANH,TOR,1/9/2008,10:00 PM,2166,99.0
LAK,TOR,1/10/2008,10:30 PM,32,24.5
SJS,TOR,1/12/2008,10:00 PM,296,47.5
TOR,CAR,1/15/2008,7:30 PM,2253,69.5
BOS,TOR,1/17/2008,7:00 PM,433,47.5
TOR,BUF,1/19/2008,7:00 PM,433,48.0
NJD,TOR,1/20/2008,5:00 PM,335,22.0
TOR,WSH,1/23/2008,7:30 PM,335,74.5
WSH,TOR,1/24/2008,7:00 PM,350,23.5
TOR,STL,1/29/2008,7:30 PM,350,120.5
CAR,TOR,1/31/2008,7:00 PM,541,47.5
TOR,OTT,2/2/2008,7:00 PM,541,48.0
TOR,FLA,2/5/2008,7:30 PM,0,72.5
MON,TOR,2/7/2008,7:00 PM,314,47.5
TOR,DET,2/9/2008,3:00 PM,314,44.0
BUF,TOR,2/13/2008,7:30 PM,59,100.5
TOR,NYI,2/14/2008,7:30 PM,59,24.0
TOR,BOS,2/16/2008,7:00 PM,0,47.5
TOR,CBJ,2/19/2008,7:30 PM,0,72.5
TOR,BUF,2/21/2008,7:30 PM,0,48.0
TOR,ATL,2/23/2008,7:00 PM,0,47.5
OTT,TOR,2/25/2008,7:30 PM,219,48.5
FLA,TOR,2/27/2008,7:30 PM,1377,48.0
TBL,TOR,2/29/2008,8:00 PM,206,48.5
WSH,TOR,3/1/2008,7:00 PM,817,23.0
TOR,NJD,3/4/2008,7:30 PM,350,72.5
BOS,TOR,3/6/2008,7:00 PM,433,47.5
TOR,NJD,3/8/2008,7:00 PM,433,48.0
TOR,PHI,3/11/2008,7:30 PM,0,72.5
PHI,TOR,3/12/2008,7:00 PM,333,23.5
TOR,BUF,3/15/2008,7:00 PM,333,72.0
NYI,TOR,3/18/2008,7:00 PM,347,72.0
BUF,TOR,3/21/2008,7:30 PM,297,72.5
OTT,TOR,3/22/2008,7:00 PM,234,23.5
TOR,BOS,3/25/2008,7:30 PM,219,72.5
BOS,TOR,3/27/2008,7:00 PM,433,47.5
TOR,MON,3/29/2008,7:00 PM,433,48.0
TOR,BUF,4/1/2008,7:30 PM,0,72.5
TOR,OTT,4/3/2008,7:30 PM,0,48.0
MON,TOR,4/5/2008,7:00 PM,314,47.5
