HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
VAN,SJS,10/5/2007,7:00 PM,0,0.0
CGY,VAN,10/6/2007,7:00 PM,421,24.0
VAN,PHI,10/10/2007,7:30 PM,421,96.5
EDM,VAN,10/12/2007,6:00 PM,509,46.5
VAN,EDM,10/13/2007,7:00 PM,509,25.0
VAN,SJS,10/15/2007,7:00 PM,0,48.0
VAN,LAK,10/19/2007,7:00 PM,0,96.0
CBJ,VAN,10/21/2007,2:00 PM,2053,43.0
CAR,VAN,10/22/2007,4:00 PM,372,26.0
DET,VAN,10/24/2007,4:30 PM,512,48.5
WSH,VAN,10/26/2007,4:00 PM,400,47.5
VAN,DET,10/28/2007,7:30 PM,2363,51.5
VAN,NSH,11/1/2007,8:00 PM,0,96.5
COL,VAN,11/3/2007,7:00 PM,1111,47.0
CGY,VAN,11/8/2007,6:00 PM,897,119.0
VAN,COL,11/9/2007,7:00 PM,421,25.0
VAN,EDM,11/14/2007,7:00 PM,0,120.0
VAN,MIN,11/16/2007,7:00 PM,0,48.0
VAN,CGY,11/18/2007,5:00 PM,0,46.0
EDM,VAN,11/20/2007,6:00 PM,509,49.0
MIN,VAN,11/21/2007,5:00 PM,1094,23.0
STL,VAN,11/23/2007,5:30 PM,460,48.5
VAN,CHI,11/25/2007,7:00 PM,1779,49.5
VAN,ANH,11/27/2007,7:00 PM,0,48.0
VAN,CBJ,11/29/2007,7:00 PM,0,48.0
MIN,VAN,12/2/2007,3:00 PM,1437,68.0
CHI,VAN,12/5/2007,5:30 PM,347,74.5
NSH,VAN,12/6/2007,5:00 PM,394,23.5
VAN,PIT,12/8/2007,7:00 PM,2033,50.0
LAK,VAN,12/10/2007,7:30 PM,1081,48.5
ANH,VAN,12/12/2007,7:00 PM,32,47.5
SJS,VAN,12/13/2007,7:30 PM,325,24.5
EDM,VAN,12/15/2007,7:00 PM,1192,47.5
VAN,NJD,12/18/2007,7:00 PM,509,72.0
VAN,DAL,12/20/2007,7:00 PM,0,48.0
ARI,VAN,12/22/2007,7:00 PM,1223,48.0
COL,VAN,12/23/2007,5:00 PM,591,22.0
VAN,CGY,12/27/2007,7:00 PM,1111,98.0
VAN,ANH,12/30/2007,5:00 PM,0,70.0
CGY,VAN,12/31/2007,6:00 PM,421,25.0
VAN,NYR,1/3/2008,7:00 PM,421,73.0
VAN,NYI,1/8/2008,7:00 PM,0,120.0
SJS,VAN,1/10/2008,7:30 PM,830,48.5
VAN,ARI,1/11/2008,7:00 PM,830,23.5
STL,VAN,1/13/2008,3:00 PM,1779,44.0
CBJ,VAN,1/15/2008,4:00 PM,400,49.0
DET,VAN,1/17/2008,4:30 PM,166,48.5
VAN,LAK,1/19/2008,7:00 PM,1966,50.5
VAN,MIN,1/21/2008,7:00 PM,0,48.0
VAN,STL,1/23/2008,7:00 PM,0,48.0
VAN,DAL,1/29/2008,7:00 PM,0,144.0
TBL,VAN,1/31/2008,4:30 PM,2599,45.5
FLA,VAN,2/1/2008,4:30 PM,206,24.0
DAL,VAN,2/5/2008,5:30 PM,1109,97.0
ATL,VAN,2/7/2008,4:00 PM,717,46.5
VAN,COL,2/9/2008,7:00 PM,2242,51.0
VAN,CHI,2/10/2008,7:00 PM,0,24.0
VAN,MIN,2/14/2008,7:00 PM,0,96.0
VAN,EDM,2/16/2008,7:00 PM,0,48.0
MIN,VAN,2/19/2008,5:00 PM,1437,70.0
NSH,VAN,2/21/2008,5:00 PM,691,48.0
VAN,DET,2/23/2008,7:00 PM,2033,50.0
VAN,COL,2/27/2008,7:00 PM,0,96.0
VAN,CBJ,2/29/2008,7:00 PM,0,48.0
CHI,VAN,3/2/2008,0:00 PM,1776,41.0
COL,VAN,3/4/2008,6:30 PM,912,54.5
VAN,NSH,3/6/2008,7:00 PM,1111,48.5
VAN,STL,3/8/2008,7:00 PM,0,48.0
LAK,VAN,3/10/2008,7:30 PM,1081,48.5
ANH,VAN,3/12/2008,7:00 PM,32,47.5
ARI,VAN,3/13/2008,7:00 PM,329,24.0
DAL,VAN,3/15/2008,4:00 PM,987,45.0
VAN,ARI,3/17/2008,7:00 PM,1770,51.0
EDM,VAN,3/20/2008,6:00 PM,509,71.0
VAN,MIN,3/21/2008,7:00 PM,509,25.0
CGY,VAN,3/25/2008,6:00 PM,421,95.0
COL,VAN,3/26/2008,6:00 PM,897,24.0
MIN,VAN,3/28/2008,5:00 PM,700,47.0
VAN,CGY,3/30/2008,7:00 PM,1437,50.0
VAN,COL,4/1/2008,7:00 PM,0,48.0
VAN,EDM,4/3/2008,7:30 PM,0,48.5
VAN,CGY,4/5/2008,7:00 PM,0,47.5
