HOME,AWAY,DATE,TIME (MT)
ARI,STL,10/4/2007,8:00 PM
ARI,BOS,10/6/2007,8:00 PM
CBJ,ARI,10/10/2007,5:00 PM
NSH,ARI,10/11/2007,6:00 PM
ARI,MIN,10/13/2007,8:00 PM
ARI,EDM,10/18/2007,8:00 PM
ARI,DET,10/20/2007,8:00 PM
ANH,ARI,10/25/2007,8:00 PM
ARI,DAL,10/27/2007,8:00 PM
STL,ARI,10/30/2007,6:30 PM
DAL,ARI,11/2/2007,6:30 PM
ARI,ANH,11/3/2007,8:00 PM
ANH,ARI,11/7/2007,8:00 PM
ARI,DAL,11/8/2007,7:00 PM
SJS,ARI,11/10/2007,8:30 PM
SJS,ARI,11/12/2007,8:30 PM
ARI,SJS,11/15/2007,7:00 PM
LAK,ARI,11/17/2007,2:00 PM
ARI,LAK,11/21/2007,7:30 PM
ANH,ARI,11/23/2007,2:00 PM
ARI,TOR,11/24/2007,5:00 PM
MIN,ARI,11/28/2007,6:00 PM
CHI,ARI,11/30/2007,6:30 PM
DET,ARI,12/1/2007,5:00 PM
PIT,ARI,12/3/2007,5:30 PM
ARI,LAK,12/5/2007,7:30 PM
ARI,SJS,12/7/2007,7:00 PM
LAK,ARI,12/8/2007,8:30 PM
NYI,ARI,12/13/2007,5:00 PM
NJD,ARI,12/15/2007,11:00 PM
NYR,ARI,12/16/2007,3:00 PM
PHI,ARI,12/18/2007,5:00 PM
SJS,ARI,12/20/2007,8:30 PM
ARI,VAN,12/22/2007,8:00 PM
ARI,MIN,12/27/2007,7:00 PM
ARI,DET,12/29/2007,7:00 PM
ARI,COL,12/31/2007,6:00 PM
COL,ARI,1/2/2008,7:00 PM
ARI,CHI,1/3/2008,7:00 PM
ARI,ANH,1/5/2008,7:00 PM
CGY,ARI,1/8/2008,7:00 PM
EDM,ARI,1/10/2008,7:00 PM
VAN,ARI,1/11/2008,8:00 PM
MIN,ARI,1/13/2008,4:00 PM
ARI,SJS,1/15/2008,7:30 PM
ARI,CBJ,1/17/2008,7:00 PM
ARI,CHI,1/19/2008,7:00 PM
ARI,BUF,1/21/2008,2:00 PM
ARI,NSH,1/24/2008,7:00 PM
CBJ,ARI,1/29/2008,5:00 PM
DET,ARI,1/30/2008,5:30 PM
NSH,ARI,2/2/2008,6:00 PM
COL,ARI,2/4/2008,7:00 PM
CGY,ARI,2/5/2008,7:00 PM
ARI,CBJ,2/7/2008,7:00 PM
ARI,NSH,2/10/2008,6:00 PM
DAL,ARI,2/11/2008,5:00 PM
ARI,DAL,2/14/2008,7:00 PM
ARI,LAK,2/16/2008,7:00 PM
LAK,ARI,2/18/2008,8:30 PM
ARI,CGY,2/19/2008,7:30 PM
ARI,COL,2/22/2008,7:00 PM
ARI,STL,2/24/2008,6:00 PM
CHI,ARI,2/27/2008,6:30 PM
STL,ARI,2/28/2008,6:30 PM
ARI,CGY,3/1/2008,8:00 PM
DAL,ARI,3/5/2008,6:30 PM
ARI,MON,3/6/2008,7:00 PM
ARI,OTT,3/8/2008,5:00 PM
ARI,ANH,3/11/2008,8:30 PM
ARI,VAN,3/13/2008,8:00 PM
ARI,EDM,3/15/2008,8:00 PM
VAN,ARI,3/17/2008,8:00 PM
EDM,ARI,3/18/2008,7:30 PM
ARI,LAK,3/20/2008,8:00 PM
ARI,ANH,3/22/2008,8:00 PM
ARI,SJS,3/25/2008,8:30 PM
LAK,ARI,3/27/2008,8:30 PM
SJS,ARI,3/30/2008,6:00 PM
ARI,DAL,4/3/2008,8:00 PM
DAL,ARI,4/4/2008,6:30 PM
ANH,ARI,4/6/2008,6:00 PM
