HOME,AWAY,DATE,TIME (ET)
BUF,NYI,10/5/2007,7:30 PM
NYI,BUF,10/6/2007,7:00 PM
BUF,ATL,10/11/2007,7:00 PM
BUF,WSH,10/13/2007,7:00 PM
BUF,TOR,10/15/2007,7:00 PM
BUF,CBJ,10/19/2007,7:30 PM
MON,BUF,10/20/2007,7:00 PM
CAR,BUF,10/24/2007,7:00 PM
FLA,BUF,10/26/2007,7:30 PM
TBL,BUF,10/27/2007,7:30 PM
BOS,BUF,11/1/2007,7:00 PM
BUF,FLA,11/2/2007,7:30 PM
MON,BUF,11/5/2007,7:30 PM
BUF,BOS,11/7/2007,7:00 PM
BUF,TOR,11/9/2007,7:30 PM
BOS,BUF,11/10/2007,7:00 PM
OTT,BUF,11/15/2007,7:30 PM
BUF,MON,11/16/2007,7:30 PM
BUF,OTT,11/21/2007,7:30 PM
BUF,MON,11/23/2007,7:30 PM
MON,BUF,11/24/2007,7:00 PM
WSH,BUF,11/26/2007,7:00 PM
BUF,STL,11/28/2007,7:00 PM
BUF,CAR,12/1/2007,7:00 PM
ANH,BUF,12/5/2007,10:00 PM
LAK,BUF,12/6/2007,10:30 PM
SJS,BUF,12/8/2007,10:30 PM
BUF,BOS,12/10/2007,7:00 PM
BUF,NYI,12/12/2007,7:00 PM
WSH,BUF,12/14/2007,7:00 PM
BUF,CHI,12/15/2007,7:00 PM
NYI,BUF,12/19/2007,7:00 PM
BUF,PHI,12/21/2007,7:30 PM
PHI,BUF,12/22/2007,7:00 PM
BUF,OTT,12/26/2007,7:00 PM
NJD,BUF,12/28/2007,7:00 PM
PIT,BUF,12/29/2007,7:30 PM
BUF,PIT,1/1/2008,1:00 PM
BUF,OTT,1/4/2008,7:30 PM
ATL,BUF,1/6/2008,2:00 PM
NJD,BUF,1/8/2008,7:00 PM
OTT,BUF,1/10/2008,7:30 PM
BUF,NJD,1/12/2008,7:00 PM
NYR,BUF,1/16/2008,7:00 PM
BUF,ATL,1/18/2008,7:30 PM
TOR,BUF,1/19/2008,7:00 PM
ARI,BUF,1/21/2008,4:00 PM
DAL,BUF,1/24/2008,8:30 PM
TBL,BUF,1/29/2008,7:00 PM
FLA,BUF,1/30/2008,7:30 PM
ATL,BUF,2/1/2008,7:30 PM
BOS,BUF,2/5/2008,7:00 PM
BUF,NJD,2/6/2008,7:00 PM
BUF,BOS,2/8/2008,7:30 PM
BUF,FLA,2/10/2008,6:00 PM
OTT,BUF,2/12/2008,7:30 PM
BUF,TOR,2/13/2008,7:30 PM
NYR,BUF,2/16/2008,1:00 PM
BUF,PIT,2/17/2008,6:00 PM
BUF,TBL,2/20/2008,7:00 PM
TOR,BUF,2/21/2008,7:30 PM
BUF,NYR,2/23/2008,7:00 PM
BUF,PHI,2/25/2008,7:00 PM
BUF,NSH,2/27/2008,7:00 PM
BUF,MON,2/29/2008,7:30 PM
BUF,DET,3/2/2008,6:00 PM
PHI,BUF,3/4/2008,7:00 PM
BUF,WSH,3/5/2008,7:30 PM
CAR,BUF,3/8/2008,7:00 PM
BUF,NYR,3/10/2008,7:00 PM
PIT,BUF,3/12/2008,7:30 PM
BUF,CAR,3/14/2008,7:30 PM
TOR,BUF,3/15/2008,7:00 PM
BUF,TBL,3/19/2008,7:00 PM
BUF,TOR,3/21/2008,7:30 PM
BUF,OTT,3/25/2008,7:00 PM
OTT,BUF,3/27/2008,7:30 PM
BUF,MON,3/28/2008,7:30 PM
BUF,BOS,3/30/2008,6:00 PM
TOR,BUF,4/1/2008,7:30 PM
MON,BUF,4/3/2008,7:30 PM
BOS,BUF,4/5/2008,7:00 PM
