HOME,AWAY,DATE,TIME (ET)
CAR,MON,10/3/2007,7:00 PM
CAR,PIT,10/5/2007,7:00 PM
WSH,CAR,10/6/2007,7:00 PM
TOR,CAR,10/9/2007,7:00 PM
OTT,CAR,10/11/2007,7:30 PM
MON,CAR,10/13/2007,7:00 PM
PIT,CAR,10/19/2007,7:30 PM
PHI,CAR,10/20/2007,7:00 PM
CAR,VAN,10/22/2007,7:00 PM
CAR,BUF,10/24/2007,7:00 PM
CAR,MON,10/26/2007,7:00 PM
NYI,CAR,10/27/2007,7:00 PM
FLA,CAR,10/31/2007,7:30 PM
CAR,FLA,11/3/2007,7:00 PM
CAR,WSH,11/5/2007,7:00 PM
CAR,TBL,11/8/2007,7:00 PM
ATL,CAR,11/10/2007,7:00 PM
FLA,CAR,11/12/2007,7:30 PM
TBL,CAR,11/14/2007,7:30 PM
CAR,ATL,11/16/2007,7:00 PM
CAR,FLA,11/17/2007,7:00 PM
CAR,PHI,11/21/2007,7:00 PM
CAR,TBL,11/23/2007,7:00 PM
WSH,CAR,11/24/2007,7:00 PM
CAR,PHI,11/28/2007,7:00 PM
CAR,WSH,11/30/2007,7:00 PM
BUF,CAR,12/1/2007,7:00 PM
NYR,CAR,12/3/2007,7:00 PM
TBL,CAR,12/6/2007,7:30 PM
MON,CAR,12/8/2007,7:00 PM
DET,CAR,12/9/2007,5:00 PM
CAR,OTT,12/12/2007,7:30 PM
CAR,CGY,12/14/2007,7:00 PM
PHI,CAR,12/15/2007,7:00 PM
CAR,TOR,12/18/2007,7:00 PM
FLA,CAR,12/20/2007,7:30 PM
TBL,CAR,12/22/2007,7:30 PM
NYR,CAR,12/26/2007,7:00 PM
CAR,BOS,12/28/2007,7:00 PM
CBJ,CAR,12/29/2007,7:00 PM
CAR,NYI,12/31/2007,8:00 PM
CAR,ATL,1/2/2008,7:00 PM
ATL,CAR,1/4/2008,7:30 PM
STL,CAR,1/5/2008,8:30 PM
BOS,CAR,1/8/2008,7:00 PM
CAR,NJD,1/10/2008,7:00 PM
CAR,COL,1/12/2008,7:00 PM
TOR,CAR,1/15/2008,7:30 PM
OTT,CAR,1/17/2008,7:30 PM
CAR,EDM,1/18/2008,7:00 PM
NYI,CAR,1/21/2008,2:00 PM
CAR,NYI,1/22/2008,7:00 PM
CAR,NYR,1/29/2008,7:00 PM
CAR,TOR,1/31/2008,7:00 PM
PIT,CAR,2/2/2008,7:30 PM
NSH,CAR,2/5/2008,8:00 PM
WSH,CAR,2/8/2008,7:00 PM
NJD,CAR,2/9/2008,7:00 PM
BOS,CAR,2/12/2008,7:00 PM
CAR,PIT,2/14/2008,7:00 PM
CAR,FLA,2/16/2008,7:00 PM
NJD,CAR,2/18/2008,1:00 PM
CAR,BOS,2/19/2008,7:00 PM
CAR,ATL,2/21/2008,7:00 PM
CAR,WSH,2/23/2008,5:00 PM
CAR,NJD,2/26/2008,7:00 PM
CAR,NYR,2/28/2008,7:00 PM
CAR,TBL,3/1/2008,7:00 PM
ATL,CAR,3/5/2008,7:00 PM
CAR,MIN,3/6/2008,7:00 PM
CAR,BUF,3/8/2008,7:00 PM
CHI,CAR,3/12/2008,8:30 PM
BUF,CAR,3/14/2008,7:30 PM
CAR,OTT,3/16/2008,3:00 PM
ATL,CAR,3/19/2008,7:00 PM
FLA,CAR,3/20/2008,7:30 PM
CAR,WSH,3/25/2008,7:00 PM
CAR,ATL,3/28/2008,7:00 PM
TBL,CAR,3/29/2008,7:30 PM
WSH,CAR,4/1/2008,7:00 PM
CAR,TBL,4/2/2008,7:00 PM
CAR,FLA,4/4/2008,7:00 PM
