HOME,AWAY,DATE,TIME (PT)
LAK,ANH,9/29/2007,9:00 PM
ANH,LAK,9/30/2007,9:00 PM
LAK,STL,10/6/2007,7:30 PM
DAL,LAK,10/10/2007,5:30 PM
LAK,BOS,10/12/2007,7:30 PM
LAK,DET,10/14/2007,5:00 PM
LAK,MIN,10/16/2007,7:30 PM
CGY,LAK,10/18/2007,6:00 PM
VAN,LAK,10/19/2007,7:00 PM
LAK,NSH,10/23/2007,7:30 PM
LAK,DAL,10/25/2007,7:30 PM
LAK,EDM,10/27/2007,7:00 PM
LAK,CBJ,10/31/2007,7:30 PM
SJS,LAK,11/2/2007,7:30 PM
LAK,SJS,11/3/2007,7:30 PM
LAK,DAL,11/10/2007,7:30 PM
ANH,LAK,11/13/2007,7:00 PM
LAK,ANH,11/15/2007,7:30 PM
LAK,ARI,11/17/2007,1:00 PM
DAL,LAK,11/19/2007,5:30 PM
ARI,LAK,11/21/2007,6:30 PM
SJS,LAK,11/24/2007,7:30 PM
ANH,LAK,11/25/2007,5:00 PM
SJS,LAK,11/28/2007,7:30 PM
LAK,COL,12/1/2007,7:30 PM
LAK,EDM,12/3/2007,7:30 PM
ARI,LAK,12/5/2007,6:30 PM
LAK,BUF,12/6/2007,7:30 PM
LAK,ARI,12/8/2007,7:30 PM
LAK,VAN,12/10/2007,7:30 PM
CHI,LAK,12/12/2007,5:30 PM
DAL,LAK,12/13/2007,5:30 PM
LAK,MIN,12/15/2007,7:30 PM
LAK,COL,12/17/2007,7:30 PM
DET,LAK,12/19/2007,4:30 PM
CBJ,LAK,12/21/2007,4:00 PM
NSH,LAK,12/22/2007,5:00 PM
LAK,SJS,12/26/2007,7:30 PM
COL,LAK,12/29/2007,0:00 PM
CHI,LAK,12/30/2007,4:00 PM
LAK,CHI,1/1/2008,7:30 PM
LAK,CBJ,1/3/2008,7:30 PM
LAK,CGY,1/5/2008,7:30 PM
LAK,NSH,1/8/2008,7:30 PM
LAK,TOR,1/10/2008,7:30 PM
LAK,DAL,1/12/2008,1:00 PM
EDM,LAK,1/15/2008,6:00 PM
CGY,LAK,1/18/2008,6:00 PM
VAN,LAK,1/19/2008,7:00 PM
LAK,DET,1/22/2008,7:30 PM
LAK,ANH,1/24/2008,7:30 PM
PHI,LAK,1/29/2008,4:00 PM
NYI,LAK,1/31/2008,4:00 PM
NJD,LAK,2/2/2008,4:00 PM
NYR,LAK,2/5/2008,4:00 PM
DET,LAK,2/7/2008,4:30 PM
PIT,LAK,2/9/2008,10:00 PM
CBJ,LAK,2/10/2008,3:00 PM
STL,LAK,2/12/2008,5:30 PM
LAK,CGY,2/15/2008,7:30 PM
ARI,LAK,2/16/2008,6:00 PM
LAK,ARI,2/18/2008,7:30 PM
LAK,STL,2/21/2008,7:30 PM
LAK,CHI,2/23/2008,1:00 PM
EDM,LAK,2/28/2008,6:00 PM
COL,LAK,3/1/2008,5:00 PM
MIN,LAK,3/2/2008,4:00 PM
STL,LAK,3/4/2008,5:30 PM
LAK,OTT,3/6/2008,7:30 PM
LAK,MON,3/8/2008,1:00 PM
LAK,VAN,3/10/2008,7:30 PM
NSH,LAK,3/13/2008,5:00 PM
MIN,LAK,3/15/2008,5:00 PM
LAK,SJS,3/18/2008,7:30 PM
ARI,LAK,3/20/2008,7:00 PM
DAL,LAK,3/22/2008,0:00 PM
ANH,LAK,3/26/2008,7:00 PM
LAK,ARI,3/27/2008,7:30 PM
LAK,DAL,3/29/2008,1:00 PM
SJS,LAK,4/1/2008,7:30 PM
LAK,SJS,4/3/2008,7:30 PM
LAK,ANH,4/5/2008,1:00 PM
