DATE,VISITING TEAM,HOME TEAM,TIME
"SAT SEP 29, 2007",ANAHEIM,LOS ANGELES,12:00 PM ET
,,,
,,,
"SUN SEP 30, 2007",LOS ANGELES,ANAHEIM,12:00 PM ET
,,,
,,,
,,,
"WED OCT 3, 2007",MONTREAL,CAROLINA,7:00 PM ET
,,,
"WED OCT 3, 2007",ANAHEIM,DETROIT,7:00 PM ET
,,,
"WED OCT 3, 2007",OTTAWA,TORONTO,7:30 PM ET
,,,
"WED OCT 3, 2007",DALLAS,COLORADO,9:30 PM ET
,,,
"THU OCT 4, 2007",FLORIDA,NY RANGERS,7:00 PM ET
,,,
"THU OCT 4, 2007",TORONTO,OTTAWA,7:00 PM ET
,,,
"THU OCT 4, 2007",NEW JERSEY,TAMPA BAY,7:30 PM ET
,,,
"THU OCT 4, 2007",COLORADO,NASHVILLE,8:00 PM ET
,,,
"THU OCT 4, 2007",CHICAGO,MINNESOTA,8:30 PM ET
,,,
"THU OCT 4, 2007",SAN JOSE,EDMONTON,9:00 PM ET
,,,
"THU OCT 4, 2007",PHILADELPHIA,CALGARY,10:00 PM ET
,,,
"THU OCT 4, 2007",ST. LOUIS,PHOENIX,10:00 PM ET
,,,
"FRI OCT 5, 2007",PITTSBURGH,CAROLINA,7:00 PM ET
,,,
"FRI OCT 5, 2007",ANAHEIM,COLUMBUS,7:00 PM ET
,,,
"FRI OCT 5, 2007",NY ISLANDERS,BUFFALO,7:30 PM ET
,,,
"FRI OCT 5, 2007",WASHINGTON,ATLANTA,7:30 PM ET
,,,
"FRI OCT 5, 2007",BOSTON,DALLAS,8:30 PM ET
,,,
"FRI OCT 5, 2007",SAN JOSE,VANCOUVER,10:00 PM ET
,,,
"SAT OCT 6, 2007",MONTREAL,TORONTO,7:00 PM ET
,,,
"SAT OCT 6, 2007",NY RANGERS,OTTAWA,7:00 PM ET
,,,
"SAT OCT 6, 2007",BUFFALO,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 6, 2007",CAROLINA,WASHINGTON,7:00 PM ET
,,,
"SAT OCT 6, 2007",NEW JERSEY,FLORIDA,7:00 PM ET
,,,
"SAT OCT 6, 2007",ANAHEIM,PITTSBURGH,7:30 PM ET
,,,
"SAT OCT 6, 2007",ATLANTA,TAMPA BAY,7:30 PM ET
,,,
"SAT OCT 6, 2007",PHILADELPHIA,EDMONTON,8:00 PM ET
,,,
"SAT OCT 6, 2007",DALLAS,NASHVILLE,8:00 PM ET
,,,
"SAT OCT 6, 2007",COLUMBUS,MINNESOTA,8:00 PM ET
,,,
"SAT OCT 6, 2007",DETROIT,CHICAGO,8:30 PM ET
,,,
"SAT OCT 6, 2007",VANCOUVER,CALGARY,10:00 PM ET
,,,
"SAT OCT 6, 2007",BOSTON,PHOENIX,10:00 PM ET
,,,
"SAT OCT 6, 2007",ST. LOUIS,LOS ANGELES,10:30 PM ET
,,,
"SUN OCT 7, 2007",SAN JOSE,COLORADO,7:00 PM ET
,,,
"MON OCT 8, 2007",WASHINGTON,NY ISLANDERS,2:00 PM ET
,,,
"MON OCT 8, 2007",NEW JERSEY,OTTAWA,3:00 PM ET
,,,
"MON OCT 8, 2007",EDMONTON,DETROIT,7:30 PM ET
,,,
"TUE OCT 9, 2007",CAROLINA,TORONTO,7:00 PM ET
,,,
"WED OCT 10, 2007",NY RANGERS,NY ISLANDERS,7:00 PM ET
,,,
"WED OCT 10, 2007",OTTAWA,ATLANTA,7:00 PM ET
,,,
"WED OCT 10, 2007",PHOENIX,COLUMBUS,7:00 PM ET
,,,
"WED OCT 10, 2007",MONTREAL,PITTSBURGH,7:30 PM ET
,,,
"WED OCT 10, 2007",FLORIDA,TAMPA BAY,7:30 PM ET
,,,
"WED OCT 10, 2007",CALGARY,DETROIT,7:30 PM ET
,,,
"WED OCT 10, 2007",EDMONTON,MINNESOTA,8:00 PM ET
,,,
"WED OCT 10, 2007",SAN JOSE,CHICAGO,8:30 PM ET
,,,
"WED OCT 10, 2007",NASHVILLE,ST. LOUIS,8:30 PM ET
,,,
"WED OCT 10, 2007",LOS ANGELES,DALLAS,8:30 PM ET
,,,
"WED OCT 10, 2007",BOSTON,ANAHEIM,10:00 PM ET
,,,
"WED OCT 10, 2007",PHILADELPHIA,VANCOUVER,10:30 PM ET
,,,
"THU OCT 11, 2007",ATLANTA,BUFFALO,7:00 PM ET
,,,
"THU OCT 11, 2007",NY ISLANDERS,TORONTO,7:30 PM ET
,,,
"THU OCT 11, 2007",CAROLINA,OTTAWA,7:30 PM ET
,,,
"THU OCT 11, 2007",NEW JERSEY,FLORIDA,7:30 PM ET
,,,
"THU OCT 11, 2007",PHOENIX,NASHVILLE,8:00 PM ET
,,,
"FRI OCT 12, 2007",WASHINGTON,NY RANGERS,7:00 PM ET
,,,
"FRI OCT 12, 2007",CHICAGO,DETROIT,7:30 PM ET
,,,
"FRI OCT 12, 2007",COLORADO,ST. LOUIS,8:30 PM ET
,,,
"FRI OCT 12, 2007",CALGARY,DALLAS,8:30 PM ET
,,,
"FRI OCT 12, 2007",VANCOUVER,EDMONTON,9:00 PM ET
,,,
"FRI OCT 12, 2007",BOSTON,LOS ANGELES,10:30 PM ET
,,,
