HOME,AWAY,DATE,TIME (CT)
NSH,COL,10/4/2007,7:00 PM
NSH,DAL,10/6/2007,7:00 PM
STL,NSH,10/10/2007,7:30 PM
NSH,ARI,10/11/2007,7:00 PM
NSH,CGY,10/13/2007,7:00 PM
ANH,NSH,10/17/2007,9:00 PM
SJS,NSH,10/20/2007,9:30 PM
LAK,NSH,10/23/2007,9:30 PM
NSH,ATL,10/25/2007,7:00 PM
NSH,FLA,10/27/2007,7:00 PM
CGY,NSH,10/30/2007,8:30 PM
VAN,NSH,11/1/2007,10:00 PM
EDM,NSH,11/2/2007,8:00 PM
CHI,NSH,11/4/2007,6:00 PM
DET,NSH,11/7/2007,6:30 PM
NSH,CBJ,11/10/2007,7:00 PM
CBJ,NSH,11/12/2007,6:00 PM
NSH,CHI,11/15/2007,7:00 PM
NSH,STL,11/17/2007,7:00 PM
STL,NSH,11/19/2007,7:30 PM
NSH,DET,11/22/2007,7:00 PM
NSH,MIN,11/24/2007,7:00 PM
OTT,NSH,11/29/2007,6:30 PM
MON,NSH,12/1/2007,6:00 PM
TOR,NSH,12/4/2007,6:30 PM
NSH,VAN,12/6/2007,7:00 PM
NSH,ANH,12/8/2007,7:00 PM
NSH,DET,12/10/2007,7:00 PM
NSH,COL,12/13/2007,7:00 PM
COL,NSH,12/15/2007,8:00 PM
MIN,NSH,12/18/2007,7:00 PM
CHI,NSH,12/19/2007,7:30 PM
NSH,LAK,12/22/2007,7:00 PM
CBJ,NSH,12/23/2007,4:00 PM
CHI,NSH,12/26/2007,7:30 PM
NSH,CBJ,12/27/2007,7:00 PM
NSH,SJS,12/29/2007,7:00 PM
DAL,NSH,12/31/2007,7:30 PM
NSH,EDM,1/3/2008,7:00 PM
NSH,MIN,1/5/2008,7:00 PM
ANH,NSH,1/7/2008,9:00 PM
LAK,NSH,1/8/2008,9:30 PM
CBJ,NSH,1/12/2008,6:00 PM
NSH,CHI,1/13/2008,7:00 PM
NSH,CGY,1/15/2008,7:00 PM
NSH,ANH,1/17/2008,7:00 PM
STL,NSH,1/19/2008,1:00 PM
NSH,STL,1/21/2008,5:00 PM
COL,NSH,1/22/2008,8:00 PM
ARI,NSH,1/24/2008,8:00 PM
BOS,NSH,1/29/2008,6:00 PM
NSH,CBJ,1/31/2008,7:00 PM
NSH,ARI,2/2/2008,7:00 PM
NSH,CAR,2/5/2008,7:00 PM
NSH,TBL,2/7/2008,7:00 PM
SJS,NSH,2/9/2008,9:00 PM
ARI,NSH,2/10/2008,7:00 PM
NSH,DET,2/12/2008,7:00 PM
NSH,CHI,2/14/2008,7:00 PM
NSH,STL,2/16/2008,7:00 PM
MIN,NSH,2/17/2008,7:00 PM
NSH,EDM,2/19/2008,7:00 PM
NSH,VAN,2/21/2008,7:00 PM
NSH,DAL,2/23/2008,7:00 PM
BUF,NSH,2/27/2008,6:00 PM
DAL,NSH,3/1/2008,7:00 PM
EDM,NSH,3/4/2008,8:00 PM
VAN,NSH,3/6/2008,9:00 PM
CGY,NSH,3/7/2008,8:30 PM
DET,NSH,3/9/2008,2:00 PM
NSH,SJS,3/11/2008,7:00 PM
NSH,LAK,3/13/2008,7:00 PM
DET,NSH,3/15/2008,0:00 PM
NSH,WSH,3/18/2008,7:00 PM
NSH,DET,3/20/2008,7:00 PM
NSH,CHI,3/22/2008,2:00 PM
NSH,CBJ,3/25/2008,7:00 PM
CBJ,NSH,3/28/2008,6:00 PM
DET,NSH,3/30/2008,2:00 PM
STL,NSH,4/1/2008,6:30 PM
NSH,STL,4/3/2008,7:00 PM
CHI,NSH,4/4/2008,7:30 PM
