HOME,AWAY,DATE,TIME (ET)
TOR,OTT,10/3/2007,7:30 PM
OTT,TOR,10/4/2007,7:00 PM
TOR,MON,10/6/2007,7:00 PM
TOR,CAR,10/9/2007,7:00 PM
TOR,NYI,10/11/2007,7:30 PM
TOR,PIT,10/13/2007,7:00 PM
BUF,TOR,10/15/2007,7:00 PM
TOR,FLA,10/18/2007,7:30 PM
TOR,CHI,10/20/2007,7:00 PM
TOR,ATL,10/23/2007,7:30 PM
PIT,TOR,10/25/2007,7:30 PM
NYR,TOR,10/27/2007,7:00 PM
TOR,WSH,10/29/2007,7:30 PM
NJD,TOR,11/2/2007,7:00 PM
MON,TOR,11/3/2007,7:00 PM
OTT,TOR,11/6/2007,7:30 PM
BUF,TOR,11/9/2007,7:30 PM
TOR,NYR,11/10/2007,7:00 PM
TOR,MON,11/13/2007,7:30 PM
BOS,TOR,11/15/2007,7:00 PM
TOR,OTT,11/17/2007,7:00 PM
TOR,BOS,11/20/2007,7:00 PM
DAL,TOR,11/23/2007,8:30 PM
ARI,TOR,11/24/2007,7:00 PM
TOR,MON,11/27/2007,7:30 PM
ATL,TOR,11/29/2007,7:00 PM
TOR,PIT,12/1/2007,7:00 PM
TOR,NSH,12/4/2007,7:30 PM
NYR,TOR,12/6/2007,7:00 PM
TOR,BOS,12/8/2007,7:00 PM
TOR,TBL,12/10/2007,7:30 PM
ATL,TOR,12/14/2007,7:30 PM
MON,TOR,12/15/2007,7:00 PM
CAR,TOR,12/18/2007,7:00 PM
TBL,TOR,12/20/2007,7:30 PM
FLA,TOR,12/22/2007,7:00 PM
NYI,TOR,12/26/2007,7:30 PM
PHI,TOR,12/27/2007,7:00 PM
TOR,NYR,12/29/2007,7:00 PM
TOR,TBL,1/1/2008,7:30 PM
PIT,TOR,1/3/2008,7:30 PM
TOR,PHI,1/5/2008,7:00 PM
ANH,TOR,1/9/2008,10:00 PM
LAK,TOR,1/10/2008,10:30 PM
SJS,TOR,1/12/2008,10:00 PM
TOR,CAR,1/15/2008,7:30 PM
BOS,TOR,1/17/2008,7:00 PM
TOR,BUF,1/19/2008,7:00 PM
NJD,TOR,1/20/2008,5:00 PM
TOR,WSH,1/23/2008,7:30 PM
WSH,TOR,1/24/2008,7:00 PM
TOR,STL,1/29/2008,7:30 PM
CAR,TOR,1/31/2008,7:00 PM
TOR,OTT,2/2/2008,7:00 PM
TOR,FLA,2/5/2008,7:30 PM
MON,TOR,2/7/2008,7:00 PM
TOR,DET,2/9/2008,3:00 PM
BUF,TOR,2/13/2008,7:30 PM
TOR,NYI,2/14/2008,7:30 PM
TOR,BOS,2/16/2008,7:00 PM
TOR,CBJ,2/19/2008,7:30 PM
TOR,BUF,2/21/2008,7:30 PM
TOR,ATL,2/23/2008,7:00 PM
OTT,TOR,2/25/2008,7:30 PM
FLA,TOR,2/27/2008,7:30 PM
TBL,TOR,2/29/2008,8:00 PM
WSH,TOR,3/1/2008,7:00 PM
TOR,NJD,3/4/2008,7:30 PM
BOS,TOR,3/6/2008,7:00 PM
TOR,NJD,3/8/2008,7:00 PM
TOR,PHI,3/11/2008,7:30 PM
PHI,TOR,3/12/2008,7:00 PM
TOR,BUF,3/15/2008,7:00 PM
NYI,TOR,3/18/2008,7:00 PM
BUF,TOR,3/21/2008,7:30 PM
OTT,TOR,3/22/2008,7:00 PM
TOR,BOS,3/25/2008,7:30 PM
BOS,TOR,3/27/2008,7:00 PM
TOR,MON,3/29/2008,7:00 PM
TOR,BUF,4/1/2008,7:30 PM
TOR,OTT,4/3/2008,7:30 PM
MON,TOR,4/5/2008,7:00 PM
