HOME,AWAY,DATE,TIME (ET)
ATL,WSH,10/5/2007,7:30 PM
WSH,CAR,10/6/2007,7:00 PM
NYI,WSH,10/8/2007,2:00 PM
NYR,WSH,10/12/2007,7:00 PM
BUF,WSH,10/13/2007,7:00 PM
WSH,NYI,10/18/2007,7:00 PM
WSH,PIT,10/20/2007,7:00 PM
WSH,TBL,10/24/2007,7:00 PM
WSH,VAN,10/26/2007,7:00 PM
STL,WSH,10/27/2007,8:30 PM
TOR,WSH,10/29/2007,7:30 PM
NYR,WSH,11/1/2007,7:00 PM
WSH,PHI,11/2/2007,7:00 PM
CAR,WSH,11/5/2007,7:00 PM
ATL,WSH,11/6/2007,7:00 PM
OTT,WSH,11/8/2007,7:30 PM
WSH,TBL,11/10/2007,7:00 PM
FLA,WSH,11/15/2007,7:30 PM
TBL,WSH,11/16/2007,8:00 PM
WSH,FLA,11/19/2007,7:00 PM
WSH,ATL,11/21/2007,7:00 PM
PHI,WSH,11/23/2007,1:00 PM
WSH,CAR,11/24/2007,7:00 PM
WSH,BUF,11/26/2007,7:00 PM
WSH,FLA,11/28/2007,7:00 PM
CAR,WSH,11/30/2007,7:00 PM
FLA,WSH,12/1/2007,7:00 PM
NJD,WSH,12/7/2007,7:00 PM
WSH,ATL,12/8/2007,7:00 PM
WSH,NJD,12/10/2007,7:00 PM
WSH,NYR,12/12/2007,7:00 PM
WSH,BUF,12/14/2007,7:00 PM
TBL,WSH,12/15/2007,7:30 PM
DET,WSH,12/17/2007,7:00 PM
WSH,MON,12/20/2007,7:00 PM
NYI,WSH,12/22/2007,7:00 PM
WSH,TBL,12/26/2007,7:00 PM
PIT,WSH,12/27/2007,7:30 PM
OTT,WSH,12/29/2007,7:00 PM
WSH,OTT,1/1/2008,4:00 PM
BOS,WSH,1/3/2008,7:00 PM
MON,WSH,1/5/2008,0:30 PM
WSH,COL,1/9/2008,7:00 PM
WSH,PHI,1/13/2008,1:00 PM
WSH,OTT,1/15/2008,7:00 PM
WSH,EDM,1/17/2008,7:00 PM
WSH,FLA,1/19/2008,7:00 PM
PIT,WSH,1/21/2008,7:30 PM
TOR,WSH,1/23/2008,7:30 PM
WSH,TOR,1/24/2008,7:00 PM
MON,WSH,1/29/2008,7:30 PM
WSH,MON,1/31/2008,7:00 PM
WSH,ATL,2/2/2008,7:00 PM
CBJ,WSH,2/5/2008,7:00 PM
PHI,WSH,2/6/2008,7:00 PM
WSH,CAR,2/8/2008,7:00 PM
WSH,NYR,2/10/2008,1:00 PM
ATL,WSH,2/13/2008,7:00 PM
FLA,WSH,2/15/2008,7:30 PM
TBL,WSH,2/16/2008,7:30 PM
WSH,NYI,2/20/2008,7:00 PM
CAR,WSH,2/23/2008,5:00 PM
WSH,NJD,2/24/2008,3:00 PM
WSH,MIN,2/26/2008,7:00 PM
NJD,WSH,2/29/2008,7:00 PM
WSH,TOR,3/1/2008,7:00 PM
WSH,BOS,3/3/2008,7:00 PM
BUF,WSH,3/5/2008,7:30 PM
BOS,WSH,3/8/2008,1:00 PM
WSH,PIT,3/9/2008,0:30 PM
WSH,CGY,3/12/2008,7:00 PM
WSH,ATL,3/14/2008,7:00 PM
WSH,BOS,3/16/2008,3:00 PM
NSH,WSH,3/18/2008,8:00 PM
CHI,WSH,3/19/2008,8:30 PM
ATL,WSH,3/21/2008,7:30 PM
CAR,WSH,3/25/2008,7:00 PM
TBL,WSH,3/27/2008,7:30 PM
FLA,WSH,3/29/2008,7:00 PM
WSH,CAR,4/1/2008,7:00 PM
WSH,TBL,4/3/2008,7:00 PM
WSH,FLA,4/5/2008,7:00 PM
