DATE\TEAM,ANH,ARI,CHI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
10/4/2008,,,,,,,,,,,,,,,,,,,,,TBL-A,PIT-H,,OTT-A,,,NYR-H,,,
10/5/2008,,,,,,,,,,,,,,,,,,,,,TBL-H,PIT-A,,OTT-H,,,NYR-A,,,
10/6/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2008,SJS-A,,,COL-A,,,,VAN-A,,BOS-H,,TOR-H,,,,,,,,,,,,,ANH-H,,,DET-A,CGY-H,
10/10/2008,,,WSH-H,,MON-H,FLA-H,DAL-A,,NYR-A,,CBJ-H,,,CAR-A,,,BUF-A,NYI-H,STL-A,NJD-A,CHI-H,,,,,NSH-H,,,,ATL-A
10/11/2008,,CBJ-H,FLA-A,MIN-A,,TBL-A,ARI-A,VAN-H,WSH-A,,NSH-A,OTT-A,,ATL-H,SJS-A,BOS-H,TOR-A,PIT-A,DAL-H,STL-H,PHI-A,DET-H,NYR-H,NJD-H,LAK-H,NYI-A,CAR-H,MON-H,CGY-A,CHI-H
10/12/2008,ARI-H,ANH-A,,,,,,,,EDM-A,,,COL-H,,SJS-H,,,,,,,,,,LAK-A,,,,,
10/13/2008,,,,,NYI-A,DET-H,,,NSH-H,,,CAR-A,,,,,PHI-A,NYR-A,CHI-A,BUF-H,NJD-H,,MON-H,,,TOR-A,,STL-H,WSH-A,VAN-H
10/14/2008,LAK-A,,MIN-H,,,,SJS-A,COL-H,,CGY-A,,,,,ANH-H,ATL-A,,,,,,,PIT-A,PHI-H,CBJ-H,,,,,
10/15/2008,EDM-H,CHI-A,,MON-A,NYR-A,,,,ARI-H,,NSH-H,,ANH-A,,,,BOS-H,,DAL-A,,BUF-H,,,,,,,,,
