HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
ARI,CBJ,10/11/2008,8:00 PM,0,0.0
ANH,ARI,10/12/2008,6:00 PM,329,22.0
CHI,ARI,10/15/2008,6:30 PM,1731,72.5
OTT,ARI,10/17/2008,5:00 PM,649,46.5
MON,ARI,10/18/2008,5:00 PM,104,24.0
ARI,WSH,10/23/2008,8:00 PM,2197,123.0
ARI,CGY,10/25/2008,8:00 PM,0,48.0
ARI,PIT,10/30/2008,8:00 PM,0,120.0
ARI,MIN,11/1/2008,8:00 PM,0,48.0
CGY,ARI,11/4/2008,8:00 PM,1213,72.0
VAN,ARI,11/6/2008,8:00 PM,421,48.0
ARI,FLA,11/8/2008,7:00 PM,1223,47.0
ARI,SJS,11/9/2008,6:00 PM,0,23.0
CBJ,ARI,11/12/2008,5:00 PM,1672,71.0
MIN,ARI,11/13/2008,6:00 PM,620,25.0
ARI,DAL,11/15/2008,7:00 PM,1286,49.0
ARI,CHI,11/18/2008,7:30 PM,0,72.5
CAR,ARI,11/21/2008,5:00 PM,1908,69.5
PHI,ARI,11/22/2008,5:00 PM,346,24.0
NYR,ARI,11/24/2008,5:00 PM,81,48.0
CBJ,ARI,11/26/2008,5:00 PM,479,48.0
ARI,COL,11/28/2008,2:00 PM,1672,45.0
ARI,SJS,11/29/2008,7:00 PM,0,29.0
ARI,LAK,12/2/2008,7:30 PM,0,72.5
ARI,TOR,12/4/2008,7:00 PM,0,47.5
STL,ARI,12/6/2008,6:30 PM,1274,47.5
CHI,ARI,12/7/2008,5:00 PM,259,22.5
DAL,ARI,12/10/2008,6:30 PM,799,73.5
ARI,MIN,12/11/2008,7:00 PM,987,24.5
ARI,DET,12/13/2008,7:00 PM,0,48.0
DAL,ARI,12/16/2008,6:30 PM,987,71.5
ARI,NSH,12/18/2008,7:00 PM,987,48.5
ARI,CBJ,12/20/2008,7:00 PM,0,48.0
EDM,ARI,12/22/2008,7:30 PM,1385,48.5
COL,ARI,12/23/2008,7:00 PM,1037,23.5
LAK,ARI,12/26/2008,8:30 PM,946,73.5
ARI,LAK,12/27/2008,7:00 PM,360,22.5
ARI,COL,12/31/2008,6:00 PM,0,95.0
ARI,NYI,1/2/2009,7:00 PM,0,49.0
ANH,ARI,1/4/2009,6:00 PM,329,47.0
ARI,CHI,1/6/2009,7:00 PM,329,49.0
ARI,TBL,1/8/2009,7:00 PM,0,48.0
ARI,DAL,1/10/2009,7:00 PM,0,48.0
MIN,ARI,1/13/2009,6:00 PM,1286,71.0
VAN,ARI,1/15/2009,8:00 PM,1437,50.0
CGY,ARI,1/17/2009,8:00 PM,421,48.0
EDM,ARI,1/18/2009,7:00 PM,176,23.0
ARI,DET,1/20/2009,7:00 PM,1385,48.0
ARI,ANH,1/27/2009,7:00 PM,0,168.0
SJS,ARI,1/29/2009,8:30 PM,602,49.5
ARI,BUF,1/31/2009,7:00 PM,602,46.5
NSH,ARI,2/3/2009,6:00 PM,1451,71.0
DET,ARI,2/4/2009,5:30 PM,472,23.5
ARI,CAR,2/7/2009,7:00 PM,1691,73.5
DAL,ARI,2/11/2009,6:30 PM,987,95.5
ARI,VAN,2/12/2009,7:00 PM,987,24.5
ARI,CGY,2/14/2009,8:00 PM,0,49.0
ARI,EDM,2/16/2009,7:30 PM,0,47.5
ARI,ATL,2/19/2009,7:00 PM,0,71.5
LAK,ARI,2/21/2009,2:00 PM,360,43.0
STL,ARI,2/24/2009,6:30 PM,1597,76.5
NSH,ARI,2/26/2009,6:00 PM,255,47.5
ARI,STL,2/28/2009,7:00 PM,1451,49.0
BOS,ARI,3/5/2009,5:00 PM,2305,118.0
BUF,ARI,3/6/2009,5:30 PM,401,24.5
NYI,ARI,3/8/2009,1:00 PM,297,43.5
DET,ARI,3/10/2009,5:30 PM,489,52.5
NJD,ARI,3/12/2009,5:00 PM,477,47.5
ARI,NSH,3/14/2009,8:00 PM,2139,51.0
ARI,SJS,3/17/2009,8:00 PM,0,72.0
ARI,ANH,3/19/2009,8:00 PM,0,48.0
ARI,VAN,3/21/2009,8:00 PM,0,48.0
ANH,ARI,3/22/2009,6:00 PM,329,22.0
ARI,EDM,3/26/2009,8:00 PM,329,98.0
SJS,ARI,3/28/2009,8:30 PM,602,48.5
ARI,DAL,3/30/2009,8:00 PM,602,47.5
COL,ARI,4/1/2009,7:00 PM,591,47.0
ARI,LAK,4/2/2009,8:00 PM,591,25.0
LAK,ARI,4/4/2009,8:30 PM,360,48.5
ARI,STL,4/7/2009,8:00 PM,360,71.5
SJS,ARI,4/9/2009,8:30 PM,602,48.5
ARI,ANH,4/11/2009,6:00 PM,602,45.5
