HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
ATL,WSH,10/10/2008,7:30 PM,0,0.0
FLA,ATL,10/11/2008,7:00 PM,369,23.5
ATL,MIN,10/14/2008,7:00 PM,369,72.0
ATL,NJD,10/16/2008,7:00 PM,0,48.0
ATL,BUF,10/18/2008,7:00 PM,0,48.0
TBL,ATL,10/21/2008,7:30 PM,415,72.5
DET,ATL,10/24/2008,7:30 PM,994,72.0
BOS,ATL,10/25/2008,7:00 PM,618,23.5
ATL,PHI,10/28/2008,7:00 PM,938,72.0
NYR,ATL,10/30/2008,7:00 PM,751,48.0
NJD,ATL,11/1/2008,7:00 PM,11,48.0
ATL,FLA,11/2/2008,5:00 PM,740,22.0
ATL,NYI,11/6/2008,7:00 PM,0,98.0
BUF,ATL,11/7/2008,7:30 PM,698,24.5
CAR,ATL,11/9/2008,3:00 PM,487,43.5
ATL,CAR,11/14/2008,7:30 PM,1559,124.5
PHI,ATL,11/16/2008,7:00 PM,670,47.5
ATL,PIT,11/20/2008,7:00 PM,670,96.0
ATL,CBJ,11/22/2008,7:00 PM,0,48.0
TOR,ATL,11/25/2008,7:30 PM,734,72.5
WSH,ATL,11/26/2008,7:00 PM,350,23.5
ATL,NSH,11/28/2008,7:30 PM,544,48.5
ATL,STL,11/30/2008,3:00 PM,0,43.5
MON,ATL,12/2/2008,7:30 PM,995,52.5
OTT,ATL,12/3/2008,7:00 PM,104,23.5
NYI,ATL,12/6/2008,7:00 PM,340,72.0
ATL,NYR,12/10/2008,7:00 PM,764,96.0
ATL,BOS,12/12/2008,7:30 PM,0,48.5
BOS,ATL,12/13/2008,7:00 PM,938,23.5
OTT,ATL,12/16/2008,7:30 PM,317,72.5
ATL,PIT,12/18/2008,7:00 PM,928,47.5
ATL,TBL,12/20/2008,7:00 PM,0,48.0
ATL,TOR,12/22/2008,7:00 PM,0,48.0
NYI,ATL,12/23/2008,7:00 PM,764,24.0
ATL,CAR,12/26/2008,7:30 PM,764,72.5
ATL,BOS,12/28/2008,5:00 PM,0,45.5
TOR,ATL,12/30/2008,7:30 PM,734,50.5
CAR,ATL,12/31/2008,8:00 PM,541,24.5
ATL,VAN,1/2/2009,7:30 PM,1559,47.5
ATL,TBL,1/4/2009,5:00 PM,0,45.5
PIT,ATL,1/6/2009,7:30 PM,522,50.5
NJD,ATL,1/8/2009,7:00 PM,306,47.5
FLA,ATL,1/10/2009,1:00 PM,1087,42.0
ATL,OTT,1/14/2009,7:30 PM,369,102.5
ATL,TOR,1/16/2009,7:30 PM,0,48.0
NSH,ATL,1/17/2009,8:00 PM,213,24.5
ATL,MON,1/20/2009,7:00 PM,213,71.0
PHI,ATL,1/21/2009,7:00 PM,670,24.0
DAL,ATL,1/27/2009,8:30 PM,1300,145.5
ATL,NYI,1/29/2009,7:00 PM,717,46.5
CAR,ATL,1/31/2009,8:00 PM,1559,49.0
NYR,ATL,2/3/2009,8:00 PM,425,72.0
ATL,NJD,2/6/2009,7:30 PM,751,71.5
ATL,PHI,2/8/2009,3:00 PM,0,43.5
TBL,ATL,2/10/2009,7:30 PM,415,52.5
ATL,CHI,2/11/2009,7:00 PM,415,23.5
ANH,ATL,2/15/2009,8:00 PM,1917,97.0
LAK,ATL,2/16/2009,10:30 PM,32,26.5
ARI,ATL,2/19/2009,9:00 PM,360,70.5
SJS,ATL,2/21/2009,4:00 PM,602,43.0
ATL,COL,2/24/2009,7:00 PM,2108,75.0
WSH,ATL,2/26/2009,7:00 PM,544,48.0
ATL,CAR,2/28/2009,7:00 PM,544,48.0
ATL,FLA,3/3/2009,7:00 PM,0,72.0
ATL,MON,3/6/2009,7:30 PM,0,72.5
ATL,CGY,3/8/2009,3:00 PM,0,43.5
COL,ATL,3/10/2009,9:00 PM,1205,54.0
EDM,ATL,3/12/2009,9:30 PM,1037,48.5
BUF,ATL,3/14/2009,7:00 PM,1740,45.5
ATL,WSH,3/16/2009,7:00 PM,698,48.0
PIT,ATL,3/17/2009,7:30 PM,522,24.5
ATL,DET,3/20/2009,7:30 PM,522,72.0
TBL,ATL,3/21/2009,7:30 PM,415,24.0
MON,ATL,3/24/2009,7:30 PM,1305,72.0
ATL,NYR,3/26/2009,7:00 PM,995,47.5
ATL,OTT,3/28/2009,7:00 PM,0,48.0
ATL,BUF,4/1/2009,7:00 PM,0,96.0
FLA,ATL,4/3/2009,7:30 PM,369,48.5
WSH,ATL,4/5/2009,3:00 PM,924,43.5
ATL,WSH,4/7/2009,7:00 PM,544,52.0
ATL,FLA,4/9/2009,7:00 PM,0,48.0
ATL,TBL,4/11/2009,7:00 PM,0,48.0
