HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
NYR,CHI,10/10/2008,6:00 PM,717,0.0
WSH,CHI,10/11/2008,6:00 PM,207,24.0
CHI,NSH,10/13/2008,7:30 PM,598,49.5
CHI,ARI,10/15/2008,7:30 PM,0,48.0
STL,CHI,10/18/2008,7:30 PM,259,72.0
CHI,VAN,10/19/2008,6:00 PM,259,22.5
CHI,EDM,10/22/2008,8:00 PM,0,74.0
CHI,DET,10/25/2008,7:30 PM,0,71.5
MIN,CHI,10/27/2008,7:00 PM,347,47.5
CHI,DAL,10/31/2008,7:30 PM,347,96.5
CBJ,CHI,11/1/2008,6:00 PM,277,22.5
CHI,COL,11/3/2008,7:30 PM,277,49.5
CHI,CGY,11/9/2008,6:00 PM,0,142.5
CHI,BOS,11/12/2008,7:30 PM,0,73.5
CHI,STL,11/14/2008,7:30 PM,0,48.0
CHI,SJS,11/16/2008,6:00 PM,0,46.5
ARI,CHI,11/18/2008,8:30 PM,1454,50.5
DAL,CHI,11/20/2008,7:30 PM,987,47.0
TOR,CHI,11/22/2008,6:00 PM,1202,46.5
SJS,CHI,11/26/2008,9:30 PM,2253,99.5
ANH,CHI,11/28/2008,3:00 PM,325,41.5
LAK,CHI,11/29/2008,3:00 PM,32,24.0
CHI,ANH,12/3/2008,7:30 PM,1752,100.5
DET,CHI,12/6/2008,6:00 PM,238,70.5
CHI,ARI,12/7/2008,6:00 PM,238,24.0
CHI,OTT,12/10/2008,7:30 PM,0,73.5
COL,CHI,12/12/2008,8:00 PM,912,48.5
CHI,CBJ,12/14/2008,6:00 PM,912,46.0
EDM,CHI,12/16/2008,8:30 PM,1440,50.5
CGY,CHI,12/19/2008,8:00 PM,176,71.5
VAN,CHI,12/20/2008,9:00 PM,421,25.0
CHI,PHI,12/26/2008,7:30 PM,1776,142.5
MIN,CHI,12/28/2008,5:00 PM,347,45.5
DET,CHI,12/30/2008,6:30 PM,617,49.5
CHI,DET,1/1/2009,0:00 PM,238,41.5
CHI,CGY,1/4/2009,6:00 PM,0,78.0
ARI,CHI,1/6/2009,8:00 PM,1454,50.0
COL,CHI,1/8/2009,8:00 PM,591,48.0
NSH,CHI,1/10/2009,7:30 PM,1017,47.5
CHI,NSH,1/11/2009,6:00 PM,394,22.5
CHI,BUF,1/14/2009,7:30 PM,0,73.5
CHI,NYR,1/16/2009,7:30 PM,0,48.0
STL,CHI,1/17/2009,7:30 PM,259,24.0
CHI,MIN,1/19/2009,7:00 PM,259,47.5
CHI,STL,1/21/2009,7:30 PM,0,48.5
ANH,CHI,1/28/2009,9:00 PM,1731,169.5
LAK,CHI,1/29/2009,9:30 PM,32,24.5
SJS,CHI,1/31/2009,9:30 PM,296,48.0
EDM,CHI,2/3/2009,8:00 PM,1192,70.5
CGY,CHI,2/5/2009,8:30 PM,176,48.5
VAN,CHI,2/7/2009,9:00 PM,421,48.5
ATL,CHI,2/11/2009,6:00 PM,2242,93.0
STL,CHI,2/13/2009,7:30 PM,468,49.5
CHI,DAL,2/14/2009,7:30 PM,259,24.0
TBL,CHI,2/17/2009,6:30 PM,1000,71.0
FLA,CHI,2/19/2009,6:30 PM,206,48.0
DAL,CHI,2/21/2009,1:00 PM,1109,42.5
CHI,MIN,2/22/2009,6:00 PM,799,29.0
NSH,CHI,2/24/2009,7:00 PM,394,49.0
CHI,PIT,2/27/2009,7:30 PM,394,72.5
CHI,LAK,3/1/2009,2:00 PM,0,42.5
CHI,ANH,3/3/2009,7:30 PM,0,53.5
BOS,CHI,3/7/2009,0:00 PM,856,88.5
CHI,COL,3/8/2009,2:00 PM,856,26.0
CHI,CAR,3/11/2009,7:30 PM,0,77.5
CHI,CBJ,3/13/2009,7:30 PM,0,48.0
CHI,NYI,3/15/2009,2:00 PM,0,42.5
NJD,CHI,3/17/2009,6:00 PM,707,52.0
CBJ,CHI,3/18/2009,6:00 PM,468,24.0
CHI,EDM,3/20/2009,7:30 PM,277,49.5
CHI,LAK,3/22/2009,2:00 PM,0,42.5
CHI,SJS,3/25/2009,7:30 PM,0,77.5
CHI,NJD,3/27/2009,7:30 PM,0,48.0
CHI,VAN,3/29/2009,6:00 PM,0,46.5
MON,CHI,3/31/2009,6:30 PM,750,48.5
CHI,STL,4/1/2009,7:30 PM,750,25.0
CHI,NSH,4/3/2009,7:30 PM,0,48.0
CBJ,CHI,4/5/2009,4:00 PM,277,44.5
NSH,CHI,4/7/2009,7:00 PM,335,51.0
CHI,CBJ,4/8/2009,7:30 PM,394,24.5
DET,CHI,4/11/2009,2:00 PM,238,66.5
CHI,DET,4/12/2009,1:00 PM,238,23.0
