HOME,AWAY,DATE,TIME (ET)
COL,BOS,10/9/2008,10:00 PM
MIN,BOS,10/11/2008,8:30 PM
MON,BOS,10/15/2008,7:30 PM
OTT,BOS,10/18/2008,7:00 PM
BOS,PIT,10/20/2008,7:00 PM
BUF,BOS,10/21/2008,7:00 PM
BOS,TOR,10/23/2008,7:00 PM
BOS,ATL,10/25/2008,7:00 PM
EDM,BOS,10/27/2008,9:00 PM
VAN,BOS,10/28/2008,10:00 PM
CGY,BOS,10/30/2008,9:00 PM
BOS,DAL,11/1/2008,7:00 PM
BOS,TOR,11/6/2008,7:00 PM
BOS,BUF,11/8/2008,7:00 PM
CHI,BOS,11/12/2008,8:30 PM
BOS,MON,11/13/2008,7:00 PM
NYR,BOS,11/15/2008,7:00 PM
TOR,BOS,11/17/2008,7:30 PM
BOS,BUF,11/19/2008,7:00 PM
BOS,FLA,11/21/2008,7:00 PM
MON,BOS,11/22/2008,7:30 PM
BUF,BOS,11/26/2008,7:00 PM
BOS,NYI,11/28/2008,0:00 PM
BOS,DET,11/29/2008,7:00 PM
TBL,BOS,12/4/2008,7:30 PM
FLA,BOS,12/6/2008,7:00 PM
BOS,TBL,12/8/2008,7:00 PM
WSH,BOS,12/10/2008,7:00 PM
ATL,BOS,12/12/2008,7:30 PM
BOS,ATL,12/13/2008,7:00 PM
BOS,TOR,12/18/2008,7:00 PM
BOS,CAR,12/20/2008,1:00 PM
STL,BOS,12/21/2008,6:00 PM
NJD,BOS,12/23/2008,7:00 PM
CAR,BOS,12/27/2008,7:00 PM
ATL,BOS,12/28/2008,5:00 PM
PIT,BOS,12/30/2008,7:30 PM
BOS,PIT,1/1/2009,7:00 PM
BOS,BUF,1/3/2009,1:00 PM
BOS,MIN,1/6/2009,7:00 PM
BOS,OTT,1/8/2009,7:00 PM
BOS,CAR,1/10/2009,1:00 PM
BOS,MON,1/13/2009,7:00 PM
NYI,BOS,1/15/2009,7:00 PM
WSH,BOS,1/17/2009,7:00 PM
BOS,STL,1/19/2009,1:00 PM
TOR,BOS,1/21/2009,7:30 PM
BOS,WSH,1/27/2009,7:00 PM
BOS,NJD,1/29/2009,7:00 PM
BOS,NYR,1/31/2009,1:00 PM
MON,BOS,2/1/2009,2:00 PM
PHI,BOS,2/4/2009,7:00 PM
OTT,BOS,2/5/2009,7:00 PM
BOS,PHI,2/7/2009,1:00 PM
BOS,SJS,2/10/2009,7:00 PM
NJD,BOS,2/13/2009,7:00 PM
NSH,BOS,2/14/2009,8:00 PM
CAR,BOS,2/17/2009,7:00 PM
FLA,BOS,2/21/2009,7:00 PM
TBL,BOS,2/22/2009,5:00 PM
BOS,FLA,2/24/2009,7:00 PM
BOS,ANH,2/26/2009,7:00 PM
BOS,WSH,2/28/2009,1:00 PM
BOS,PHI,3/3/2009,7:00 PM
BOS,ARI,3/5/2009,7:00 PM
BOS,CHI,3/7/2009,1:00 PM
NYR,BOS,3/8/2009,0:30 PM
CBJ,BOS,3/10/2009,7:00 PM
BOS,OTT,3/12/2009,7:00 PM
BOS,NYI,3/14/2009,1:00 PM
PIT,BOS,3/15/2009,3:00 PM
BOS,LAK,3/19/2009,7:00 PM
BOS,NJD,3/22/2009,3:00 PM
TOR,BOS,3/28/2009,7:00 PM
PHI,BOS,3/29/2009,7:00 PM
BOS,TBL,3/31/2009,7:00 PM
BOS,OTT,4/2/2009,7:00 PM
BOS,NYR,4/4/2009,1:00 PM
OTT,BOS,4/7/2009,7:30 PM
BOS,MON,4/9/2009,7:00 PM
BUF,BOS,4/11/2009,4:00 PM
NYI,BOS,4/12/2009,5:00 PM
