,ANH,ARI,BOS,BUF,CGY,CAR,CHI,COL,CBJ,DAL,DET,EDM,FLA,LAK,MIN,MON,NSH,NJD,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH,ATL
ANH,0,329,2587,2188,1204,2220,1731,828,1966,1222,1970,1379,2317,32,1523,2461,1764,2430,2442,2440,2357,2382,2125,325,1573,2131,2166,1099,2287,1917
ARI,329,0,2305,1910,1213,1908,1454,591,1672,987,1691,1385,1988,360,1286,2197,1451,2139,2151,2150,2093,2088,1833,602,1274,1802,1893,1223,1987,1596
BOS,2587,2305,0,401,2099,607,856,1766,644,1551,618,2083,1255,2608,1118,254,944,198,190,187,317,268,483,2685,1042,1181,433,2511,394,938
BUF,2188,1910,401,0,1738,487,457,1365,294,1198,219,1740,1182,2208,724,319,627,285,297,292,234,278,179,2284,335,1049,59,2141,292,698
CGY,1204,1213,2099,1738,0,2040,1401,897,1674,1535,1573,176,2493,1196,1054,1881,1694,2022,2034,2030,1791,2009,1783,1023,1440,2288,1689,421,1973,1907
CAR,2220,1908,607,487,2040,0,639,1456,372,1056,512,2077,699,2246,986,719,457,416,420,425,679,346,326,2383,668,587,541,2411,230,1559
CHI,1731,1454,856,457,1401,639,0,912,277,799,238,1440,1186,1752,347,750,394,707,719,717,649,668,413,1837,259,1000,440,1776,598,585
COL,828,591,1766,1365,897,1456,912,0,1161,660,1148,1037,1720,946,700,1633,1017,1617,1629,1627,1529,1574,1316,932,789,1516,1340,1111,1488,1205
CBJ,1966,1672,644,294,1674,372,277,1161,0,913,166,1707,992,1988,620,612,335,468,480,479,527,417,162,2092,400,829,314,2053,328,436
DAL,1222,987,1551,1198,1535,1056,799,660,913,0,998,1656,1109,1252,861,1515,615,1362,1373,1373,1421,1300,1069,1449,544,915,1202,1770,1183,717
DET,1970,1691,618,219,1573,512,238,1148,166,998,0,1592,1156,1990,617,522,472,477,489,486,424,446,211,2071,456,994,208,1966,400,599
EDM,1379,1385,2083,1740,176,2077,1440,1037,1707,1656,1592,0,2570,1371,1094,1854,1761,2023,2034,2029,1769,2016,1803,1192,1509,2367,1688,509,1991,1974
FLA,2317,1988,1255,1182,2493,699,1186,1720,992,1109,1156,2570,0,2348,1505,1410,815,1087,1088,1094,1377,1024,1011,2557,1062,206,1233,2805,924,369
LAK,32,360,2608,2208,1196,2246,1752,946,1988,1252,1990,1371,2348,0,1539,2479,1790,2452,2464,2462,2375,2405,2147,296,1597,2161,2185,1081,2310,1945
MIN,1523,1286,1118,724,1054,986,347,700,620,861,617,1094,1505,1539,0,952,691,1002,1015,1011,848,977,736,1579,460,1309,686,1437,926,900
MON,2461,2197,254,319,1881,719,750,1633,612,1515,522,1854,1410,2479,952,0,944,333,335,329,104,389,478,2530,978,1305,314,2297,490,995
NSH,1764,1451,944,627,1694,457,394,1017,335,615,472,1761,815,1790,691,944,0,752,762,763,861,687,473,1935,255,619,648,2033,568,213
NJD,2430,2139,198,285,2022,416,707,1617,468,1362,477,2023,1087,2452,1002,333,752,0,13,11,333,71,306,2544,868,998,335,2425,197,740
NYI,2442,2151,190,297,2034,420,719,1629,480,1373,489,2034,1088,2464,1015,335,762,13,0,7,340,78,318,2556,879,1001,347,2437,204,764
NYR,2440,2150,187,292,2030,425,717,1627,479,1373,486,2029,1094,2462,1011,329,763,11,7,0,333,81,317,2554,878,1006,342,2433,207,751
OTT,2357,2093,317,234,1791,679,649,1529,527,1421,424,1769,1377,2375,848,104,861,333,340,333,0,375,406,2427,880,1259,219,2205,455,928
PHI,2382,2088,268,278,2009,346,668,1574,417,1300,446,2016,1024,2405,977,389,687,71,78,81,375,0,258,2503,814,930,333,2407,126,670
PIT,2125,1833,483,179,1783,326,413,1316,162,1069,211,1803,1011,2147,736,478,473,306,318,317,406,258,0,2246,562,871,224,2173,190,522
SJS,325,602,2685,2284,1023,2383,1837,932,2092,1449,2071,1192,2557,296,1597,2530,1935,2544,2556,2554,2427,2503,2246,0,1718,2364,2253,830,2420,2108
STL,1573,1274,1042,335,1440,668,259,789,400,544,456,1509,1062,1597,460,978,255,868,879,878,880,814,562,1718,0,861,663,1779,714,468
TBL,2131,1802,1181,1049,2288,587,1000,1516,829,915,994,2367,206,2161,1309,1305,619,998,1001,1006,1259,930,871,2364,861,0,1095,2599,817,415
TOR,2166,1893,433,59,1689,541,440,1340,314,1202,208,1688,1233,2185,686,314,648,335,347,342,219,333,224,2253,663,1095,0,2094,350,734
VAN,1099,1223,2511,2141,421,2411,1776,1111,2053,1770,1966,509,2805,1081,1437,2297,2033,2425,2437,2433,2205,2407,2173,830,1779,2599,2094,0,2363,2242
WSH,2287,1987,394,292,1973,230,598,1488,328,1183,400,1991,924,2310,926,490,568,197,204,207,455,126,190,2420,714,817,350,2363,0,544
ATL,1917,1596,938,698,1907,1559,585,1205,436,717,599,1974,369,1945,900,995,213,740,764,751,928,670,522,2108,468,415,734,2242,544,0
