HOME,AWAY,DATE,TIME (ET)
BUF,MON,10/10/2008,7:30 PM
TOR,MON,10/11/2008,7:00 PM
PHI,MON,10/13/2008,7:00 PM
MON,BOS,10/15/2008,7:30 PM
MON,ARI,10/18/2008,7:00 PM
MON,FLA,10/20/2008,7:30 PM
MON,ANH,10/25/2008,7:00 PM
MON,CAR,10/28/2008,7:30 PM
MIN,MON,10/30/2008,8:00 PM
NYI,MON,11/1/2008,7:00 PM
CBJ,MON,11/7/2008,7:00 PM
TOR,MON,11/8/2008,7:00 PM
MON,OTT,11/11/2008,7:00 PM
BOS,MON,11/13/2008,7:00 PM
MON,PHI,11/15/2008,7:00 PM
STL,MON,11/16/2008,6:00 PM
CAR,MON,11/18/2008,7:00 PM
OTT,MON,11/20/2008,7:30 PM
MON,BOS,11/22/2008,7:30 PM
MON,NYI,11/24/2008,7:30 PM
DET,MON,11/26/2008,7:30 PM
WSH,MON,11/28/2008,7:00 PM
MON,BUF,11/29/2008,7:00 PM
MON,ATL,12/2/2008,7:30 PM
MON,NYR,12/4/2008,7:00 PM
MON,NJD,12/6/2008,7:00 PM
MON,CGY,12/9/2008,7:30 PM
MON,TBL,12/11/2008,7:00 PM
MON,WSH,12/13/2008,7:00 PM
CAR,MON,12/16/2008,7:00 PM
MON,PHI,12/18/2008,7:00 PM
MON,BUF,12/20/2008,7:00 PM
MON,CAR,12/21/2008,7:00 PM
PIT,MON,12/27/2008,7:00 PM
FLA,MON,12/29/2008,7:30 PM
TBL,MON,12/30/2008,7:30 PM
NJD,MON,1/2/2009,7:00 PM
MON,FLA,1/4/2009,2:00 PM
NYR,MON,1/7/2009,7:30 PM
MON,TOR,1/8/2009,7:30 PM
MON,WSH,1/10/2009,7:00 PM
BOS,MON,1/13/2009,7:00 PM
MON,NSH,1/15/2009,7:30 PM
OTT,MON,1/17/2009,7:00 PM
ATL,MON,1/20/2009,7:00 PM
NJD,MON,1/21/2009,7:00 PM
TBL,MON,1/27/2009,7:30 PM
FLA,MON,1/29/2009,7:00 PM
MON,LAK,1/31/2009,2:00 PM
MON,BOS,2/1/2009,2:00 PM
MON,PIT,2/3/2009,7:30 PM
BUF,MON,2/6/2009,7:30 PM
MON,TOR,2/7/2009,7:00 PM
CGY,MON,2/9/2009,9:00 PM
EDM,MON,2/11/2009,10:00 PM
COL,MON,2/13/2009,9:00 PM
VAN,MON,2/15/2009,10:00 PM
WSH,MON,2/18/2009,7:30 PM
PIT,MON,2/19/2009,7:00 PM
MON,OTT,2/21/2009,3:00 PM
MON,VAN,2/24/2009,7:30 PM
PHI,MON,2/27/2009,7:00 PM
MON,SJS,2/28/2009,7:00 PM
BUF,MON,3/4/2009,7:30 PM
ATL,MON,3/6/2009,7:30 PM
DAL,MON,3/8/2009,6:00 PM
MON,EDM,3/10/2009,7:30 PM
MON,NYI,3/12/2009,7:30 PM
MON,NJD,3/14/2009,7:00 PM
MON,NYR,3/17/2009,7:30 PM
OTT,MON,3/19/2009,7:30 PM
MON,TOR,3/21/2009,7:00 PM
MON,ATL,3/24/2009,7:30 PM
MON,TBL,3/26/2009,7:30 PM
MON,BUF,3/28/2009,7:00 PM
MON,CHI,3/31/2009,7:30 PM
NYI,MON,4/2/2009,7:00 PM
TOR,MON,4/4/2009,7:00 PM
MON,OTT,4/6/2009,7:30 PM
NYR,MON,4/7/2009,7:00 PM
BOS,MON,4/9/2009,7:00 PM
MON,PIT,4/11/2009,7:00 PM
