HOME,AWAY,DATE,TIME (ET)
TBL,NYR,10/4/2008,0:00 PM
NYR,TBL,10/5/2008,0:00 PM
NYR,CHI,10/10/2008,7:00 PM
PHI,NYR,10/11/2008,7:00 PM
NYR,NJD,10/13/2008,7:00 PM
NYR,BUF,10/15/2008,7:00 PM
NYR,TOR,10/17/2008,7:00 PM
DET,NYR,10/18/2008,7:00 PM
NYR,DAL,10/20/2008,7:00 PM
CBJ,NYR,10/24/2008,7:00 PM
NYR,PIT,10/25/2008,7:00 PM
NYI,NYR,10/27/2008,7:00 PM
NYR,ATL,10/30/2008,7:00 PM
TOR,NYR,11/1/2008,7:00 PM
NYR,NYI,11/4/2008,7:00 PM
NYR,TBL,11/6/2008,7:00 PM
WSH,NYR,11/8/2008,7:00 PM
NYR,EDM,11/10/2008,7:00 PM
NJD,NYR,11/12/2008,7:00 PM
NYR,BOS,11/15/2008,7:00 PM
NYR,OTT,11/17/2008,7:00 PM
NYR,VAN,11/19/2008,7:30 PM
OTT,NYR,11/22/2008,3:00 PM
NYR,ARI,11/24/2008,7:00 PM
TBL,NYR,11/26/2008,7:30 PM
FLA,NYR,11/28/2008,7:30 PM
NYR,FLA,11/30/2008,1:00 PM
NYR,PIT,12/3/2008,7:00 PM
MON,NYR,12/4/2008,7:00 PM
NYR,CGY,12/7/2008,7:30 PM
ATL,NYR,12/10/2008,7:00 PM
NJD,NYR,12/12/2008,7:00 PM
NYR,CAR,12/13/2008,7:00 PM
ANH,NYR,12/16/2008,10:00 PM
LAK,NYR,12/17/2008,10:30 PM
SJS,NYR,12/20/2008,10:30 PM
NYR,WSH,12/23/2008,7:00 PM
NYR,NJD,12/27/2008,7:30 PM
NYR,NYI,12/29/2008,7:00 PM
WSH,NYR,1/3/2009,7:00 PM
NYR,PIT,1/5/2009,7:00 PM
NYR,MON,1/7/2009,7:30 PM
BUF,NYR,1/9/2009,7:30 PM
OTT,NYR,1/10/2009,7:00 PM
NYI,NYR,1/13/2009,7:00 PM
CHI,NYR,1/16/2009,8:30 PM
PIT,NYR,1/18/2009,0:30 PM
NYR,ANH,1/20/2009,7:00 PM
NYR,CAR,1/27/2009,7:00 PM
PIT,NYR,1/28/2009,7:30 PM
BOS,NYR,1/31/2009,1:00 PM
NYR,ATL,2/3/2009,8:00 PM
DAL,NYR,2/6/2009,8:30 PM
NJD,NYR,2/9/2009,7:00 PM
NYR,WSH,2/11/2009,7:00 PM
FLA,NYR,2/13/2009,7:30 PM
NYR,PHI,2/15/2009,0:30 PM
STL,NYR,2/16/2009,7:00 PM
NYR,NYI,2/18/2009,7:00 PM
BUF,NYR,2/21/2009,7:00 PM
NYR,TOR,2/22/2009,8:00 PM
TOR,NYR,2/25/2009,7:30 PM
NYR,FLA,2/26/2009,7:00 PM
NYR,COL,2/28/2009,7:00 PM
NYI,NYR,3/5/2009,7:00 PM
NYR,BOS,3/8/2009,0:30 PM
CAR,NYR,3/9/2009,7:00 PM
NSH,NYR,3/12/2009,8:00 PM
PHI,NYR,3/14/2009,1:00 PM
NYR,PHI,3/15/2009,0:30 PM
MON,NYR,3/17/2009,7:30 PM
NYR,BUF,3/21/2009,7:00 PM
NYR,OTT,3/22/2009,7:00 PM
NYR,MIN,3/24/2009,7:00 PM
ATL,NYR,3/26/2009,7:00 PM
PIT,NYR,3/28/2009,1:00 PM
NYR,NJD,3/30/2009,7:00 PM
CAR,NYR,4/2/2009,7:00 PM
BOS,NYR,4/4/2009,1:00 PM
NYR,MON,4/7/2009,7:00 PM
NYR,PHI,4/9/2009,7:00 PM
PHI,NYR,4/12/2009,5:00 PM
