HOME,AWAY,DATE,TIME (ET)
TBL,NYR,10/4/2008,0:00 PM
NYR,TBL,10/5/2008,0:00 PM
TBL,CAR,10/11/2008,7:30 PM
TBL,NYI,10/16/2008,7:30 PM
TBL,MIN,10/18/2008,7:30 PM
TBL,ATL,10/21/2008,7:30 PM
TBL,SJS,10/25/2008,7:30 PM
TOR,TBL,10/28/2008,7:30 PM
BUF,TBL,10/30/2008,7:00 PM
TBL,OTT,11/1/2008,7:30 PM
NJD,TBL,11/5/2008,7:00 PM
NYR,TBL,11/6/2008,7:00 PM
PHI,TBL,11/8/2008,7:00 PM
WSH,TBL,11/10/2008,7:00 PM
FLA,TBL,11/12/2008,7:30 PM
TBL,DET,11/13/2008,7:30 PM
CAR,TBL,11/16/2008,3:00 PM
TBL,FLA,11/18/2008,7:30 PM
TBL,NSH,11/21/2008,7:30 PM
TBL,NJD,11/23/2008,5:00 PM
TBL,NYR,11/26/2008,7:30 PM
MIN,TBL,11/28/2008,2:00 PM
COL,TBL,11/29/2008,9:00 PM
PHI,TBL,12/2/2008,7:00 PM
TBL,BOS,12/4/2008,7:30 PM
TBL,BUF,12/6/2008,7:30 PM
BOS,TBL,12/8/2008,7:00 PM
BUF,TBL,12/10/2008,7:00 PM
MON,TBL,12/11/2008,7:00 PM
OTT,TBL,12/13/2008,7:00 PM
TBL,COL,12/18/2008,7:30 PM
ATL,TBL,12/20/2008,7:00 PM
PIT,TBL,12/23/2008,7:30 PM
FLA,TBL,12/26/2008,7:30 PM
TBL,FLA,12/27/2008,7:30 PM
TBL,MON,12/30/2008,7:30 PM
WSH,TBL,1/1/2009,7:00 PM
TBL,CAR,1/3/2009,7:30 PM
ATL,TBL,1/4/2009,5:00 PM
ARI,TBL,1/8/2009,9:00 PM
ANH,TBL,1/9/2009,10:00 PM
LAK,TBL,1/12/2009,10:30 PM
SJS,TBL,1/13/2009,10:30 PM
TBL,PHI,1/15/2009,7:30 PM
TBL,FLA,1/17/2009,7:30 PM
TBL,DAL,1/19/2009,7:30 PM
TBL,BUF,1/21/2009,7:30 PM
TBL,MON,1/27/2009,7:30 PM
CAR,TBL,1/29/2009,7:00 PM
TBL,PHI,1/30/2009,7:30 PM
NYI,TBL,2/3/2009,7:00 PM
PIT,TBL,2/4/2009,7:30 PM
TBL,NYI,2/7/2009,7:30 PM
TBL,ATL,2/10/2009,7:30 PM
TBL,TOR,2/12/2009,7:30 PM
TBL,WSH,2/14/2009,7:30 PM
TBL,CHI,2/17/2009,7:30 PM
TBL,NJD,2/19/2009,7:30 PM
CAR,TBL,2/20/2009,7:00 PM
TBL,BOS,2/22/2009,5:00 PM
EDM,TBL,2/24/2009,9:00 PM
VAN,TBL,2/27/2009,10:00 PM
CGY,TBL,3/1/2009,8:00 PM
TBL,PIT,3/3/2009,7:30 PM
TBL,STL,3/6/2009,7:30 PM
TBL,CAR,3/7/2009,7:30 PM
OTT,TBL,3/11/2009,7:00 PM
TOR,TBL,3/12/2009,7:30 PM
FLA,TBL,3/14/2009,7:00 PM
TBL,TOR,3/17/2009,7:30 PM
TBL,WSH,3/19/2009,7:30 PM
TBL,ATL,3/21/2009,7:30 PM
TBL,CBJ,3/24/2009,7:30 PM
MON,TBL,3/26/2009,7:30 PM
WSH,TBL,3/27/2009,7:00 PM
TBL,OTT,3/29/2009,6:00 PM
BOS,TBL,3/31/2009,7:00 PM
NJD,TBL,4/3/2009,7:00 PM
NYI,TBL,4/4/2009,7:00 PM
TBL,PIT,4/7/2009,7:30 PM
TBL,WSH,4/9/2009,7:30 PM
ATL,TBL,4/11/2009,7:00 PM
