HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DET,STL,10/2/2009,2:00 PM,0,0.0
STL,DET,10/3/2009,2:00 PM,456,24.0
DET,CHI,10/8/2009,6:30 PM,456,124.5
DET,WSH,10/10/2009,6:00 PM,0,47.5
BUF,DET,10/13/2009,6:00 PM,219,72.0
DET,LAK,10/15/2009,6:30 PM,219,48.5
DET,COL,10/17/2009,6:00 PM,0,47.5
ARI,DET,10/22/2009,9:00 PM,1691,123.0
COL,DET,10/24/2009,8:00 PM,591,47.0
VAN,DET,10/27/2009,9:00 PM,1111,73.0
EDM,DET,10/29/2009,8:30 PM,509,47.5
CGY,DET,10/31/2009,9:00 PM,176,48.5
DET,BOS,11/3/2009,6:00 PM,1573,69.0
DET,SJS,11/5/2009,6:30 PM,0,48.5
TOR,DET,11/7/2009,6:00 PM,208,47.5
CBJ,DET,11/11/2009,6:00 PM,314,96.0
DET,VAN,11/12/2009,6:30 PM,166,24.5
DET,ANH,11/14/2009,6:00 PM,0,47.5
DET,DAL,11/18/2009,6:30 PM,0,96.5
DET,FLA,11/20/2009,6:30 PM,0,48.0
MON,DET,11/21/2009,6:00 PM,522,23.5
NSH,DET,11/23/2009,6:00 PM,944,48.0
DET,ATL,11/25/2009,6:30 PM,472,48.5
DET,CGY,11/27/2009,6:00 PM,0,47.5
STL,DET,11/28/2009,7:00 PM,456,25.0
DET,DAL,11/30/2009,6:30 PM,456,47.5
DET,EDM,12/3/2009,6:00 PM,0,71.5
NJD,DET,12/5/2009,6:00 PM,477,48.0
NYR,DET,12/6/2009,6:00 PM,11,24.0
DET,STL,12/9/2009,6:30 PM,486,72.5
DET,ANH,12/11/2009,6:30 PM,0,48.0
NSH,DET,12/12/2009,7:00 PM,472,24.5
DET,ARI,12/14/2009,6:30 PM,472,47.5
DET,TBL,12/17/2009,6:30 PM,0,72.0
DAL,DET,12/19/2009,2:00 PM,998,43.5
CHI,DET,12/20/2009,6:00 PM,799,28.0
DET,CHI,12/23/2009,6:30 PM,238,72.5
DET,CBJ,12/26/2009,6:00 PM,0,71.5
CBJ,DET,12/28/2009,6:00 PM,166,48.0
DET,COL,12/31/2009,6:00 PM,166,72.0
ARI,DET,1/2/2010,7:00 PM,1691,49.0
ANH,DET,1/5/2010,9:00 PM,329,74.0
LAK,DET,1/7/2010,9:30 PM,32,48.5
SJS,DET,1/9/2010,9:30 PM,296,48.0
NYI,DET,1/12/2010,6:00 PM,2556,68.5
DET,CAR,1/14/2010,6:30 PM,489,48.5
DAL,DET,1/16/2010,1:00 PM,998,42.5
DET,CHI,1/17/2010,11:30 PM,998,34.5
WSH,DET,1/19/2010,6:00 PM,400,42.5
MIN,DET,1/21/2010,7:00 PM,926,49.0
DET,LAK,1/23/2010,6:00 PM,617,47.0
DET,ARI,1/26/2010,6:00 PM,0,72.0
MIN,DET,1/27/2010,7:00 PM,617,25.0
DET,NSH,1/29/2010,6:30 PM,617,47.5
PIT,DET,1/31/2010,11:30 PM,211,53.0
SJS,DET,2/2/2010,9:30 PM,2246,46.0
ANH,DET,2/3/2010,9:00 PM,325,23.5
LAK,DET,2/6/2010,3:00 PM,32,66.0
STL,DET,2/9/2010,7:00 PM,1597,76.0
DET,SJS,2/11/2010,6:30 PM,456,47.5
DET,OTT,2/13/2010,6:00 PM,0,47.5
COL,DET,3/1/2010,8:00 PM,1148,386.0
DET,VAN,3/3/2010,6:30 PM,1148,46.5
DET,NSH,3/5/2010,6:30 PM,0,48.0
CHI,DET,3/7/2010,11:30 PM,238,53.0
DET,CGY,3/9/2010,6:00 PM,238,42.5
DET,MIN,3/11/2010,6:30 PM,0,48.5
DET,BUF,3/13/2010,6:00 PM,0,47.5
CGY,DET,3/15/2010,8:30 PM,1573,50.5
EDM,DET,3/19/2010,8:30 PM,176,96.0
VAN,DET,3/20/2010,9:00 PM,509,24.5
DET,PIT,3/22/2010,6:00 PM,1966,45.0
DET,STL,3/24/2010,6:30 PM,0,48.5
DET,MIN,3/26/2010,6:30 PM,0,48.0
NSH,DET,3/27/2010,7:00 PM,472,24.5
DET,EDM,3/30/2010,6:30 PM,472,71.5
DET,CBJ,4/1/2010,6:30 PM,0,48.0
DET,NSH,4/3/2010,1:00 PM,0,42.5
PHI,DET,4/4/2010,11:30 PM,446,34.5
DET,CBJ,4/7/2010,6:30 PM,446,67.0
CBJ,DET,4/9/2010,6:00 PM,166,47.5
CHI,DET,4/11/2010,2:00 PM,277,44.0
