HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
EDM,CGY,10/3/2009,8:00 PM,0,0.0
EDM,DAL,10/6/2009,7:30 PM,0,71.5
EDM,CGY,10/8/2009,7:30 PM,0,48.0
EDM,MON,10/10/2009,8:00 PM,0,48.5
NSH,EDM,10/12/2009,6:00 PM,1761,46.0
CHI,EDM,10/14/2009,6:30 PM,394,48.5
EDM,MIN,10/16/2009,7:00 PM,1440,48.5
EDM,VAN,10/19/2009,7:00 PM,0,72.0
EDM,CBJ,10/22/2009,7:30 PM,0,72.5
CGY,EDM,10/24/2009,8:00 PM,176,48.5
VAN,EDM,10/25/2009,8:00 PM,421,24.0
EDM,COL,10/27/2009,7:30 PM,509,47.5
EDM,DET,10/29/2009,7:30 PM,0,48.0
BOS,EDM,10/31/2009,11:00 PM,2083,51.5
NYI,EDM,11/2/2009,5:00 PM,190,42.0
EDM,NYR,11/5/2009,7:30 PM,2034,74.5
COL,EDM,11/8/2009,6:00 PM,1037,70.5
OTT,EDM,11/10/2009,5:30 PM,1529,47.5
BUF,EDM,11/11/2009,5:00 PM,234,23.5
ATL,EDM,11/15/2009,0:00 PM,698,91.0
CBJ,EDM,11/16/2009,5:00 PM,436,29.0
EDM,COL,11/18/2009,7:00 PM,1707,50.0
EDM,CHI,11/21/2009,8:00 PM,0,73.0
EDM,ARI,11/23/2009,7:00 PM,0,47.0
EDM,LAK,11/25/2009,7:30 PM,0,48.5
EDM,SJS,11/27/2009,7:30 PM,0,48.0
VAN,EDM,11/28/2009,8:00 PM,509,24.5
DET,EDM,12/3/2009,5:00 PM,1966,117.0
DAL,EDM,12/5/2009,0:00 PM,998,43.0
FLA,EDM,12/7/2009,5:30 PM,1109,53.5
TBL,EDM,12/9/2009,5:30 PM,206,48.0
STL,EDM,12/11/2009,6:00 PM,861,48.5
EDM,LAK,12/15/2009,7:30 PM,1509,97.5
EDM,NSH,12/17/2009,7:30 PM,0,48.0
EDM,WSH,12/19/2009,8:00 PM,0,48.5
EDM,STL,12/21/2009,7:00 PM,0,47.0
MIN,EDM,12/23/2009,5:00 PM,1094,46.0
VAN,EDM,12/26/2009,8:00 PM,1437,75.0
EDM,CGY,12/28/2009,7:00 PM,509,47.0
EDM,TOR,12/30/2009,7:30 PM,0,48.5
CGY,EDM,12/31/2009,7:00 PM,176,23.5
SJS,EDM,1/2/2010,8:00 PM,1023,49.0
EDM,ARI,1/5/2010,7:00 PM,1192,71.0
EDM,CBJ,1/7/2010,7:00 PM,0,48.0
EDM,NSH,1/12/2010,7:00 PM,0,120.0
EDM,PIT,1/14/2010,7:30 PM,0,48.5
SJS,EDM,1/16/2010,2:00 PM,1192,42.5
COL,EDM,1/18/2010,7:00 PM,932,53.0
EDM,VAN,1/20/2010,8:00 PM,1037,49.0
EDM,DAL,1/22/2010,7:00 PM,0,47.0
EDM,CHI,1/26/2010,7:30 PM,0,96.5
EDM,STL,1/28/2010,7:30 PM,0,48.0
CGY,EDM,1/30/2010,8:00 PM,176,48.5
EDM,CAR,2/1/2010,7:30 PM,176,47.5
EDM,PHI,2/3/2010,7:30 PM,0,48.0
MIN,EDM,2/4/2010,6:00 PM,1094,22.5
COL,EDM,2/6/2010,8:00 PM,700,50.0
ARI,EDM,2/8/2010,7:30 PM,591,47.5
ANH,EDM,2/10/2010,8:00 PM,329,48.5
LAK,EDM,2/11/2010,8:30 PM,32,24.5
EDM,ANH,2/14/2010,5:00 PM,1371,68.5
NSH,EDM,3/2/2010,6:00 PM,1761,385.0
CHI,EDM,3/3/2010,6:30 PM,394,24.5
EDM,MIN,3/5/2010,7:00 PM,1440,48.5
EDM,NJD,3/7/2010,6:00 PM,0,47.0
EDM,OTT,3/9/2010,7:30 PM,0,49.5
MON,EDM,3/11/2010,5:00 PM,1854,45.5
TOR,EDM,3/13/2010,5:00 PM,314,48.0
CBJ,EDM,3/15/2010,5:00 PM,314,48.0
MIN,EDM,3/16/2010,6:00 PM,620,25.0
EDM,DET,3/19/2010,7:30 PM,1094,73.5
EDM,SJS,3/21/2010,6:00 PM,0,46.5
EDM,VAN,3/23/2010,7:00 PM,0,49.0
EDM,ANH,3/26/2010,7:00 PM,0,72.0
STL,EDM,3/28/2010,4:00 PM,1509,45.0
DET,EDM,3/30/2010,5:30 PM,456,49.5
DAL,EDM,4/2/2010,6:30 PM,998,73.0
ARI,EDM,4/3/2010,8:00 PM,987,25.5
EDM,MIN,4/5/2010,7:30 PM,1385,47.5
EDM,COL,4/7/2010,7:30 PM,0,48.0
LAK,EDM,4/10/2010,2:00 PM,1371,66.5
ANH,EDM,4/11/2010,6:00 PM,32,28.0
