HOME,AWAY,DATE,TIME (MT)
CGY,VAN,10/1/2009,8:00 PM
EDM,CGY,10/3/2009,8:00 PM
CGY,MON,10/6/2009,7:00 PM
EDM,CGY,10/8/2009,7:30 PM
CGY,DAL,10/9/2009,7:00 PM
CHI,CGY,10/12/2009,6:00 PM
CBJ,CGY,10/13/2009,5:00 PM
CGY,VAN,10/16/2009,7:00 PM
CGY,CBJ,10/20/2009,7:30 PM
CGY,EDM,10/24/2009,8:00 PM
CGY,COL,10/28/2009,7:30 PM
CGY,DET,10/31/2009,8:00 PM
DAL,CGY,11/4/2009,6:30 PM
STL,CGY,11/5/2009,6:30 PM
CGY,NYR,11/7/2009,8:00 PM
MON,CGY,11/10/2009,5:30 PM
BUF,CGY,11/13/2009,5:30 PM
TOR,CGY,11/14/2009,5:00 PM
CGY,COL,11/17/2009,7:30 PM
CGY,CHI,11/19/2009,7:30 PM
LAK,CGY,11/21/2009,2:00 PM
ANH,CGY,11/23/2009,8:00 PM
CGY,ARI,11/25/2009,7:30 PM
DET,CGY,11/27/2009,5:00 PM
CBJ,CGY,11/28/2009,5:00 PM
NSH,CGY,11/30/2009,6:00 PM
ARI,CGY,12/3/2009,7:30 PM
SJS,CGY,12/5/2009,8:00 PM
LAK,CGY,12/7/2009,8:30 PM
CGY,ATL,12/9/2009,7:30 PM
CGY,MIN,12/11/2009,7:00 PM
COL,CGY,12/13/2009,6:00 PM
STL,CGY,12/15/2009,6:00 PM
CGY,LAK,12/17/2009,7:30 PM
CGY,NSH,12/19/2009,2:00 PM
CGY,STL,12/23/2009,7:30 PM
CGY,VAN,12/27/2009,6:00 PM
EDM,CGY,12/28/2009,7:00 PM
CGY,LAK,12/30/2009,7:30 PM
CGY,EDM,12/31/2009,7:00 PM
CGY,TOR,1/2/2010,5:00 PM
NSH,CGY,1/5/2010,6:00 PM
MIN,CGY,1/6/2010,6:00 PM
CGY,CBJ,1/8/2010,7:00 PM
VAN,CGY,1/9/2010,8:00 PM
CGY,COL,1/11/2010,8:00 PM
CGY,PIT,1/13/2010,7:30 PM
CGY,NSH,1/15/2010,7:00 PM
ANH,CGY,1/17/2010,6:00 PM
SJS,CGY,1/18/2010,8:00 PM
CGY,CHI,1/21/2010,7:30 PM
CGY,STL,1/25/2010,7:30 PM
DAL,CGY,1/27/2010,6:30 PM
ARI,CGY,1/28/2010,7:00 PM
CGY,EDM,1/30/2010,8:00 PM
CGY,PHI,2/1/2010,7:30 PM
CGY,CAR,2/3/2010,7:00 PM
FLA,CGY,2/5/2010,5:30 PM
TBL,CGY,2/6/2010,5:00 PM
OTT,CGY,2/9/2010,5:30 PM
CGY,DAL,2/11/2010,7:30 PM
CGY,ANH,2/13/2010,8:00 PM
CGY,MIN,3/3/2010,8:00 PM
CGY,NJD,3/5/2010,7:00 PM
MIN,CGY,3/7/2010,1:00 PM
DET,CGY,3/9/2010,5:00 PM
CGY,OTT,3/11/2010,7:30 PM
VAN,CGY,3/14/2010,8:00 PM
CGY,DET,3/15/2010,7:30 PM
COL,CGY,3/17/2010,7:00 PM
CGY,SJS,3/19/2010,7:00 PM
MIN,CGY,3/21/2010,1:00 PM
CGY,ANH,3/23/2010,7:00 PM
NYI,CGY,3/25/2010,5:00 PM
BOS,CGY,3/27/2010,11:00 PM
WSH,CGY,3/28/2010,1:00 PM
CGY,ARI,3/31/2010,7:30 PM
COL,CGY,4/2/2010,7:30 PM
CHI,CGY,4/4/2010,1:00 PM
CGY,SJS,4/6/2010,7:30 PM
CGY,MIN,4/8/2010,7:30 PM
VAN,CGY,4/10/2010,8:00 PM
