HOME,AWAY,DATE,TIME (CT)
DET,STL,10/2/2009,2:00 PM
STL,DET,10/3/2009,2:00 PM
STL,ATL,10/8/2009,7:00 PM
STL,LAK,10/10/2009,7:00 PM
ARI,STL,10/15/2009,9:00 PM
ANH,STL,10/17/2009,9:00 PM
PIT,STL,10/20/2009,6:00 PM
STL,MIN,10/23/2009,7:00 PM
STL,DAL,10/24/2009,7:00 PM
CAR,STL,10/28/2009,6:00 PM
STL,ARI,10/29/2009,7:00 PM
STL,FLA,10/31/2009,7:00 PM
STL,CGY,11/5/2009,7:30 PM
PHI,STL,11/7/2009,6:00 PM
ATL,STL,11/8/2009,4:00 PM
STL,VAN,11/10/2009,7:00 PM
STL,NSH,11/12/2009,7:00 PM
STL,SJS,11/14/2009,7:00 PM
STL,ARI,11/19/2009,7:00 PM
STL,NYI,11/21/2009,7:00 PM
STL,BOS,11/23/2009,7:00 PM
DAL,STL,11/25/2009,7:00 PM
NSH,STL,11/27/2009,7:00 PM
STL,DET,11/28/2009,7:00 PM
CBJ,STL,11/30/2009,6:00 PM
SJS,STL,12/3/2009,9:30 PM
LAK,STL,12/5/2009,3:00 PM
STL,COL,12/7/2009,7:00 PM
DET,STL,12/9/2009,6:30 PM
STL,EDM,12/11/2009,7:00 PM
STL,CGY,12/15/2009,7:00 PM
CHI,STL,12/16/2009,7:30 PM
STL,TBL,12/18/2009,7:00 PM
VAN,STL,12/20/2009,9:00 PM
EDM,STL,12/21/2009,8:00 PM
CGY,STL,12/23/2009,8:30 PM
MIN,STL,12/26/2009,7:00 PM
STL,BUF,12/27/2009,5:00 PM
STL,NSH,12/29/2009,7:00 PM
STL,VAN,12/31/2009,6:00 PM
STL,CHI,1/2/2010,7:00 PM
SJS,STL,1/6/2010,9:30 PM
ANH,STL,1/7/2010,9:00 PM
LAK,STL,1/9/2010,9:30 PM
STL,CBJ,1/12/2010,7:00 PM
STL,MIN,1/14/2010,7:00 PM
STL,NYR,1/16/2010,7:00 PM
CBJ,STL,1/18/2010,6:00 PM
MON,STL,1/20/2010,6:30 PM
OTT,STL,1/21/2010,6:00 PM
STL,ANH,1/23/2010,7:00 PM
CGY,STL,1/25/2010,8:30 PM
VAN,STL,1/27/2010,9:00 PM
EDM,STL,1/28/2010,8:30 PM
STL,CBJ,1/30/2010,7:00 PM
CHI,STL,2/3/2010,7:30 PM
STL,SJS,2/4/2010,7:00 PM
STL,CHI,2/6/2010,7:00 PM
COL,STL,2/8/2010,8:30 PM
STL,DET,2/9/2010,7:00 PM
STL,TOR,2/12/2010,7:00 PM
STL,WSH,2/13/2010,7:00 PM
ARI,STL,3/2/2010,8:00 PM
DAL,STL,3/4/2010,7:30 PM
COL,STL,3/6/2010,8:00 PM
NYI,STL,3/11/2010,6:00 PM
CBJ,STL,3/13/2010,6:00 PM
MIN,STL,3/14/2010,5:00 PM
STL,COL,3/16/2010,7:00 PM
NYR,STL,3/18/2010,6:00 PM
NJD,STL,3/20/2010,6:00 PM
STL,NSH,3/21/2010,5:00 PM
DET,STL,3/24/2010,6:30 PM
STL,LAK,3/25/2010,7:00 PM
STL,EDM,3/28/2010,5:00 PM
STL,CHI,3/30/2010,7:00 PM
NSH,STL,4/1/2010,7:00 PM
STL,DAL,4/3/2010,7:00 PM
STL,CBJ,4/5/2010,7:00 PM
CHI,STL,4/7/2010,7:30 PM
STL,ANH,4/9/2010,7:00 PM
NSH,STL,4/10/2010,7:00 PM
