DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
10/7/2010,,,,,,MIN-A,,EDM-A,COL-A,CHI-H,,,CGY-H,,,CAR-H,TOR-A,,,,,,PIT-A,PHI-H,,,,MON-H,,
10/8/2010,DET-A,,WSH-H,,OTT-A,MIN-H,SJS-H,,,,NJD-A,ANH-H,,,,CAR-A,,DAL-H,,,,BUF-H,,,CBJ-A,,,,,ATL-A
10/9/2010,NSH-A,BOS-A,TBL-A,ARI-H,NYR-H,,SJS-A,,DET-H,,NYI-A,CHI-A,,,VAN-A,,PIT-A,WSH-A,ANH-H,DAL-H,BUF-A,TOR-A,STL-A,MON-H,CBJ-H,PHI-H,ATL-H,OTT-H,LAK-H,NJD-H
10/10/2010,,BOS-H,,ARI-A,,,,LAK-H,,,,,FLA-H,EDM-A,CGY-A,,,,,,,,,,,,,,,
10/11/2010,STL-A,,,,CHI-H,,,,BUF-A,PHI-A,,,,VAN-A,,,,PIT-H,,NYR-H,NYI-A,WSH-A,COL-H,NJD-A,,ANH-H,,,FLA-H,OTT-H
10/12/2010,,,LAK-A,,,,,,,DET-A,,COL-H,,,ATL-H,,,,,,,,,,,,,,,
10/13/2010,VAN-H,,,,NJD-H,,,,NSH-H,,,,,,,,TBL-H,BUF-A,CHI-A,WSH-A,,,,TOR-H,,,MON-A,PIT-A,ANH-A,NYI-H
10/14/2010,,,,,,OTT-A,,FLA-H,,,DET-H,DAL-A,MIN-A,CGY-A,,EDM-H,,,STL-H,,,CAR-H,TBL-H,,,NSH-A,PHI-A,,,
10/15/2010,ATL-H,,ANH-A,,MON-H,,CHI-H,,CBJ-A,NJD-A,,,,,VAN-H,,BUF-A,COL-H,,PIT-A,TOR-H,,,NYI-H,,,,NYR-A,LAK-A,
10/16/2010,,DET-H,SJS-A,NJD-A,CHI-A,,MIN-A,EDM-H,BUF-H,NYI-A,STL-H,ARI-A,CGY-A,TBL-H,,CBJ-H,OTT-H,BOS-H,WSH-H,COL-H,,MON-A,PIT-H,PHI-A,ATL-H,DAL-A,FLA-A,,,NSH-A
10/17/2010,ARI-H,ANH-A,,,,VAN-A,,,,,,,,,,,,,,,,,,,,,,,CAR-H,
10/18/2010,,,,,,,,,STL-H,NYR-A,TBL-A,,,,,,,,,TOR-A,COL-H,PIT-A,,OTT-H,,CHI-A,DAL-H,NYI-H,,
10/19/2010,,,,WSH-A,,SJS-A,,NSH-A,,,,,,,,VAN-H,,,CGY-H,,,,,,CAR-H,,,,MIN-A,BOS-H
10/20/2010,CBJ-A,,BUF-H,,ATL-A,LAK-A,ANH-H,,VAN-H,,,,,,CAR-H,,,,,,,,,,,,,,CHI-A,
10/21/2010,PHI-A,LAK-H,,WSH-H,,,,DET-A,,SJS-H,FLA-A,CGY-H,MIN-H,DAL-H,ARI-A,EDM-A,NJD-H,MON-A,PIT-H,TBL-A,TOR-A,,ANH-H,NSH-A,COL-A,,NYI-H,NYR-H,,BOS-A
10/22/2010,,,TBL-H,,OTT-H,,CGY-H,CBJ-A,STL-A,,,,,,,VAN-A,,,,,,BUF-A,,,,CHI-H,ATL-A,,MIN-H,
10/23/2010,DET-A,CAR-H,WSH-A,NYR-H,NJD-A,ARI-A,CHI-A,,CBJ-H,LAK-H,NSH-H,ANH-H,SJS-H,NYI-H,COL-A,,OTT-A,BUF-H,DAL-A,FLA-A,BOS-A,MON-H,TOR-H,STL-A,EDM-A,PIT-H,,PHI-A,,ATL-H
