HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
MIN,CAR,10/7/2010,0:00 PM,986,0.0
CAR,MIN,10/8/2010,0:00 PM,986,24.0
OTT,CAR,10/14/2010,7:00 PM,679,151.0
VAN,CAR,10/17/2010,9:00 PM,2205,74.0
SJS,CAR,10/19/2010,10:30 PM,830,49.5
LAK,CAR,10/20/2010,10:30 PM,296,24.0
ARI,CAR,10/23/2010,9:00 PM,360,70.5
CAR,WSH,10/27/2010,7:00 PM,1908,94.0
NYR,CAR,10/29/2010,7:00 PM,425,48.0
CAR,PIT,10/30/2010,7:00 PM,425,24.0
PHI,CAR,11/1/2010,7:00 PM,346,48.0
CAR,NYI,11/3/2010,7:00 PM,346,48.0
FLA,CAR,11/5/2010,7:30 PM,699,48.5
CAR,FLA,11/6/2010,7:00 PM,699,23.5
CAR,EDM,11/9/2010,7:00 PM,0,72.0
CAR,PHI,11/11/2010,7:00 PM,0,48.0
MON,CAR,11/13/2010,7:00 PM,719,48.0
CAR,OTT,11/17/2010,7:00 PM,719,96.0
PIT,CAR,11/19/2010,7:00 PM,326,48.0
CAR,NSH,11/20/2010,7:00 PM,326,24.0
CAR,WSH,11/24/2010,7:00 PM,0,96.0
BOS,CAR,11/26/2010,0:00 PM,607,41.0
WSH,CAR,11/28/2010,5:00 PM,394,53.0
CAR,DAL,11/29/2010,7:30 PM,230,26.5
CAR,COL,12/3/2010,7:00 PM,0,95.5
NSH,CAR,12/4/2010,8:00 PM,457,25.0
DAL,CAR,12/10/2010,8:30 PM,615,144.5
STL,CAR,12/11/2010,8:00 PM,544,23.5
FLA,CAR,12/15/2010,7:30 PM,1062,95.5
ATL,CAR,12/16/2010,7:00 PM,369,23.5
CAR,ANH,12/18/2010,7:00 PM,1559,48.0
TBL,CAR,12/20/2010,7:30 PM,587,48.5
CAR,MON,12/23/2010,7:00 PM,587,71.5
CAR,WSH,12/26/2010,7:00 PM,0,72.0
TOR,CAR,12/28/2010,7:00 PM,541,48.0
OTT,CAR,12/29/2010,7:30 PM,219,24.5
CAR,NJD,1/1/2011,7:00 PM,679,71.5
CAR,FLA,1/3/2011,7:00 PM,0,48.0
NYR,CAR,1/5/2011,7:00 PM,425,48.0
FLA,CAR,1/7/2011,7:30 PM,1094,48.5
CAR,ATL,1/9/2011,1:30 PM,699,42.0
CAR,CGY,1/11/2011,7:00 PM,0,53.5
BUF,CAR,1/13/2011,7:00 PM,487,48.0
CAR,TBL,1/15/2011,7:00 PM,487,48.0
BOS,CAR,1/17/2011,1:00 PM,607,42.0
CAR,BOS,1/18/2011,7:00 PM,607,30.0
CAR,NYR,1/20/2011,7:00 PM,0,48.0
PIT,CAR,1/22/2011,7:00 PM,326,48.0
CAR,TOR,1/24/2011,7:00 PM,326,48.0
NYI,CAR,1/26/2011,7:00 PM,420,48.0
CAR,BOS,2/1/2011,7:00 PM,420,144.0
TOR,CAR,2/3/2011,7:00 PM,541,48.0
CAR,ATL,2/5/2011,7:00 PM,541,48.0
NJD,CAR,2/8/2011,7:00 PM,416,72.0
PHI,CAR,2/10/2011,7:00 PM,71,48.0
TBL,CAR,2/12/2011,7:30 PM,930,48.5
ATL,CAR,2/13/2011,5:00 PM,415,21.5
NJD,CAR,2/16/2011,7:00 PM,740,74.0
CAR,PHI,2/18/2011,8:00 PM,416,49.0
CAR,NJD,2/19/2011,7:00 PM,0,23.0
CAR,NYR,2/22/2011,7:00 PM,0,72.0
CAR,PIT,2/25/2011,7:00 PM,0,72.0
MON,CAR,2/26/2011,7:00 PM,719,24.0
CAR,FLA,3/1/2011,7:00 PM,719,72.0
CAR,BUF,3/3/2011,7:00 PM,0,48.0
CHI,CAR,3/4/2011,8:30 PM,639,25.5
CAR,ATL,3/9/2011,7:00 PM,639,118.5
WSH,CAR,3/11/2011,7:00 PM,230,48.0
CAR,CBJ,3/12/2011,7:00 PM,230,24.0
BUF,CAR,3/15/2011,7:30 PM,487,72.5
CAR,TOR,3/16/2011,7:00 PM,487,23.5
CAR,NYI,3/18/2011,7:00 PM,0,48.0
CAR,OTT,3/22/2011,7:00 PM,0,96.0
TBL,CAR,3/25/2011,7:30 PM,587,72.5
CAR,TBL,3/26/2011,7:00 PM,587,23.5
WSH,CAR,3/29/2011,7:00 PM,230,72.0
CAR,MON,3/30/2011,7:00 PM,230,24.0
NYI,CAR,4/2/2011,7:00 PM,420,72.0
CAR,BUF,4/3/2011,5:00 PM,420,22.0
CAR,DET,4/6/2011,7:00 PM,0,74.0
ATL,CAR,4/8/2011,7:30 PM,1559,48.5
CAR,TBL,4/9/2011,7:00 PM,1559,23.5
