HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
VAN,LAK,10/9/2010,7:00 PM,1081,0.0
CGY,LAK,10/10/2010,5:00 PM,421,22.0
LAK,ATL,10/12/2010,7:30 PM,1196,50.5
LAK,VAN,10/15/2010,7:30 PM,0,72.0
LAK,CAR,10/20/2010,7:30 PM,0,120.0
ARI,LAK,10/21/2010,7:00 PM,360,23.5
COL,LAK,10/23/2010,6:00 PM,591,47.0
MIN,LAK,10/25/2010,5:00 PM,700,47.0
CHI,LAK,10/27/2010,5:30 PM,347,48.5
DAL,LAK,10/28/2010,5:30 PM,799,24.0
LAK,NJD,10/30/2010,7:30 PM,1252,50.0
LAK,TBL,11/4/2010,7:30 PM,0,120.0
LAK,NSH,11/6/2010,7:00 PM,0,47.5
LAK,DAL,11/11/2010,7:30 PM,0,120.5
LAK,NYI,11/13/2010,7:30 PM,0,48.0
SJS,LAK,11/15/2010,7:30 PM,296,48.0
LAK,CBJ,11/17/2010,7:30 PM,296,48.0
BUF,LAK,11/19/2010,4:30 PM,2208,45.0
BOS,LAK,11/20/2010,4:00 PM,401,23.5
OTT,LAK,11/22/2010,4:30 PM,317,48.5
MON,LAK,11/24/2010,4:30 PM,104,48.0
LAK,CHI,11/27/2010,7:30 PM,2479,75.0
ANH,LAK,11/29/2010,7:00 PM,32,47.5
LAK,FLA,12/2/2010,7:30 PM,32,72.5
LAK,DET,12/4/2010,7:30 PM,0,48.0
LAK,CGY,12/9/2010,7:30 PM,0,120.0
LAK,MIN,12/11/2010,7:30 PM,0,48.0
DET,LAK,12/13/2010,4:30 PM,1990,45.0
STL,LAK,12/16/2010,5:00 PM,456,72.5
NSH,LAK,12/18/2010,5:00 PM,255,48.0
CHI,LAK,12/19/2010,4:00 PM,394,23.0
COL,LAK,12/21/2010,6:30 PM,912,50.5
LAK,EDM,12/23/2010,7:30 PM,946,49.0
LAK,ANH,12/26/2010,6:00 PM,0,70.5
SJS,LAK,12/27/2010,7:30 PM,296,25.5
ARI,LAK,12/29/2010,6:00 PM,602,46.5
LAK,PHI,12/30/2010,7:30 PM,360,25.5
LAK,SJS,1/1/2011,6:00 PM,0,46.5
LAK,CHI,1/3/2011,6:00 PM,0,48.0
LAK,NSH,1/6/2011,7:30 PM,0,73.5
LAK,CBJ,1/8/2011,7:30 PM,0,48.0
LAK,TOR,1/10/2011,7:30 PM,0,48.0
LAK,STL,1/13/2011,7:30 PM,0,72.0
LAK,EDM,1/15/2011,7:00 PM,0,47.5
DAL,LAK,1/17/2011,5:30 PM,1252,46.5
STL,LAK,1/18/2011,5:00 PM,544,23.5
LAK,ARI,1/20/2011,7:30 PM,1597,50.5
ARI,LAK,1/22/2011,5:00 PM,360,45.5
LAK,BOS,1/24/2011,7:30 PM,360,50.5
LAK,SJS,1/26/2011,7:30 PM,0,48.0
MIN,LAK,2/1/2011,5:00 PM,1539,141.5
EDM,LAK,2/2/2011,6:30 PM,1094,25.5
CGY,LAK,2/5/2011,7:00 PM,176,72.5
PIT,LAK,2/10/2011,4:00 PM,1783,117.0
WSH,LAK,2/12/2011,9:30 PM,190,53.5
PHI,LAK,2/13/2011,0:00 PM,126,14.5
CBJ,LAK,2/16/2011,4:00 PM,417,76.0
NYR,LAK,2/17/2011,4:00 PM,479,24.0
NYI,LAK,2/19/2011,4:00 PM,7,48.0
ANH,LAK,2/23/2011,7:00 PM,2442,99.0
LAK,MIN,2/24/2011,7:30 PM,32,24.5
LAK,COL,2/26/2011,1:00 PM,0,41.5
LAK,DET,2/28/2011,7:30 PM,0,54.5
LAK,ARI,3/3/2011,7:30 PM,0,72.0
LAK,VAN,3/5/2011,1:00 PM,0,41.5
LAK,DAL,3/7/2011,7:30 PM,0,54.5
DET,LAK,3/9/2011,4:30 PM,1990,45.0
CBJ,LAK,3/11/2011,4:00 PM,166,47.5
DAL,LAK,3/13/2011,0:00 PM,913,44.0
NSH,LAK,3/15/2011,5:00 PM,615,53.0
LAK,STL,3/17/2011,7:30 PM,1790,50.5
LAK,ANH,3/19/2011,7:30 PM,0,48.0
LAK,CGY,3/21/2011,7:30 PM,0,48.0
LAK,SJS,3/24/2011,7:30 PM,0,72.0
LAK,COL,3/26/2011,1:00 PM,0,41.5
EDM,LAK,3/29/2011,6:30 PM,1371,77.5
VAN,LAK,3/31/2011,7:00 PM,509,48.5
LAK,DAL,4/2/2011,1:00 PM,1081,42.0
SJS,LAK,4/4/2011,7:00 PM,296,54.0
LAK,ARI,4/6/2011,7:30 PM,296,48.5
ANH,LAK,4/8/2011,7:00 PM,32,47.5
LAK,ANH,4/9/2011,7:30 PM,32,24.5
