HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
NSH,ANH,10/9/2010,7:00 PM,0,0.0
CHI,NSH,10/13/2010,7:30 PM,394,96.5
NSH,STL,10/14/2010,7:00 PM,394,23.5
NSH,WSH,10/16/2010,7:00 PM,0,48.0
NSH,CGY,10/19/2010,7:00 PM,0,72.0
NSH,PIT,10/21/2010,7:00 PM,0,48.0
DAL,NSH,10/23/2010,7:00 PM,615,48.0
TBL,NSH,10/24/2010,5:00 PM,915,22.0
NSH,STL,10/28/2010,7:00 PM,619,98.0
DET,NSH,10/30/2010,6:00 PM,472,47.0
ARI,NSH,11/3/2010,9:00 PM,1691,99.0
LAK,NSH,11/6/2010,9:00 PM,360,72.0
ANH,NSH,11/7/2010,7:00 PM,32,22.0
STL,NSH,11/11/2010,7:00 PM,1573,96.0
NSH,CHI,11/13/2010,7:00 PM,255,48.0
TOR,NSH,11/16/2010,6:00 PM,648,71.0
MON,NSH,11/18/2010,6:30 PM,314,48.5
CAR,NSH,11/20/2010,6:00 PM,719,47.5
CBJ,NSH,11/22/2010,6:00 PM,372,48.0
NSH,STL,11/24/2010,7:00 PM,335,49.0
MIN,NSH,11/26/2010,1:00 PM,691,42.0
NSH,NYR,11/27/2010,7:00 PM,691,30.0
NSH,ARI,11/30/2010,7:00 PM,0,72.0
CBJ,NSH,12/1/2010,6:00 PM,335,23.0
NSH,CAR,12/4/2010,7:00 PM,335,73.0
ATL,NSH,12/6/2010,6:00 PM,213,47.0
DET,NSH,12/8/2010,6:30 PM,599,48.5
NSH,FLA,12/11/2010,7:00 PM,472,72.5
NSH,NYI,12/13/2010,7:00 PM,0,48.0
NSH,SJS,12/15/2010,7:00 PM,0,48.0
NJD,NSH,12/17/2010,6:00 PM,752,47.0
NSH,LAK,12/18/2010,7:00 PM,752,25.0
CHI,NSH,12/22/2010,7:30 PM,394,96.5
NSH,OTT,12/23/2010,7:00 PM,394,23.5
STL,NSH,12/26/2010,6:00 PM,255,71.0
NSH,DAL,12/28/2010,7:00 PM,255,49.0
MIN,NSH,12/31/2010,5:00 PM,691,70.0
NSH,CBJ,1/2/2011,5:00 PM,691,48.0
ANH,NSH,1/5/2011,9:00 PM,1764,76.0
LAK,NSH,1/6/2011,9:30 PM,32,24.5
SJS,NSH,1/8/2011,7:00 PM,296,45.5
NSH,MIN,1/11/2011,7:00 PM,1935,72.0
FLA,NSH,1/13/2011,6:30 PM,815,47.5
NSH,CHI,1/15/2011,7:00 PM,815,48.5
CHI,NSH,1/16/2011,6:00 PM,394,23.0
ARI,NSH,1/18/2011,8:00 PM,1454,50.0
COL,NSH,1/20/2011,8:00 PM,591,48.0
EDM,NSH,1/23/2011,7:00 PM,1037,71.0
CGY,NSH,1/24/2011,8:30 PM,176,25.5
VAN,NSH,1/26/2011,9:00 PM,421,48.5
NSH,CGY,2/1/2011,7:00 PM,2033,142.0
PHI,NSH,2/3/2011,6:00 PM,687,47.0
NSH,DET,2/5/2011,7:00 PM,687,49.0
NSH,EDM,2/7/2011,7:00 PM,0,48.0
DET,NSH,2/9/2011,6:30 PM,472,47.5
NSH,COL,2/12/2011,7:00 PM,472,72.5
NSH,SJS,2/15/2011,7:00 PM,0,72.0
NSH,VAN,2/17/2011,7:00 PM,0,48.0
NSH,ARI,2/19/2011,7:00 PM,0,48.0
CBJ,NSH,2/22/2011,6:00 PM,335,71.0
NSH,CHI,2/24/2011,7:00 PM,335,49.0
DAL,NSH,2/26/2011,1:00 PM,615,42.0
NSH,CBJ,2/27/2011,2:00 PM,615,25.0
EDM,NSH,3/1/2011,8:30 PM,1761,54.5
VAN,NSH,3/3/2011,9:00 PM,509,48.5
CGY,NSH,3/6/2011,7:00 PM,421,70.0
SJS,NSH,3/8/2011,9:30 PM,1023,50.5
NSH,MIN,3/10/2011,7:00 PM,1935,45.5
NSH,COL,3/12/2011,7:00 PM,0,48.0
NSH,LAK,3/15/2011,7:00 PM,0,72.0
NSH,BOS,3/17/2011,7:00 PM,0,48.0
NSH,DET,3/19/2011,7:00 PM,0,48.0
BUF,NSH,3/20/2011,4:00 PM,627,21.0
NSH,EDM,3/22/2011,7:00 PM,627,51.0
NSH,ANH,3/24/2011,7:00 PM,0,48.0
NSH,DAL,3/26/2011,7:00 PM,0,48.0
NSH,VAN,3/29/2011,7:00 PM,0,72.0
COL,NSH,3/31/2011,8:00 PM,1017,49.0
NSH,DET,4/2/2011,2:00 PM,1017,42.0
NSH,ATL,4/5/2011,7:00 PM,0,77.0
NSH,CBJ,4/8/2011,7:00 PM,0,72.0
STL,NSH,4/9/2011,7:00 PM,255,24.0
