HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
PIT,PHI,10/7/2010,7:00 PM,258,0.0
STL,PHI,10/9/2010,8:00 PM,562,49.0
PHI,COL,10/11/2010,7:00 PM,814,47.0
PHI,TBL,10/14/2010,7:00 PM,0,72.0
PHI,PIT,10/16/2010,6:00 PM,0,47.0
PHI,ANH,10/21/2010,7:00 PM,0,121.0
PHI,TOR,10/23/2010,7:00 PM,0,48.0
CBJ,PHI,10/25/2010,7:00 PM,417,48.0
PHI,BUF,10/26/2010,7:30 PM,417,24.5
PIT,PHI,10/29/2010,7:00 PM,258,71.5
PHI,NYI,10/30/2010,7:00 PM,258,24.0
PHI,CAR,11/1/2010,7:00 PM,0,48.0
PHI,NYR,11/4/2010,7:00 PM,0,72.0
NYI,PHI,11/6/2010,7:00 PM,78,48.0
WSH,PHI,11/7/2010,5:00 PM,204,22.0
CAR,PHI,11/11/2010,7:00 PM,230,98.0
PHI,FLA,11/13/2010,7:00 PM,346,48.0
PHI,OTT,11/15/2010,7:00 PM,0,48.0
MON,PHI,11/16/2010,7:00 PM,389,24.0
PHI,TBL,11/18/2010,7:00 PM,389,48.0
WSH,PHI,11/20/2010,7:00 PM,126,48.0
PHI,MON,11/22/2010,7:00 PM,126,48.0
MIN,PHI,11/24/2010,8:00 PM,977,49.0
PHI,CGY,11/26/2010,1:00 PM,977,41.0
NJD,PHI,11/27/2010,1:00 PM,71,24.0
PHI,BOS,12/1/2010,7:00 PM,71,102.0
PHI,NJD,12/4/2010,1:00 PM,0,66.0
NYI,PHI,12/5/2010,1:00 PM,78,24.0
PHI,SJS,12/8/2010,7:00 PM,78,78.0
TOR,PHI,12/9/2010,7:00 PM,333,24.0
BOS,PHI,12/11/2010,7:00 PM,433,48.0
PHI,PIT,12/14/2010,7:00 PM,268,72.0
MON,PHI,12/15/2010,7:30 PM,389,24.5
PHI,NYR,12/18/2010,1:00 PM,389,65.5
PHI,FLA,12/20/2010,7:00 PM,0,54.0
VAN,PHI,12/28/2010,10:00 PM,2407,195.0
LAK,PHI,12/30/2010,10:30 PM,1081,48.5
ANH,PHI,12/31/2010,8:00 PM,32,21.5
DET,PHI,1/2/2011,5:00 PM,1970,45.0
NJD,PHI,1/6/2011,7:00 PM,477,98.0
PHI,NJD,1/8/2011,1:00 PM,71,42.0
BUF,PHI,1/11/2011,7:30 PM,278,78.5
BOS,PHI,1/13/2011,7:00 PM,401,47.5
ATL,PHI,1/14/2011,7:30 PM,938,24.5
NYR,PHI,1/16/2011,7:00 PM,751,47.5
PHI,WSH,1/18/2011,7:00 PM,81,48.0
PHI,OTT,1/20/2011,7:00 PM,0,48.0
PHI,NJD,1/22/2011,1:00 PM,0,42.0
CHI,PHI,1/23/2011,0:30 PM,668,23.5
PHI,MON,1/25/2011,7:30 PM,668,55.0
TBL,PHI,2/1/2011,7:30 PM,930,168.0
PHI,NSH,2/3/2011,7:00 PM,930,47.5
PHI,DAL,2/5/2011,7:00 PM,0,48.0
PHI,CAR,2/10/2011,7:00 PM,0,120.0
PHI,LAK,2/13/2011,3:00 PM,0,68.0
TBL,PHI,2/15/2011,7:30 PM,930,52.5
FLA,PHI,2/16/2011,7:30 PM,206,24.0
CAR,PHI,2/18/2011,8:00 PM,699,48.5
NYR,PHI,2/20/2011,0:30 PM,425,40.5
PHI,ARI,2/22/2011,7:00 PM,81,54.5
PHI,NYI,2/24/2011,7:00 PM,0,48.0
OTT,PHI,2/26/2011,7:00 PM,375,48.0
PHI,TOR,3/3/2011,7:00 PM,375,120.0
PHI,BUF,3/5/2011,1:00 PM,0,42.0
NYR,PHI,3/6/2011,0:30 PM,81,23.5
PHI,EDM,3/8/2011,7:00 PM,81,54.5
TOR,PHI,3/10/2011,7:00 PM,333,48.0
PHI,ATL,3/12/2011,7:00 PM,333,48.0
FLA,PHI,3/15/2011,7:30 PM,1024,72.5
ATL,PHI,3/17/2011,7:00 PM,369,47.5
DAL,PHI,3/19/2011,8:00 PM,717,49.0
PHI,WSH,3/22/2011,7:30 PM,1300,71.5
PHI,PIT,3/24/2011,7:00 PM,0,47.5
NYI,PHI,3/26/2011,7:00 PM,78,48.0
PHI,BOS,3/27/2011,7:00 PM,78,24.0
PIT,PHI,3/29/2011,7:00 PM,258,48.0
PHI,ATL,3/31/2011,7:00 PM,258,48.0
NJD,PHI,4/1/2011,7:00 PM,71,24.0
PHI,NYR,4/3/2011,0:30 PM,71,41.5
OTT,PHI,4/5/2011,7:30 PM,375,55.0
BUF,PHI,4/8/2011,7:30 PM,234,72.0
PHI,NYI,4/9/2011,7:00 PM,278,23.5
