DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
10/6/2011,,,PHI-H,,,,,,,,,,,,,TOR-A,,,,,,BOS-A,VAN-A,,,,MON-H,PIT-H,,
10/7/2011,BUF-A,,,ANH-H,TBL-H,NSH-H,,DAL-A,,CHI-H,OTT-H,,,NYR-H,,,,CBJ-A,,LAK-A,DET-A,,,,,CAR-A,,,,
10/8/2011,NYR-H,SJS-A,TBL-H,LAK-A,WSH-A,MIN-A,PIT-H,DAL-H,DET-H,CHI-A,COL-A,,NYI-A,BUF-H,CBJ-H,,PHI-H,STL-A,FLA-H,ANH-A,TOR-A,NJD-A,CGY-A,ARI-H,NSH-H,BOS-A,OTT-H,,,CAR-H
10/9/2011,,,,,,,,,,,,PIT-H,,,,WPG-A,,,,,,,EDM-A,,,,,,MON-H,
10/10/2011,,DAL-A,COL-H,,NJD-A,VAN-H,STL-A,,BOS-A,ARI-H,,,,,NYI-A,,CAR-H,,MIN-H,,,,,,CGY-H,WSH-A,,CBJ-A,,TBL-H
10/11/2011,,,,,,,,,,,,,PIT-A,,OTT-A,,,,,,MIN-H,,FLA-H,,,,,,,
10/12/2011,,,CAR-A,,BOS-H,COL-H,,,CBJ-A,,,,,,,,,,,,,VAN-H,,,,,,PHI-A,,
10/13/2011,,NSH-A,,,,,MON-A,WPG-H,OTT-A,STL-H,VAN-H,MIN-A,,NJD-A,EDM-H,CGY-H,LAK-H,ARI-H,TBL-H,,COL-H,,WSH-H,,DAL-A,NYI-A,,DET-A,CHI-A,PIT-A
10/14/2011,SJS-H,,,CAR-H,BUF-A,,,,,,,,,,,,,,,,,,,ANH-A,,,,,,
10/15/2011,,WPG-H,CHI-A,PIT-A,,DAL-A,TOR-A,BOS-H,MON-A,CBJ-H,MIN-A,VAN-H,TBL-H,PHI-A,DET-H,COL-H,NSH-A,NJD-H,NYR-H,NYI-A,WSH-A,LAK-H,BUF-H,STL-H,SJS-A,FLA-A,CGY-H,EDM-A,ARI-A,OTT-H
10/16/2011,STL-H,,,,,,,,,,,,,,,,,,,,,,,,ANH-A,,,,,
10/17/2011,SJS-A,,,,,,,,TOR-A,,,NSH-H,TBL-A,,,,,EDM-A,,,,,WPG-A,ANH-H,,FLA-H,COL-H,,PIT-H,
10/18/2011,,CHI-H,CAR-H,MON-A,BOS-A,DAL-H,EDM-H,ARI-A,,CBJ-A,,CGY-A,WSH-A,STL-H,PIT-H,BUF-H,,,,VAN-A,PHI-H,OTT-A,MIN-A,,LAK-A,,,NYR-H,,FLA-H
10/19/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,WPG-H,,TOR-A,
10/20/2011,,LAK-H,TOR-H,FLA-A,,,NYR-H,COL-A,CHI-H,,,MIN-H,BUF-H,ARI-A,EDM-A,PIT-A,,VAN-A,TBL-A,CGY-A,WPG-H,WSH-H,MON-H,,,NYI-H,BOS-A,NSH-H,OTT-A,PHI-A
10/21/2011,DAL-H,,,,STL-A,DET-A,,,,ANH-A,CBJ-H,,,,,,SJS-H,,,,,,,NJD-A,CAR-H,,,,,
10/22/2011,,,SJS-H,TBL-A,WPG-A,OTT-A,NSH-H,COL-H,CHI-A,LAK-A,WSH-A,NYR-H,NYI-H,DAL-H,VAN-A,TOR-H,PIT-A,CGY-A,FLA-A,EDM-A,CBJ-H,STL-H,NJD-H,BOS-A,PHI-A,BUF-H,MON-A,MIN-H,CAR-H,DET-H
10/23/2011,ARI-H,ANH-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2011,,,,,,,,,,,,,MON-A,,,FLA-H,,,,WPG-A,,TOR-H,,,,,PHI-A,,NYR-H,
