HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CBJ,NSH,10/7/2011,6:00 PM,0,0.0
MIN,CBJ,10/8/2011,7:00 PM,620,25.0
CBJ,VAN,10/10/2011,6:00 PM,620,47.0
CBJ,COL,10/12/2011,6:00 PM,0,48.0
DAL,CBJ,10/15/2011,7:00 PM,913,73.0
CBJ,DAL,10/18/2011,6:00 PM,913,71.0
DET,CBJ,10/21/2011,6:30 PM,166,72.5
OTT,CBJ,10/22/2011,6:00 PM,424,23.5
CBJ,DET,10/25/2011,6:00 PM,527,72.0
BUF,CBJ,10/27/2011,6:00 PM,294,48.0
CHI,CBJ,10/29/2011,7:30 PM,457,49.5
CBJ,ANH,10/30/2011,5:30 PM,277,22.0
CBJ,TOR,11/3/2011,6:00 PM,0,96.5
PHI,CBJ,11/5/2011,6:00 PM,417,48.0
CBJ,CHI,11/10/2011,6:00 PM,417,120.0
CBJ,WPG,11/12/2011,6:00 PM,0,48.0
CBJ,MIN,11/15/2011,6:00 PM,0,72.0
BOS,CBJ,11/17/2011,6:00 PM,644,48.0
NSH,CBJ,11/19/2011,7:00 PM,944,49.0
CBJ,CGY,11/21/2011,6:00 PM,335,47.0
NJD,CBJ,11/23/2011,6:00 PM,468,48.0
CBJ,BUF,11/25/2011,6:00 PM,468,48.0
CBJ,STL,11/27/2011,5:00 PM,0,47.0
VAN,CBJ,11/29/2011,9:00 PM,2053,52.0
CGY,CBJ,12/1/2011,8:00 PM,421,47.0
EDM,CBJ,12/2/2011,8:30 PM,176,24.5
MON,CBJ,12/6/2011,6:30 PM,1854,94.0
CBJ,NSH,12/8/2011,6:00 PM,612,47.5
CBJ,BOS,12/10/2011,6:00 PM,0,48.0
CBJ,VAN,12/13/2011,6:00 PM,0,72.0
CBJ,LAK,12/15/2011,6:00 PM,0,48.0
CBJ,TBL,12/17/2011,6:00 PM,0,48.0
STL,CBJ,12/18/2011,6:00 PM,400,24.0
NSH,CBJ,12/22/2011,7:00 PM,255,97.0
CHI,CBJ,12/26/2011,7:30 PM,394,96.5
CBJ,CGY,12/27/2011,6:00 PM,277,22.5
DAL,CBJ,12/29/2011,7:30 PM,913,49.5
CBJ,WSH,12/31/2011,6:00 PM,913,46.5
SJS,CBJ,1/5/2012,9:30 PM,2092,123.5
LAK,CBJ,1/7/2012,3:00 PM,296,41.5
ANH,CBJ,1/8/2012,7:00 PM,32,28.0
CHI,CBJ,1/10/2012,7:30 PM,1731,48.5
CBJ,ARI,1/13/2012,6:00 PM,277,70.5
CBJ,SJS,1/14/2012,6:00 PM,0,24.0
CBJ,EDM,1/17/2012,6:00 PM,0,72.0
CBJ,NSH,1/19/2012,6:00 PM,0,48.0
DET,CBJ,1/21/2012,6:00 PM,166,48.0
NSH,CBJ,1/23/2012,7:00 PM,472,49.0
TBL,CBJ,1/24/2012,6:30 PM,619,23.5
SJS,CBJ,1/31/2012,9:30 PM,2364,171.0
LAK,CBJ,2/1/2012,9:30 PM,296,24.0
ANH,CBJ,2/3/2012,9:00 PM,32,47.5
CBJ,MIN,2/7/2012,6:00 PM,1966,93.0
CBJ,DAL,2/9/2012,6:00 PM,0,48.0
MIN,CBJ,2/11/2012,7:00 PM,620,49.0
CBJ,ANH,2/12/2012,5:00 PM,620,22.0
CBJ,STL,2/14/2012,6:00 PM,0,49.0
CBJ,CHI,2/18/2012,0:00 PM,0,90.0
NYR,CBJ,2/19/2012,7:00 PM,479,31.0
CBJ,SJS,2/21/2012,6:00 PM,479,47.0
CBJ,COL,2/24/2012,6:00 PM,0,72.0
PIT,CBJ,2/26/2012,0:00 PM,162,42.0
CBJ,DET,2/28/2012,6:00 PM,162,54.0
COL,CBJ,3/1/2012,8:00 PM,1161,50.0
ARI,CBJ,3/3/2012,7:00 PM,591,47.0
CBJ,ARI,3/6/2012,6:00 PM,1672,71.0
CBJ,LAK,3/8/2012,6:00 PM,0,48.0
STL,CBJ,3/10/2012,7:00 PM,400,49.0
CBJ,STL,3/11/2012,5:00 PM,400,22.0
EDM,CBJ,3/14/2012,9:00 PM,1707,76.0
VAN,CBJ,3/17/2012,9:00 PM,509,72.0
CGY,CBJ,3/18/2012,7:00 PM,421,22.0
CBJ,CHI,3/20/2012,6:00 PM,1674,47.0
CBJ,CAR,3/23/2012,6:00 PM,0,72.0
CBJ,EDM,3/25/2012,2:00 PM,0,44.0
DET,CBJ,3/26/2012,6:30 PM,166,28.5
CBJ,DET,3/28/2012,6:30 PM,166,48.0
CBJ,FLA,3/30/2012,6:00 PM,0,47.5
STL,CBJ,3/31/2012,7:00 PM,400,25.0
ARI,CBJ,4/3/2012,9:00 PM,1274,74.0
COL,CBJ,4/5/2012,8:00 PM,591,47.0
CBJ,NYI,4/7/2012,6:00 PM,1161,46.0
