HOME,AWAY,DATE,TIME (CT)
DAL,CHI,10/7/2011,7:30 PM
CHI,DAL,10/8/2011,7:30 PM
DAL,ARI,10/10/2011,5:00 PM
DAL,STL,10/13/2011,7:30 PM
DAL,CBJ,10/15/2011,7:00 PM
CBJ,DAL,10/18/2011,6:00 PM
ANH,DAL,10/21/2011,9:00 PM
LAK,DAL,10/22/2011,9:30 PM
ARI,DAL,10/25/2011,9:00 PM
DAL,LAK,10/27/2011,7:30 PM
DAL,NJD,10/29/2011,7:00 PM
DAL,COL,11/4/2011,7:30 PM
CAR,DAL,11/6/2011,0:30 PM
WSH,DAL,11/8/2011,6:00 PM
PIT,DAL,11/11/2011,6:00 PM
DET,DAL,11/12/2011,6:00 PM
DAL,FLA,11/15/2011,7:30 PM
COL,DAL,11/18/2011,8:00 PM
DAL,SJS,11/19/2011,7:00 PM
DAL,EDM,11/21/2011,7:30 PM
DAL,LAK,11/23/2011,7:30 PM
DAL,TOR,11/25/2011,7:30 PM
ARI,DAL,11/26/2011,7:00 PM
COL,DAL,11/28/2011,8:00 PM
DAL,OTT,12/1/2011,7:30 PM
DAL,NYI,12/3/2011,7:30 PM
SJS,DAL,12/8/2011,9:30 PM
LAK,DAL,12/10/2011,9:30 PM
NYR,DAL,12/13/2011,6:00 PM
NYI,DAL,12/15/2011,6:00 PM
NJD,DAL,12/16/2011,7:00 PM
DAL,ANH,12/19/2011,7:00 PM
DAL,PHI,12/21/2011,6:30 PM
DAL,NSH,12/23/2011,7:30 PM
STL,DAL,12/26/2011,6:30 PM
DAL,CBJ,12/29/2011,7:30 PM
DAL,BOS,12/31/2011,7:00 PM
DAL,DET,1/3/2012,7:00 PM
NSH,DAL,1/5/2012,7:00 PM
DAL,EDM,1/7/2012,1:00 PM
ANH,DAL,1/10/2012,9:00 PM
LAK,DAL,1/12/2012,9:30 PM
DAL,COL,1/14/2012,2:00 PM
STL,DAL,1/16/2012,6:30 PM
DAL,DET,1/17/2012,7:30 PM
DAL,TBL,1/20/2012,7:30 PM
MIN,DAL,1/21/2012,8:00 PM
DAL,ANH,1/24/2012,7:30 PM
ANH,DAL,2/1/2012,9:30 PM
SJS,DAL,2/2/2012,9:30 PM
DAL,MIN,2/4/2012,7:00 PM
DAL,ARI,2/7/2012,7:30 PM
CBJ,DAL,2/9/2012,6:00 PM
BUF,DAL,2/10/2012,6:30 PM
DAL,LAK,2/12/2012,5:00 PM
DET,DAL,2/14/2012,6:30 PM
DAL,CGY,2/16/2012,7:30 PM
ARI,DAL,2/18/2012,7:00 PM
DAL,NSH,2/19/2012,6:00 PM
MON,DAL,2/21/2012,6:30 PM
CHI,DAL,2/23/2012,7:30 PM
DAL,MIN,2/24/2012,7:30 PM
DAL,VAN,2/26/2012,2:00 PM
DAL,PIT,2/29/2012,6:30 PM
EDM,DAL,3/2/2012,8:30 PM
CGY,DAL,3/4/2012,5:00 PM
VAN,DAL,3/6/2012,9:00 PM
DAL,SJS,3/8/2012,7:30 PM
DAL,ANH,3/10/2012,7:00 PM
MIN,DAL,3/13/2012,7:00 PM
WPG,DAL,3/14/2012,7:30 PM
DAL,CHI,3/16/2012,7:30 PM
DAL,ARI,3/20/2012,7:00 PM
DAL,VAN,3/22/2012,7:30 PM
DAL,CGY,3/24/2012,1:00 PM
CGY,DAL,3/26/2012,8:00 PM
EDM,DAL,3/28/2012,8:30 PM
VAN,DAL,3/30/2012,9:00 PM
SJS,DAL,3/31/2012,9:30 PM
DAL,SJS,4/3/2012,7:30 PM
NSH,DAL,4/5/2012,7:00 PM
DAL,STL,4/7/2012,7:00 PM
