HOME,AWAY,DATE,TIME (CT)
DET,OTT,10/7/2011,6:00 PM
COL,DET,10/8/2011,8:00 PM
DET,VAN,10/13/2011,7:00 PM
MIN,DET,10/15/2011,7:00 PM
DET,CBJ,10/21/2011,6:30 PM
WSH,DET,10/22/2011,6:00 PM
CBJ,DET,10/25/2011,6:00 PM
DET,SJS,10/28/2011,6:30 PM
MIN,DET,10/29/2011,7:00 PM
DET,MIN,11/1/2011,6:30 PM
DET,CGY,11/3/2011,6:30 PM
DET,ANH,11/5/2011,6:00 PM
DET,COL,11/8/2011,6:30 PM
DET,EDM,11/11/2011,6:30 PM
DET,DAL,11/12/2011,6:00 PM
STL,DET,11/15/2011,7:00 PM
SJS,DET,11/17/2011,9:30 PM
LAK,DET,11/19/2011,3:00 PM
ANH,DET,11/20/2011,7:00 PM
DET,CGY,11/23/2011,6:00 PM
BOS,DET,11/25/2011,0:00 PM
DET,NSH,11/26/2011,6:00 PM
DET,TBL,11/30/2011,6:30 PM
BUF,DET,12/2/2011,6:30 PM
COL,DET,12/4/2011,7:00 PM
STL,DET,12/6/2011,6:30 PM
DET,ARI,12/8/2011,6:30 PM
DET,WPG,12/10/2011,6:00 PM
PIT,DET,12/13/2011,6:00 PM
NSH,DET,12/15/2011,7:00 PM
DET,LAK,12/17/2011,6:00 PM
EDM,DET,12/19/2011,8:30 PM
VAN,DET,12/21/2011,9:00 PM
CGY,DET,12/22/2011,8:30 PM
NSH,DET,12/26/2011,7:00 PM
DET,STL,12/27/2011,6:30 PM
CHI,DET,12/30/2011,7:30 PM
DET,STL,12/31/2011,6:00 PM
DAL,DET,1/3/2012,7:00 PM
TOR,DET,1/7/2012,6:00 PM
CHI,DET,1/8/2012,6:30 PM
NYI,DET,1/10/2012,6:00 PM
DET,ARI,1/12/2012,6:30 PM
DET,CHI,1/14/2012,11:30 PM
DET,BUF,1/16/2012,6:30 PM
DAL,DET,1/17/2012,7:30 PM
ARI,DET,1/19/2012,8:00 PM
DET,CBJ,1/21/2012,6:00 PM
DET,STL,1/23/2012,6:30 PM
MON,DET,1/25/2012,6:30 PM
CGY,DET,1/31/2012,8:00 PM
VAN,DET,2/2/2012,9:00 PM
EDM,DET,2/4/2012,9:00 PM
ARI,DET,2/6/2012,7:00 PM
DET,EDM,2/8/2012,6:30 PM
DET,ANH,2/10/2012,6:30 PM
DET,PHI,2/12/2012,6:30 PM
DET,DAL,2/14/2012,6:30 PM
DET,NSH,2/17/2012,6:30 PM
DET,SJS,2/19/2012,11:30 PM
CHI,DET,2/21/2012,7:00 PM
DET,VAN,2/23/2012,6:30 PM
DET,COL,2/25/2012,6:00 PM
CBJ,DET,2/28/2012,6:00 PM
DET,MIN,3/2/2012,6:30 PM
DET,CHI,3/4/2012,3:00 PM
PHI,DET,3/6/2012,6:00 PM
DET,LAK,3/9/2012,6:30 PM
NSH,DET,3/10/2012,7:00 PM
LAK,DET,3/13/2012,9:30 PM
ANH,DET,3/14/2012,9:00 PM
SJS,DET,3/17/2012,9:30 PM
DET,WSH,3/19/2012,6:30 PM
NYR,DET,3/21/2012,6:30 PM
DET,CAR,3/24/2012,6:00 PM
DET,CBJ,3/26/2012,6:30 PM
CBJ,DET,3/28/2012,6:30 PM
DET,NSH,3/30/2012,6:30 PM
DET,FLA,4/1/2012,3:00 PM
STL,DET,4/4/2012,6:30 PM
DET,NJD,4/5/2012,6:30 PM
DET,CHI,4/7/2012,0:00 PM
