HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DAL,ARI,1/19/2013,7:00 PM,0,0.0
MIN,DAL,1/20/2013,7:00 PM,861,24.0
DET,DAL,1/22/2013,6:30 PM,617,47.5
DAL,CHI,1/24/2013,7:30 PM,998,49.0
DAL,STL,1/26/2013,7:00 PM,0,47.5
CBJ,DAL,1/28/2013,6:00 PM,913,47.0
DET,DAL,1/29/2013,6:30 PM,166,24.5
DAL,ARI,2/1/2013,7:30 PM,998,73.0
ARI,DAL,2/2/2013,7:00 PM,987,23.5
COL,DAL,2/4/2013,8:00 PM,591,49.0
EDM,DAL,2/6/2013,9:00 PM,1037,49.0
DAL,ANH,2/8/2013,7:30 PM,1656,46.5
EDM,DAL,2/12/2013,8:30 PM,1656,97.0
CGY,DAL,2/13/2013,8:30 PM,176,24.0
VAN,DAL,2/15/2013,9:00 PM,421,48.5
DAL,CGY,2/17/2013,5:00 PM,1770,44.0
DAL,VAN,2/21/2013,7:30 PM,0,98.5
DAL,SJS,2/23/2013,7:00 PM,0,47.5
NSH,DAL,2/25/2013,7:00 PM,615,48.0
CBJ,DAL,2/26/2013,6:00 PM,335,23.0
DAL,EDM,2/28/2013,7:30 PM,913,49.5
DAL,STL,3/3/2013,2:00 PM,0,66.5
LAK,DAL,3/7/2013,9:30 PM,1252,103.5
ARI,DAL,3/9/2013,7:00 PM,360,45.5
DAL,NSH,3/12/2013,7:30 PM,987,72.5
DAL,ANH,3/14/2013,7:30 PM,0,48.0
DAL,CHI,3/16/2013,7:00 PM,0,47.5
DAL,CGY,3/18/2013,7:30 PM,0,48.5
COL,DAL,3/20/2013,8:30 PM,660,49.0
LAK,DAL,3/21/2013,9:30 PM,946,25.0
DAL,COL,3/23/2013,7:00 PM,1252,45.5
DAL,MIN,3/25/2013,7:30 PM,0,48.5
DAL,MIN,3/29/2013,7:30 PM,0,96.0
DAL,LAK,3/31/2013,5:00 PM,0,45.5
DAL,ANH,4/1/2013,7:30 PM,0,26.5
ANH,DAL,4/3/2013,9:00 PM,1222,49.5
ANH,DAL,4/5/2013,9:00 PM,0,48.0
SJS,DAL,4/7/2013,3:00 PM,325,42.0
DAL,LAK,4/9/2013,7:30 PM,1449,52.5
NSH,DAL,4/12/2013,7:00 PM,615,71.5
DAL,SJS,4/13/2013,7:00 PM,615,24.0
CHI,DAL,4/15/2013,7:00 PM,799,48.0
DAL,VAN,4/18/2013,7:30 PM,799,72.5
STL,DAL,4/19/2013,7:00 PM,544,23.5
LAK,DAL,4/21/2013,8:00 PM,1597,49.0
SJS,DAL,4/23/2013,9:00 PM,296,49.0
DAL,CBJ,4/25/2013,7:30 PM,1449,46.5
DAL,DET,4/27/2013,6:00 PM,0,46.5
