HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BOS,NYR,1/19/2013,7:00 PM,187,0.0
NYR,PIT,1/20/2013,7:00 PM,187,24.0
NYR,BOS,1/23/2013,7:30 PM,0,72.5
PHI,NYR,1/24/2013,7:00 PM,81,23.5
NYR,TOR,1/26/2013,7:00 PM,81,48.0
NYR,PHI,1/29/2013,7:00 PM,0,72.0
NYR,PIT,1/31/2013,7:00 PM,0,48.0
TBL,NYR,2/2/2013,7:00 PM,1006,48.0
NJD,NYR,2/5/2013,7:00 PM,998,72.0
NYR,NYI,2/7/2013,7:00 PM,11,48.0
NYR,TBL,2/10/2013,7:30 PM,0,72.5
BOS,NYR,2/12/2013,7:30 PM,187,48.0
NYR,NYI,2/14/2013,7:00 PM,187,47.5
NYR,WSH,2/17/2013,6:00 PM,0,71.0
NYR,MON,2/19/2013,7:00 PM,0,49.0
OTT,NYR,2/21/2013,7:30 PM,333,48.5
MON,NYR,2/23/2013,7:00 PM,104,47.5
NYR,WPG,2/26/2013,7:00 PM,329,72.0
NYR,TBL,2/28/2013,7:00 PM,0,48.0
NYR,BUF,3/3/2013,7:30 PM,0,72.5
NYR,PHI,3/5/2013,7:30 PM,0,48.0
NYI,NYR,3/7/2013,7:00 PM,7,47.5
NYR,OTT,3/8/2013,7:00 PM,7,24.0
WSH,NYR,3/10/2013,0:30 PM,207,41.5
BUF,NYR,3/12/2013,7:00 PM,292,54.5
WPG,NYR,3/14/2013,8:00 PM,996,49.0
PIT,NYR,3/16/2013,1:00 PM,1059,41.0
NYR,CAR,3/18/2013,7:00 PM,317,54.0
NJD,NYR,3/19/2013,7:00 PM,11,24.0
NYR,FLA,3/21/2013,7:00 PM,11,48.0
NYR,WSH,3/24/2013,7:00 PM,0,72.0
PHI,NYR,3/26/2013,7:30 PM,81,48.5
OTT,NYR,3/28/2013,7:30 PM,375,48.0
MON,NYR,3/30/2013,7:00 PM,104,47.5
NYR,WPG,4/1/2013,7:00 PM,329,48.0
NYR,PIT,4/3/2013,7:30 PM,0,48.5
PIT,NYR,4/5/2013,7:00 PM,317,47.5
CAR,NYR,4/6/2013,7:00 PM,326,24.0
TOR,NYR,4/8/2013,7:00 PM,541,48.0
NYR,TOR,4/10/2013,7:00 PM,342,48.0
NYI,NYR,4/13/2013,7:00 PM,7,72.0
PHI,NYR,4/16/2013,7:30 PM,78,72.5
NYR,FLA,4/18/2013,7:00 PM,81,47.5
BUF,NYR,4/19/2013,7:00 PM,292,24.0
NYR,NJD,4/21/2013,3:00 PM,292,44.0
FLA,NYR,4/23/2013,7:30 PM,1094,52.5
CAR,NYR,4/25/2013,7:00 PM,699,47.5
NYR,NJD,4/27/2013,3:00 PM,425,44.0
