HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
PHI,PIT,1/19/2013,3:00 PM,258,0.0
NYR,PIT,1/20/2013,7:00 PM,81,28.0
PIT,TOR,1/23/2013,7:00 PM,317,72.0
WPG,PIT,1/25/2013,8:00 PM,1059,49.0
OTT,PIT,1/27/2013,5:00 PM,1044,45.0
PIT,NYI,1/29/2013,7:30 PM,406,50.5
NYR,PIT,1/31/2013,7:00 PM,317,47.5
PIT,NJD,2/2/2013,1:00 PM,317,42.0
WSH,PIT,2/3/2013,0:30 PM,190,23.5
NYI,PIT,2/5/2013,7:00 PM,204,54.5
PIT,WSH,2/7/2013,7:00 PM,318,48.0
NJD,PIT,2/9/2013,1:00 PM,306,42.0
PIT,NJD,2/10/2013,7:30 PM,306,30.5
PIT,OTT,2/13/2013,7:00 PM,0,71.5
WPG,PIT,2/15/2013,7:00 PM,1059,48.0
BUF,PIT,2/17/2013,0:30 PM,996,41.5
PIT,PHI,2/20/2013,7:30 PM,179,79.0
PIT,FLA,2/22/2013,7:00 PM,0,47.5
PIT,TBL,2/24/2013,7:30 PM,0,48.5
FLA,PIT,2/26/2013,7:30 PM,1011,48.0
CAR,PIT,2/28/2013,7:00 PM,699,47.5
MON,PIT,3/2/2013,7:00 PM,719,48.0
PIT,TBL,3/4/2013,7:30 PM,478,48.5
PHI,PIT,3/7/2013,7:00 PM,258,71.5
TOR,PIT,3/9/2013,7:00 PM,333,48.0
PIT,NYI,3/10/2013,7:00 PM,224,24.0
PIT,BOS,3/12/2013,7:30 PM,0,48.5
TOR,PIT,3/14/2013,7:00 PM,224,47.5
PIT,NYR,3/16/2013,1:00 PM,224,42.0
PIT,BOS,3/17/2013,0:30 PM,0,23.5
PIT,WSH,3/19/2013,7:30 PM,0,55.0
NYI,PIT,3/22/2013,7:00 PM,318,71.5
PIT,PHI,3/24/2013,7:30 PM,318,48.5
PIT,MON,3/26/2013,7:00 PM,0,47.5
PIT,WPG,3/28/2013,7:00 PM,0,48.0
PIT,NYI,3/30/2013,1:00 PM,0,42.0
PIT,BUF,4/2/2013,7:30 PM,0,78.5
NYR,PIT,4/3/2013,7:30 PM,317,24.0
PIT,NYR,4/5/2013,7:00 PM,317,47.5
CAR,PIT,4/9/2013,7:00 PM,326,96.0
TBL,PIT,4/11/2013,7:30 PM,587,48.5
FLA,PIT,4/13/2013,7:30 PM,206,48.0
PIT,MON,4/17/2013,7:00 PM,1011,95.5
BOS,PIT,4/20/2013,0:30 PM,483,65.5
OTT,PIT,4/22/2013,7:30 PM,317,55.0
PIT,BUF,4/23/2013,7:30 PM,406,24.0
NJD,PIT,4/25/2013,7:30 PM,306,48.0
PIT,CAR,4/27/2013,7:30 PM,306,48.0
