HOME,AWAY,DATE,TIME (PT)
CGY,SJS,1/20/2013,3:00 PM
EDM,SJS,1/22/2013,7:00 PM
SJS,ARI,1/24/2013,7:30 PM
SJS,COL,1/26/2013,1:00 PM
SJS,VAN,1/27/2013,5:00 PM
SJS,ANH,1/29/2013,7:30 PM
SJS,EDM,1/31/2013,7:30 PM
SJS,NSH,2/2/2013,7:30 PM
ANH,SJS,2/4/2013,7:00 PM
SJS,CHI,2/5/2013,7:30 PM
SJS,ARI,2/9/2013,1:00 PM
CBJ,SJS,2/11/2013,4:00 PM
NSH,SJS,2/12/2013,5:00 PM
CHI,SJS,2/15/2013,5:30 PM
STL,SJS,2/19/2013,5:00 PM
CHI,SJS,2/22/2013,5:30 PM
DAL,SJS,2/23/2013,5:00 PM
SJS,COL,2/26/2013,7:30 PM
SJS,DET,2/28/2013,7:30 PM
SJS,NSH,3/2/2013,7:30 PM
VAN,SJS,3/5/2013,7:00 PM
CGY,SJS,3/6/2013,6:30 PM
SJS,STL,3/9/2013,1:00 PM
COL,SJS,3/10/2013,5:00 PM
STL,SJS,3/12/2013,5:00 PM
SJS,LAK,3/14/2013,7:30 PM
LAK,SJS,3/16/2013,7:30 PM
ANH,SJS,3/18/2013,7:00 PM
EDM,SJS,3/20/2013,6:30 PM
MIN,SJS,3/23/2013,11:00 PM
ANH,SJS,3/25/2013,7:00 PM
SJS,ANH,3/27/2013,7:00 PM
SJS,DET,3/28/2013,7:30 PM
SJS,ARI,3/30/2013,7:30 PM
SJS,VAN,4/1/2013,7:30 PM
SJS,MIN,4/3/2013,7:30 PM
SJS,CGY,4/5/2013,7:30 PM
SJS,DAL,4/7/2013,1:00 PM
CBJ,SJS,4/9/2013,4:00 PM
DET,SJS,4/11/2013,4:30 PM
DAL,SJS,4/13/2013,5:00 PM
ARI,SJS,4/15/2013,7:00 PM
SJS,LAK,4/16/2013,7:30 PM
SJS,MIN,4/18/2013,7:30 PM
SJS,CBJ,4/21/2013,5:00 PM
SJS,DAL,4/23/2013,7:00 PM
ARI,SJS,4/24/2013,7:00 PM
LAK,SJS,4/27/2013,7:30 PM
