HOME,AWAY,DATE,TIME (CT)
WPG,OTT,1/19/2013,2:00 PM
BOS,WPG,1/21/2013,0:00 PM
WSH,WPG,1/22/2013,6:00 PM
WPG,PIT,1/25/2013,7:00 PM
WPG,NYI,1/27/2013,7:00 PM
MON,WPG,1/29/2013,6:30 PM
FLA,WPG,1/31/2013,6:30 PM
TBL,WPG,2/1/2013,6:30 PM
WPG,FLA,2/5/2013,7:00 PM
WPG,TOR,2/7/2013,7:00 PM
OTT,WPG,2/9/2013,1:00 PM
WPG,PHI,2/12/2013,7:00 PM
WPG,PIT,2/15/2013,6:00 PM
WPG,BOS,2/17/2013,5:00 PM
BUF,WPG,2/19/2013,6:00 PM
CAR,WPG,2/21/2013,6:00 PM
PHI,WPG,2/23/2013,0:00 PM
NJD,WPG,2/24/2013,4:00 PM
NYR,WPG,2/26/2013,6:00 PM
WPG,NJD,2/28/2013,7:00 PM
WPG,WSH,3/2/2013,2:00 PM
FLA,WPG,3/5/2013,6:30 PM
TBL,WPG,3/7/2013,6:30 PM
FLA,WPG,3/8/2013,6:30 PM
NJD,WPG,3/10/2013,6:00 PM
WPG,TOR,3/12/2013,7:00 PM
WPG,NYR,3/14/2013,7:00 PM
TOR,WPG,3/16/2013,6:00 PM
OTT,WPG,3/17/2013,4:00 PM
WPG,BOS,3/19/2013,7:00 PM
WPG,WSH,3/21/2013,7:00 PM
WPG,WSH,3/22/2013,6:00 PM
WPG,TBL,3/24/2013,7:00 PM
CAR,WPG,3/26/2013,6:00 PM
PIT,WPG,3/28/2013,6:00 PM
WPG,CAR,3/30/2013,2:00 PM
NYR,WPG,4/1/2013,6:00 PM
NYI,WPG,4/2/2013,6:00 PM
MON,WPG,4/4/2013,6:30 PM
WPG,PHI,4/6/2013,2:00 PM
WPG,BUF,4/9/2013,7:00 PM
WPG,FLA,4/11/2013,7:00 PM
WPG,TBL,4/16/2013,7:00 PM
WPG,CAR,4/18/2013,7:00 PM
WPG,NYI,4/20/2013,2:00 PM
BUF,WPG,4/22/2013,6:00 PM
WSH,WPG,4/23/2013,6:00 PM
WPG,MON,4/25/2013,7:00 PM
