HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DET,BUF,10/2/2013,8:00 PM,219,0.0
BUF,OTT,10/4/2013,7:00 PM,219,47.0
PIT,BUF,10/5/2013,7:00 PM,179,24.0
BUF,TBL,10/8/2013,7:30 PM,179,72.5
BUF,CBJ,10/10/2013,7:00 PM,0,47.5
CHI,BUF,10/12/2013,8:00 PM,457,49.0
BUF,MIN,10/14/2013,7:30 PM,457,47.5
NYI,BUF,10/15/2013,7:00 PM,297,23.5
BUF,VAN,10/17/2013,7:00 PM,297,48.0
BUF,COL,10/19/2013,7:00 PM,0,48.0
BUF,BOS,10/23/2013,8:00 PM,0,97.0
FLA,BUF,10/25/2013,7:30 PM,1182,47.5
TBL,BUF,10/26/2013,7:00 PM,206,23.5
BUF,DAL,10/28/2013,7:00 PM,1049,48.0
NYR,BUF,10/31/2013,7:00 PM,292,72.0
BUF,ANH,11/2/2013,7:00 PM,292,48.0
SJS,BUF,11/5/2013,10:30 PM,2284,75.5
LAK,BUF,11/7/2013,10:30 PM,296,48.0
ANH,BUF,11/8/2013,10:00 PM,32,23.5
BUF,LAK,11/12/2013,7:00 PM,2188,93.0
BUF,TOR,11/15/2013,7:00 PM,0,72.0
TOR,BUF,11/16/2013,7:00 PM,59,24.0
BUF,STL,11/19/2013,7:00 PM,59,72.0
PHI,BUF,11/21/2013,7:00 PM,278,48.0
BUF,DET,11/24/2013,5:00 PM,278,70.0
BUF,MON,11/27/2013,7:00 PM,0,74.0
BUF,TOR,11/29/2013,7:30 PM,0,48.5
NJD,BUF,11/30/2013,7:00 PM,285,23.5
BUF,NYR,12/5/2013,7:00 PM,285,120.0
MON,BUF,12/7/2013,7:00 PM,319,48.0
BUF,OTT,12/10/2013,7:00 PM,319,72.0
OTT,BUF,12/12/2013,7:30 PM,234,48.5
BUF,CGY,12/14/2013,2:00 PM,234,42.5
BUF,WPG,12/17/2013,7:00 PM,0,77.0
BUF,BOS,12/19/2013,7:00 PM,0,48.0
BOS,BUF,12/21/2013,7:00 PM,401,48.0
BUF,ARI,12/23/2013,7:00 PM,401,48.0
TOR,BUF,12/27/2013,7:30 PM,59,96.5
BUF,WSH,12/29/2013,5:00 PM,59,45.5
WPG,BUF,12/31/2013,7:00 PM,996,50.0
MIN,BUF,1/2/2014,8:00 PM,390,49.0
BUF,NJD,1/4/2014,7:00 PM,724,47.0
BUF,FLA,1/9/2014,7:00 PM,0,120.0
WSH,BUF,1/12/2014,3:00 PM,292,68.0
BUF,PHI,1/14/2014,7:30 PM,292,52.5
TOR,BUF,1/15/2014,7:30 PM,59,24.0
BUF,CBJ,1/18/2014,7:00 PM,59,71.5
BUF,FLA,1/21/2014,7:00 PM,0,72.0
BUF,CAR,1/23/2014,7:00 PM,0,48.0
CBJ,BUF,1/25/2014,7:00 PM,294,48.0
PIT,BUF,1/27/2014,7:30 PM,162,48.5
BUF,WSH,1/28/2014,7:30 PM,179,24.0
ARI,BUF,1/30/2014,9:00 PM,1910,49.5
COL,BUF,2/1/2014,3:00 PM,591,42.0
BUF,EDM,2/3/2014,7:00 PM,1365,52.0
BUF,PIT,2/5/2014,7:30 PM,0,48.5
OTT,BUF,2/6/2014,7:30 PM,234,24.0
BUF,CAR,2/25/2014,7:00 PM,234,455.5
BUF,BOS,2/26/2014,7:30 PM,0,24.5
BUF,SJS,2/28/2014,7:00 PM,0,47.5
DAL,BUF,3/3/2014,8:00 PM,1198,73.0
TBL,BUF,3/6/2014,7:30 PM,915,71.5
FLA,BUF,3/7/2014,7:30 PM,206,24.0
BUF,CHI,3/9/2014,7:30 PM,1182,48.0
BUF,NSH,3/11/2014,7:00 PM,0,47.5
CAR,BUF,3/13/2014,7:00 PM,487,48.0
NYI,BUF,3/15/2014,7:00 PM,420,48.0
BUF,MON,3/16/2014,7:00 PM,297,24.0
CGY,BUF,3/18/2014,9:00 PM,1738,50.0
EDM,BUF,3/20/2014,9:30 PM,176,48.5
VAN,BUF,3/23/2014,8:00 PM,509,70.5
MON,BUF,3/25/2014,7:30 PM,2297,47.5
NSH,BUF,3/27/2014,8:00 PM,944,48.5
BUF,TBL,3/29/2014,7:00 PM,627,47.0
BUF,NJD,4/1/2014,7:00 PM,0,72.0
STL,BUF,4/3/2014,8:00 PM,335,49.0
DET,BUF,4/4/2014,7:30 PM,456,23.5
PHI,BUF,4/6/2014,7:30 PM,446,48.0
BUF,DET,4/8/2014,7:00 PM,278,47.5
NYR,BUF,4/10/2014,7:00 PM,292,48.0
BOS,BUF,4/12/2014,0:30 PM,187,41.5
BUF,NYI,4/13/2014,5:00 PM,401,28.5
