HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DAL,FLA,10/3/2013,8:30 PM,1109,0.0
STL,FLA,10/5/2013,8:00 PM,544,47.5
PHI,FLA,10/8/2013,7:00 PM,814,71.0
TBL,FLA,10/10/2013,7:30 PM,930,48.5
FLA,PIT,10/11/2013,7:30 PM,206,24.0
FLA,LAK,10/13/2013,3:00 PM,0,43.5
NSH,FLA,10/15/2013,8:00 PM,815,53.0
FLA,BOS,10/17/2013,7:30 PM,815,47.5
FLA,MIN,10/19/2013,7:00 PM,0,47.5
FLA,CHI,10/22/2013,7:30 PM,0,72.5
FLA,BUF,10/25/2013,7:30 PM,0,72.0
FLA,TBL,10/27/2013,5:00 PM,0,45.5
FLA,STL,11/1/2013,7:30 PM,0,122.5
WSH,FLA,11/2/2013,7:00 PM,924,23.5
FLA,EDM,11/5/2013,7:30 PM,924,72.5
BOS,FLA,11/7/2013,7:00 PM,1255,47.5
OTT,FLA,11/9/2013,2:00 PM,317,43.0
NYR,FLA,11/10/2013,7:00 PM,333,29.0
FLA,ANH,11/12/2013,7:30 PM,1094,48.5
MIN,FLA,11/15/2013,8:00 PM,1505,72.5
COL,FLA,11/16/2013,9:00 PM,700,25.0
VAN,FLA,11/19/2013,10:00 PM,1111,73.0
EDM,FLA,11/21/2013,9:30 PM,509,47.5
CGY,FLA,11/22/2013,9:00 PM,176,23.5
FLA,PHI,11/25/2013,7:30 PM,2493,70.5
FLA,NYR,11/27/2013,7:30 PM,0,48.0
FLA,PIT,11/30/2013,7:00 PM,0,71.5
FLA,OTT,12/3/2013,7:30 PM,0,72.5
FLA,WPG,12/5/2013,7:30 PM,0,48.0
DET,FLA,12/7/2013,7:00 PM,1156,47.5
CHI,FLA,12/8/2013,7:00 PM,238,24.0
FLA,DET,12/10/2013,7:30 PM,1186,48.5
FLA,WSH,12/13/2013,7:30 PM,0,72.0
MON,FLA,12/15/2013,6:00 PM,1410,46.5
TOR,FLA,12/17/2013,7:00 PM,314,49.0
OTT,FLA,12/19/2013,7:30 PM,219,48.5
WPG,FLA,12/20/2013,8:00 PM,1044,24.5
FLA,TBL,12/23/2013,7:30 PM,1894,71.5
FLA,DET,12/28/2013,7:00 PM,0,119.5
FLA,MON,12/29/2013,5:00 PM,0,22.0
FLA,NYR,12/31/2013,5:00 PM,0,48.0
FLA,NSH,1/4/2014,7:00 PM,0,98.0
MON,FLA,1/6/2014,7:30 PM,1410,48.5
BUF,FLA,1/9/2014,7:00 PM,319,71.5
NJD,FLA,1/11/2014,7:00 PM,285,48.0
FLA,NYI,1/14/2014,7:30 PM,1087,72.5
FLA,SJS,1/16/2014,7:30 PM,0,48.0
CAR,FLA,1/18/2014,7:00 PM,699,47.5
PIT,FLA,1/20/2014,7:00 PM,326,48.0
BUF,FLA,1/21/2014,7:00 PM,179,24.0
FLA,COL,1/24/2014,7:30 PM,1182,72.5
DET,FLA,1/26/2014,5:00 PM,1156,45.5
BOS,FLA,1/28/2014,7:00 PM,618,50.0
TOR,FLA,1/30/2014,7:00 PM,433,48.0
CBJ,FLA,2/1/2014,7:00 PM,314,48.0
FLA,TOR,2/4/2014,7:30 PM,992,72.5
FLA,DET,2/6/2014,7:30 PM,0,48.0
CAR,FLA,2/7/2014,7:00 PM,699,23.5
FLA,WSH,2/27/2014,7:30 PM,699,480.5
CBJ,FLA,3/1/2014,2:00 PM,992,42.5
NYI,FLA,3/2/2014,3:00 PM,480,25.0
BOS,FLA,3/4/2014,7:00 PM,190,52.0
FLA,BUF,3/7/2014,7:30 PM,1255,72.5
FLA,BOS,3/9/2014,5:00 PM,0,45.5
FLA,ARI,3/11/2014,7:30 PM,0,50.5
TBL,FLA,3/13/2014,7:30 PM,206,48.0
FLA,NJD,3/14/2014,7:30 PM,206,24.0
FLA,VAN,3/16/2014,3:00 PM,0,43.5
SJS,FLA,3/18/2014,10:30 PM,2557,55.5
ARI,FLA,3/20/2014,10:00 PM,602,47.5
LAK,FLA,3/22/2014,4:00 PM,360,42.0
ANH,FLA,3/23/2014,8:00 PM,32,28.0
FLA,OTT,3/25/2014,7:30 PM,2317,47.5
FLA,CAR,3/27/2014,7:30 PM,0,48.0
FLA,MON,3/29/2014,7:00 PM,0,47.5
NJD,FLA,3/31/2014,7:30 PM,1087,48.5
NYI,FLA,4/1/2014,7:00 PM,13,23.5
FLA,CGY,4/4/2014,7:30 PM,1088,72.5
FLA,DAL,4/6/2014,5:00 PM,0,45.5
FLA,PHI,4/8/2014,7:30 PM,0,50.5
FLA,TOR,4/10/2014,7:30 PM,0,48.0
FLA,CBJ,4/12/2014,7:00 PM,0,47.5
