HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BOS,TBL,10/3/2013,7:00 PM,1181,0.0
CHI,TBL,10/5/2013,8:00 PM,856,49.0
BUF,TBL,10/8/2013,7:30 PM,457,71.5
TBL,FLA,10/10/2013,7:30 PM,1049,48.0
TBL,PIT,10/12/2013,7:00 PM,0,47.5
TBL,LAK,10/15/2013,7:30 PM,0,72.5
TBL,MIN,10/17/2013,7:30 PM,0,48.0
TBL,BOS,10/19/2013,7:00 PM,0,47.5
TBL,CHI,10/24/2013,7:30 PM,0,120.5
TBL,BUF,10/26/2013,7:00 PM,0,47.5
FLA,TBL,10/27/2013,5:00 PM,206,22.0
NJD,TBL,10/29/2013,7:30 PM,1087,50.5
CAR,TBL,11/1/2013,7:00 PM,416,71.5
TBL,STL,11/2/2013,7:00 PM,587,24.0
TBL,EDM,11/7/2013,7:30 PM,0,120.5
DET,TBL,11/9/2013,7:00 PM,994,47.5
BOS,TBL,11/11/2013,1:00 PM,618,42.0
MON,TBL,11/12/2013,7:30 PM,254,30.5
TBL,ANH,11/14/2013,7:30 PM,1305,48.0
ARI,TBL,11/16/2013,8:00 PM,1802,48.5
LAK,TBL,11/19/2013,10:30 PM,360,74.5
SJS,TBL,11/21/2013,10:30 PM,296,48.0
ANH,TBL,11/22/2013,10:00 PM,325,23.5
TBL,NYR,11/25/2013,7:30 PM,2131,69.5
TBL,PHI,11/27/2013,7:30 PM,0,48.0
TBL,PIT,11/29/2013,4:00 PM,0,44.5
CBJ,TBL,12/3/2013,7:00 PM,829,99.0
TBL,OTT,12/5/2013,7:30 PM,829,48.5
TBL,WPG,12/7/2013,7:00 PM,0,47.5
WSH,TBL,12/10/2013,7:00 PM,817,72.0
TBL,DET,12/12/2013,7:30 PM,817,48.5
NJD,TBL,12/14/2013,7:00 PM,998,47.5
DET,TBL,12/15/2013,5:00 PM,477,22.0
NYI,TBL,12/17/2013,7:00 PM,489,50.0
TBL,NSH,12/19/2013,7:30 PM,1001,48.5
TBL,CAR,12/21/2013,7:00 PM,0,47.5
FLA,TBL,12/23/2013,7:30 PM,206,48.5
TBL,MON,12/28/2013,7:00 PM,206,119.5
TBL,NYR,12/29/2013,7:00 PM,0,24.0
VAN,TBL,1/1/2014,10:00 PM,2599,75.0
CGY,TBL,1/3/2014,9:00 PM,421,47.0
EDM,TBL,1/5/2014,8:00 PM,176,47.0
WPG,TBL,1/7/2014,8:00 PM,746,48.0
TBL,WSH,1/9/2014,7:30 PM,1699,47.5
PHI,TBL,1/11/2014,1:00 PM,930,41.5
CBJ,TBL,1/13/2014,7:00 PM,417,54.0
NYR,TBL,1/14/2014,7:00 PM,479,24.0
TBL,NYI,1/16/2014,7:30 PM,1006,48.5
TBL,SJS,1/18/2014,2:00 PM,0,42.5
CAR,TBL,1/19/2014,5:00 PM,587,27.0
TBL,OTT,1/23/2014,7:30 PM,587,98.5
TBL,COL,1/25/2014,7:00 PM,0,47.5
TOR,TBL,1/28/2014,7:00 PM,1095,72.0
OTT,TBL,1/30/2014,7:30 PM,219,48.5
MON,TBL,2/1/2014,1:00 PM,104,41.5
MIN,TBL,2/4/2014,8:00 PM,952,79.0
TBL,TOR,2/6/2014,7:30 PM,1309,47.5
TBL,DET,2/8/2014,7:00 PM,0,47.5
NSH,TBL,2/27/2014,8:00 PM,619,457.0
DAL,TBL,3/1/2014,3:00 PM,615,43.0
COL,TBL,3/2/2014,8:00 PM,660,29.0
STL,TBL,3/4/2014,8:00 PM,789,48.0
TBL,BUF,3/6/2014,7:30 PM,861,47.5
TBL,BOS,3/8/2014,7:00 PM,0,47.5
TBL,ARI,3/10/2014,7:30 PM,0,48.5
TBL,FLA,3/13/2014,7:30 PM,0,72.0
TBL,NJD,3/15/2014,7:00 PM,0,47.5
TBL,VAN,3/17/2014,7:30 PM,0,48.5
TOR,TBL,3/19/2014,7:00 PM,1095,47.5
OTT,TBL,3/20/2014,7:30 PM,219,24.5
PIT,TBL,3/22/2014,1:00 PM,406,41.5
TBL,OTT,3/24/2014,7:30 PM,871,54.5
TBL,NYI,3/27/2014,7:30 PM,0,72.0
BUF,TBL,3/29/2014,7:00 PM,1049,47.5
DET,TBL,3/30/2014,5:00 PM,219,22.0
TBL,MON,4/1/2014,7:30 PM,994,50.5
TBL,CGY,4/3/2014,7:30 PM,0,48.0
TBL,DAL,4/5/2014,7:00 PM,0,47.5
TBL,TOR,4/8/2014,7:30 PM,0,72.5
TBL,PHI,4/10/2014,7:30 PM,0,48.0
TBL,CBJ,4/11/2014,7:30 PM,0,24.0
WSH,TBL,4/13/2014,3:00 PM,817,43.5
