HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CHI,WSH,10/1/2013,8:00 PM,598,0.0
WSH,CGY,10/3/2013,7:00 PM,598,47.0
DAL,WSH,10/5/2013,8:00 PM,1183,49.0
WSH,CAR,10/10/2013,7:00 PM,1183,119.0
WSH,COL,10/12/2013,7:00 PM,0,48.0
WSH,EDM,10/14/2013,7:00 PM,0,48.0
WSH,NYR,10/16/2013,8:00 PM,0,49.0
WSH,CBJ,10/19/2013,7:00 PM,0,71.0
WPG,WSH,10/22/2013,8:00 PM,1246,73.0
EDM,WSH,10/24/2013,9:30 PM,746,49.5
CGY,WSH,10/26/2013,10:00 PM,176,48.5
VAN,WSH,10/28/2013,10:00 PM,421,48.0
PHI,WSH,11/1/2013,7:00 PM,2407,93.0
WSH,FLA,11/2/2013,7:00 PM,126,24.0
WSH,NYI,11/5/2013,7:00 PM,0,72.0
WSH,MIN,11/7/2013,7:00 PM,0,48.0
ARI,WSH,11/9/2013,8:00 PM,1987,49.0
COL,WSH,11/10/2013,8:00 PM,591,24.0
WSH,CBJ,11/12/2013,7:00 PM,1488,47.0
DET,WSH,11/15/2013,7:30 PM,400,72.5
WSH,STL,11/17/2013,6:00 PM,400,46.5
WSH,PIT,11/20/2013,8:00 PM,0,74.0
WSH,MON,11/22/2013,7:00 PM,0,47.0
TOR,WSH,11/23/2013,7:00 PM,350,24.0
WSH,OTT,11/27/2013,7:00 PM,350,96.0
WSH,MON,11/29/2013,5:00 PM,0,46.0
NYI,WSH,11/30/2013,7:00 PM,204,26.0
WSH,CAR,12/3/2013,7:00 PM,204,72.0
WSH,NSH,12/7/2013,7:00 PM,0,96.0
NYR,WSH,12/8/2013,7:00 PM,207,24.0
WSH,TBL,12/10/2013,7:00 PM,207,48.0
FLA,WSH,12/13/2013,7:30 PM,924,72.5
WSH,PHI,12/15/2013,3:00 PM,924,43.5
PHI,WSH,12/17/2013,7:30 PM,126,52.5
CAR,WSH,12/20/2013,7:00 PM,346,71.5
WSH,NJD,12/21/2013,7:00 PM,230,24.0
WSH,ANH,12/23/2013,7:00 PM,0,48.0
WSH,NYR,12/27/2013,7:00 PM,0,96.0
BUF,WSH,12/29/2013,5:00 PM,292,46.0
OTT,WSH,12/30/2013,7:30 PM,234,26.5
WSH,CAR,1/2/2014,7:00 PM,455,71.5
MIN,WSH,1/4/2014,8:00 PM,926,49.0
TBL,WSH,1/9/2014,7:30 PM,1309,119.5
WSH,TOR,1/10/2014,7:00 PM,817,23.5
WSH,BUF,1/12/2014,3:00 PM,0,44.0
WSH,SJS,1/14/2014,7:00 PM,0,52.0
PIT,WSH,1/15/2014,8:00 PM,190,25.0
CBJ,WSH,1/17/2014,7:00 PM,162,47.0
NYR,WSH,1/19/2014,7:30 PM,479,48.5
WSH,OTT,1/21/2014,7:00 PM,207,47.5
NJD,WSH,1/24/2014,7:00 PM,197,72.0
MON,WSH,1/25/2014,7:00 PM,333,24.0
BUF,WSH,1/28/2014,7:30 PM,319,72.5
CBJ,WSH,1/30/2014,7:00 PM,294,47.5
DET,WSH,1/31/2014,7:30 PM,166,24.5
WSH,DET,2/2/2014,0:30 PM,400,41.0
WSH,NYI,2/4/2014,7:30 PM,0,55.0
WSH,WPG,2/6/2014,7:00 PM,0,47.5
WSH,NJD,2/8/2014,8:00 PM,0,49.0
FLA,WSH,2/27/2014,7:30 PM,924,455.5
BOS,WSH,3/1/2014,1:00 PM,1255,41.5
WSH,PHI,3/2/2014,0:30 PM,394,23.5
PHI,WSH,3/5/2014,8:00 PM,126,79.5
BOS,WSH,3/6/2014,7:00 PM,268,23.0
WSH,ARI,3/8/2014,7:00 PM,394,48.0
WSH,PIT,3/10/2014,7:00 PM,0,48.0
PIT,WSH,3/11/2014,7:30 PM,190,24.5
WSH,VAN,3/14/2014,7:00 PM,190,71.5
WSH,TOR,3/16/2014,3:00 PM,0,44.0
ANH,WSH,3/18/2014,10:00 PM,2287,55.0
LAK,WSH,3/20/2014,10:30 PM,32,48.5
SJS,WSH,3/22/2014,10:30 PM,296,48.0
WSH,LAK,3/25/2014,7:00 PM,2420,68.5
WSH,BOS,3/29/2014,0:30 PM,0,89.5
NSH,WSH,3/30/2014,8:00 PM,568,31.5
WSH,DAL,4/1/2014,7:00 PM,568,47.0
NJD,WSH,4/4/2014,7:00 PM,197,72.0
NYI,WSH,4/5/2014,5:00 PM,13,22.0
STL,WSH,4/8/2014,8:00 PM,879,75.0
CAR,WSH,4/10/2014,7:00 PM,668,47.0
WSH,CHI,4/11/2014,7:00 PM,230,24.0
WSH,TBL,4/13/2014,3:00 PM,0,44.0
