HOME,AWAY,DATE,TIME (PT)
COL,ANH,10/2/2013,6:30 PM
MIN,ANH,10/5/2013,5:00 PM
WPG,ANH,10/6/2013,5:00 PM
ANH,NYR,10/10/2013,7:00 PM
ANH,OTT,10/13/2013,5:00 PM
ANH,CGY,10/16/2013,7:00 PM
ANH,ARI,10/18/2013,7:00 PM
ANH,DAL,10/20/2013,5:00 PM
TOR,ANH,10/22/2013,4:00 PM
MON,ANH,10/24/2013,4:30 PM
OTT,ANH,10/25/2013,4:30 PM
CBJ,ANH,10/27/2013,3:00 PM
PHI,ANH,10/29/2013,4:00 PM
BOS,ANH,10/31/2013,4:00 PM
BUF,ANH,11/2/2013,4:00 PM
NYR,ANH,11/4/2013,4:30 PM
ANH,ARI,11/6/2013,7:00 PM
ANH,BUF,11/8/2013,7:00 PM
ANH,VAN,11/10/2013,5:00 PM
FLA,ANH,11/12/2013,4:30 PM
TBL,ANH,11/14/2013,4:30 PM
CAR,ANH,11/15/2013,4:00 PM
PIT,ANH,11/18/2013,4:30 PM
ANH,NJD,11/20/2013,7:00 PM
ANH,TBL,11/22/2013,7:00 PM
ARI,ANH,11/23/2013,5:00 PM
DAL,ANH,11/26/2013,5:00 PM
ANH,CGY,11/29/2013,1:00 PM
SJS,ANH,11/30/2013,7:30 PM
ANH,LAK,12/3/2013,7:00 PM
CHI,ANH,12/6/2013,5:00 PM
STL,ANH,12/7/2013,5:00 PM
ANH,NYI,12/9/2013,7:00 PM
ANH,MIN,12/11/2013,7:30 PM
ANH,EDM,12/15/2013,5:00 PM
DET,ANH,12/17/2013,4:30 PM
NJD,ANH,12/20/2013,4:00 PM
NYI,ANH,12/21/2013,4:00 PM
WSH,ANH,12/23/2013,4:00 PM
ANH,ARI,12/28/2013,5:00 PM
SJS,ANH,12/29/2013,7:30 PM
ANH,SJS,12/31/2013,5:00 PM
ANH,EDM,1/3/2014,7:00 PM
ANH,VAN,1/5/2014,5:00 PM
ANH,BOS,1/7/2014,7:00 PM
NSH,ANH,1/9/2014,5:00 PM
ARI,ANH,1/11/2014,5:00 PM
ANH,DET,1/12/2014,5:00 PM
ANH,VAN,1/15/2014,7:30 PM
CHI,ANH,1/17/2014,5:00 PM
STL,ANH,1/18/2014,5:00 PM
ANH,WPG,1/21/2014,7:00 PM
ANH,LAK,1/23/2014,7:00 PM
LAK,ANH,1/25/2014,6:30 PM
ANH,MIN,1/28/2014,7:00 PM
ANH,PHI,1/30/2014,7:00 PM
ANH,DAL,2/1/2014,7:00 PM
ANH,CBJ,2/3/2014,7:00 PM
ANH,CHI,2/5/2014,7:00 PM
NSH,ANH,2/8/2014,5:00 PM
ANH,STL,2/28/2014,7:00 PM
ANH,CAR,3/2/2014,5:00 PM
ANH,MON,3/5/2014,7:00 PM
ANH,PIT,3/7/2014,7:00 PM
ANH,TOR,3/10/2014,7:00 PM
CGY,ANH,3/12/2014,7:00 PM
COL,ANH,3/14/2014,6:00 PM
LAK,ANH,3/15/2014,7:30 PM
ANH,WSH,3/18/2014,7:00 PM
SJS,ANH,3/20/2014,7:30 PM
ANH,FLA,3/23/2014,5:00 PM
CGY,ANH,3/26/2014,7:00 PM
EDM,ANH,3/28/2014,6:30 PM
VAN,ANH,3/29/2014,7:00 PM
ANH,WPG,3/31/2014,7:00 PM
ANH,EDM,4/2/2014,7:00 PM
ANH,NSH,4/4/2014,7:00 PM
EDM,ANH,4/6/2014,5:00 PM
VAN,ANH,4/7/2014,7:00 PM
ANH,SJS,4/9/2014,7:30 PM
LAK,ANH,4/12/2014,7:30 PM
ANH,COL,4/13/2014,5:00 PM
