HOME,AWAY,DATE,TIME (MT)
ARI,NYR,10/3/2013,8:00 PM
SJS,ARI,10/5/2013,8:30 PM
NYI,ARI,10/8/2013,5:00 PM
DET,ARI,10/10/2013,5:30 PM
PHI,ARI,10/11/2013,5:00 PM
CAR,ARI,10/13/2013,11:00 PM
ARI,OTT,10/15/2013,8:00 PM
ANH,ARI,10/18/2013,8:00 PM
ARI,DET,10/19/2013,7:00 PM
ARI,CGY,10/22/2013,8:00 PM
LAK,ARI,10/24/2013,8:30 PM
ARI,EDM,10/26/2013,1:00 PM
ARI,LAK,10/29/2013,8:00 PM
ARI,NSH,10/31/2013,8:00 PM
SJS,ARI,11/2/2013,8:30 PM
ARI,VAN,11/5/2013,7:00 PM
ANH,ARI,11/6/2013,8:00 PM
ARI,WSH,11/9/2013,6:00 PM
STL,ARI,11/12/2013,6:00 PM
CHI,ARI,11/14/2013,6:00 PM
ARI,TBL,11/16/2013,6:00 PM
ARI,COL,11/21/2013,7:00 PM
ARI,ANH,11/23/2013,6:00 PM
NSH,ARI,11/25/2013,6:00 PM
MIN,ARI,11/27/2013,6:00 PM
ARI,CHI,11/30/2013,6:00 PM
EDM,ARI,12/3/2013,7:30 PM
CGY,ARI,12/4/2013,8:00 PM
VAN,ARI,12/6/2013,8:00 PM
COL,ARI,12/10/2013,7:00 PM
ARI,NYI,12/12/2013,7:00 PM
ARI,CAR,12/14/2013,6:00 PM
MON,ARI,12/17/2013,5:30 PM
TOR,ARI,12/19/2013,5:00 PM
OTT,ARI,12/21/2013,0:00 PM
BUF,ARI,12/23/2013,5:00 PM
ARI,SJS,12/27/2013,7:00 PM
ANH,ARI,12/28/2013,6:00 PM
ARI,EDM,12/31/2013,7:00 PM
ARI,CBJ,1/2/2014,7:00 PM
ARI,PHI,1/4/2014,6:00 PM
ARI,CGY,1/7/2014,7:00 PM
ARI,MIN,1/9/2014,7:00 PM
ARI,ANH,1/11/2014,6:00 PM
WPG,ARI,1/13/2014,6:00 PM
STL,ARI,1/14/2014,6:00 PM
ARI,VAN,1/16/2014,7:00 PM
ARI,NJD,1/18/2014,6:00 PM
ARI,TOR,1/20/2014,6:00 PM
CGY,ARI,1/22/2014,7:30 PM
EDM,ARI,1/24/2014,7:30 PM
VAN,ARI,1/26/2014,6:00 PM
ARI,LAK,1/28/2014,7:00 PM
ARI,BUF,1/30/2014,7:00 PM
ARI,PIT,2/1/2014,6:00 PM
ARI,DAL,2/4/2014,7:00 PM
ARI,CHI,2/7/2014,7:00 PM
DAL,ARI,2/8/2014,6:00 PM
WPG,ARI,2/27/2014,6:00 PM
COL,ARI,2/28/2014,7:00 PM
ARI,STL,3/2/2014,6:00 PM
ARI,VAN,3/4/2014,7:00 PM
ARI,MON,3/6/2014,7:00 PM
WSH,ARI,3/8/2014,5:00 PM
TBL,ARI,3/10/2014,5:30 PM
FLA,ARI,3/11/2014,5:30 PM
BOS,ARI,3/13/2014,5:00 PM
ARI,CGY,3/15/2014,8:00 PM
LAK,ARI,3/17/2014,8:30 PM
ARI,FLA,3/20/2014,8:00 PM
ARI,BOS,3/22/2014,7:00 PM
NYR,ARI,3/24/2014,5:00 PM
PIT,ARI,3/25/2014,5:00 PM
NJD,ARI,3/27/2014,5:00 PM
ARI,MIN,3/29/2014,7:00 PM
ARI,WPG,4/1/2014,8:00 PM
LAK,ARI,4/2/2014,8:30 PM
ARI,EDM,4/4/2014,8:00 PM
CBJ,ARI,4/8/2014,5:00 PM
NSH,ARI,4/10/2014,6:00 PM
ARI,SJS,4/12/2014,7:00 PM
ARI,DAL,4/13/2014,7:00 PM
