HOME,AWAY,DATE,TIME (CT)
CHI,WSH,10/1/2013,7:00 PM
CHI,TBL,10/5/2013,7:00 PM
STL,CHI,10/9/2013,7:00 PM
CHI,NYI,10/11/2013,7:00 PM
CHI,BUF,10/12/2013,7:00 PM
CAR,CHI,10/15/2013,6:00 PM
CHI,STL,10/17/2013,7:00 PM
CHI,TOR,10/19/2013,6:00 PM
FLA,CHI,10/22/2013,6:30 PM
TBL,CHI,10/24/2013,6:30 PM
CHI,MIN,10/26/2013,7:00 PM
MIN,CHI,10/28/2013,7:00 PM
CHI,OTT,10/29/2013,7:00 PM
WPG,CHI,11/2/2013,2:00 PM
CHI,CGY,11/3/2013,6:30 PM
CHI,WPG,11/6/2013,7:00 PM
DAL,CHI,11/9/2013,7:00 PM
CHI,EDM,11/10/2013,6:30 PM
CHI,ARI,11/14/2013,7:00 PM
NSH,CHI,11/16/2013,7:00 PM
CHI,SJS,11/17/2013,6:00 PM
COL,CHI,11/19/2013,8:00 PM
WPG,CHI,11/21/2013,7:00 PM
VAN,CHI,11/23/2013,9:00 PM
EDM,CHI,11/25/2013,8:30 PM
CGY,CHI,11/27/2013,9:00 PM
DAL,CHI,11/29/2013,7:30 PM
ARI,CHI,11/30/2013,7:00 PM
CHI,DAL,12/3/2013,7:00 PM
MIN,CHI,12/5/2013,7:00 PM
CHI,ANH,12/6/2013,7:00 PM
CHI,FLA,12/8/2013,6:00 PM
DAL,CHI,12/10/2013,7:30 PM
CHI,PHI,12/11/2013,7:00 PM
TOR,CHI,12/14/2013,6:00 PM
CHI,LAK,12/15/2013,6:00 PM
NSH,CHI,12/17/2013,7:00 PM
CHI,VAN,12/20/2013,7:00 PM
CHI,NJD,12/23/2013,7:00 PM
CHI,COL,12/27/2013,7:00 PM
STL,CHI,12/28/2013,7:00 PM
CHI,LAK,12/30/2013,7:00 PM
NYI,CHI,1/2/2014,6:00 PM
NJD,CHI,1/3/2014,6:00 PM
CHI,SJS,1/5/2014,7:00 PM
CHI,NYR,1/8/2014,7:00 PM
MON,CHI,1/11/2014,6:00 PM
CHI,EDM,1/12/2014,6:00 PM
CHI,COL,1/14/2014,7:00 PM
CHI,ANH,1/17/2014,7:00 PM
CHI,BOS,1/19/2014,11:30 PM
DET,CHI,1/22/2014,7:00 PM
MIN,CHI,1/23/2014,7:00 PM
CHI,WPG,1/26/2014,6:00 PM
CGY,CHI,1/28/2014,8:30 PM
VAN,CHI,1/29/2014,9:30 PM
SJS,CHI,2/1/2014,9:30 PM
LAK,CHI,2/3/2014,9:30 PM
ANH,CHI,2/5/2014,9:00 PM
ARI,CHI,2/7/2014,8:00 PM
NYR,CHI,2/27/2014,6:00 PM
CHI,PIT,3/1/2014,7:00 PM
CHI,COL,3/4/2014,7:00 PM
CHI,CBJ,3/6/2014,7:00 PM
BUF,CHI,3/9/2014,6:30 PM
COL,CHI,3/12/2014,8:30 PM
CHI,NSH,3/14/2014,7:00 PM
CHI,DET,3/16/2014,6:30 PM
PHI,CHI,3/18/2014,6:30 PM
CHI,STL,3/19/2014,7:00 PM
CHI,CAR,3/21/2014,7:00 PM
CHI,NSH,3/23/2014,6:00 PM
CHI,DAL,3/25/2014,7:00 PM
BOS,CHI,3/27/2014,6:00 PM
OTT,CHI,3/28/2014,6:30 PM
PIT,CHI,3/30/2014,6:30 PM
CHI,MIN,4/3/2014,7:00 PM
CBJ,CHI,4/4/2014,6:00 PM
CHI,STL,4/6/2014,11:30 PM
CHI,MON,4/9/2014,6:30 PM
WSH,CHI,4/11/2014,6:00 PM
NSH,CHI,4/12/2014,7:00 PM
